,Year,y_cotton,y_corn,y_barley,y_alfalfa,y_durum,y_vegetables,p_cotton,p_corn,p_barley,p_durum,p_alfalfa,pdsi,temp,precipitation
0,1991,1216.0,170.0,121.6,7.96,111.0,25137.0,0.5436,2.52,2.3400000000000003,3.267,63.45,2.56,70.26666667,8.866666667
1,1992,1044.0,170.0,106.1,7.23,111.6,25751.0,0.47700000000000004,2.475,2.3400000000000003,3.555,57.6,5.66,69.8,12.27
2,1993,1291.0,170.0,102.3,7.35,116.4,25353.0,0.5229,2.799,2.3400000000000003,3.4650000000000003,84.15,7.93,69.8,13.70333333
3,1994,1233.0,175.0,91.1,7.53,114.12,24955.0,0.6354,2.9250000000000003,2.565,3.906,92.7,-1.13,70.06666667,13.31333333
4,1995,1076.0,190.0,84.4,8.5,114.0,24556.0,0.6561000000000001,3.33,2.6550000000000002,4.239,71.10000000000001,2.47,70.46666667,10.57666667
5,1996,1247.0,190.0,99.8,8.39,102.0,24158.0,0.6273000000000001,3.285,3.195,4.5,85.5,-4.1,71.16666667,7.353333332999999
6,1997,1287.0,190.0,97.0,8.4,110.4,23760.0,0.5823,2.8800000000000003,2.61,4.23,100.8,-3.9,71.4,6.893333332999999
7,1998,1214.0,190.0,105.6,8.0,112.32,22410.0,0.49230000000000007,2.475,2.205,4.05,80.55,5.34,70.66666667,8.44
8,1999,1287.0,195.0,115.0,8.18,111.36,21060.0,0.3951,2.4480000000000004,2.16,3.6,80.10000000000001,-2.58,70.26666667,8.906666667
9,2000,1367.0,196.0,114.3,8.46,112.2,19710.0,0.3573,2.502,2.178,3.15,84.60000000000001,-3.22,70.36666667,9.11
10,2001,1184.0,208.0,106.6,8.1,110.4,18360.0,0.2556,2.511,2.16,3.555,89.10000000000001,-0.74,71.16666667,7.503333333
11,2002,1376.0,185.0,111.8,8.26,128.64,17010.0,0.41669999999999996,2.826,2.295,3.9600000000000004,90.0,-4.54,71.33333333,6.396666667000001
12,2003,1206.0,190.0,114.9,8.24,118.8,17102.0,0.5976,2.952,2.556,4.1850000000000005,80.55,-2.17,71.46666667,7.103333332999999
13,2004,1418.0,180.0,109.7,8.67,115.92,17195.0,0.3996,2.727,2.52,3.825,89.55,-3.38,71.3,8.063333333
14,2005,1306.0,195.0,91.1,8.31,106.8,17287.0,0.46440000000000003,2.862,2.475,3.7800000000000002,111.60000000000001,4.52,71.26666667,10.22
15,2006,1443.0,170.0,106.7,8.41,113.4,17380.0,0.4491,3.9330000000000003,2.8800000000000003,4.365,117.0,-3.63,71.13333333,9.016666667
16,2007,1594.0,185.0,105.0,8.7,113.88,17472.0,0.5364,4.527,3.6,6.399,135.9,-3.9,71.46666667,8.13
17,2008,1443.0,165.0,114.0,9.0,107.88,16502.0,0.5265,5.22,4.32,7.506,166.5,1.04,71.46666667,7.993333333
18,2009,1469.0,175.0,120.0,8.6,115.92,15532.0,0.5859,3.726,3.366,7.776000000000001,108.9,-2.85,71.53333333,7.233333332999999
19,2010,1537.0,210.0,125.0,8.4,111.6,14563.0,0.7695,5.22,3.4379999999999997,5.049,116.10000000000001,2.26,71.16666667,7.893333332999999
20,2011,1485.0,178.0,125.0,9.4,119.4,13593.0,0.7883999999999999,6.102,4.3740000000000006,8.712,202.5,-3.2,71.06666667,6.463333333
21,2012,1556.0,195.0,120.0,9.05,118.8,12623.0,0.6912,7.056,5.202,7.362,201.6,-4.24,71.23333333,7.11
22,2013,1506.0,177.0,120.0,8.0,122.04,14645.0,0.7020000000000001,5.301,4.617,6.714,180.9,-3.06,71.3,6.93
23,2014,1898.0,210.0,125.0,8.95,96.84,16667.0,0.5769,4.824000000000001,3.9960000000000004,7.929,196.20000000000002,-4.07,71.83333333,8.356666667
