,demand_site,crop,proportion,crop_type,default_expression,time_series
0,Adaman,Alfalfa_hay,0.004126419,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Alfalfa.xlsx, A3:B12))*0.760",0
1,Adaman,Alfalfa_haylage,0.00130308,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Alfalfa.xlsx, A3:B12))*0.24",0
2,Adaman,Corn_silage,0.008710084,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Corn.xlsx, A3:B12))*0.9553",0
3,Adaman,Corn_grain,0.000407559,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Corn.xlsx, A3:B12))*0.0447",0
4,Adaman,Barley,0.012316313,Barley,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Barley.xlsx, A3:B12))",0
5,Adaman,Cotton,0.005062978,Cotton,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Cotton.xlsx, A3:B12))",0
6,Adaman,Durum_Wheat,0.010104468,Durum,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Durum Wheat.xlsx, A3:B12))",0
7,Adaman,Potatoes,0.149598981,Vegetables(potatoes),"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Potatoes.xlsx, A3:B12))",0
8,Adaman,Sorghum_grain,0.000673301,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Sorghum.xlsx, A3:B12))*0.1898",0
9,Adaman,Sugarbeets,0.000673301,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Sugarbeets.xlsx, A3:B12))",0
10,Adaman,Winter_Wheat,0.000673301,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Winter Wheat.xlsx, A3:B12))",0
11,Adaman,Other_Hay,0.000673301,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Other Hay.xlsx, A3:B12))",0
12,Adaman,Sorghum_silage,0.000673301,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Sorghum.xlsx, A3:B12))*0.8102",0
13,Adaman,VegFruit,0.000673301,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_VegFruit.xlsx, A3:B12))",0
14,Arlington,Alfalfa_hay,0.03520373,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Alfalfa.xlsx, A3:B12))*0.760",0
15,Arlington,Alfalfa_haylage,0.011116967,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Alfalfa.xlsx, A3:B12))*0.24",0
16,Arlington,Corn_silage,0.004921069,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Corn.xlsx, A3:B12))*0.9553",0
17,Arlington,Corn_grain,0.000230265,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Corn.xlsx, A3:B12))*0.0447",0
18,Arlington,Barley,0.033386798,Barley,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Barley.xlsx, A3:B12))",0
19,Arlington,Cotton,0.011632729,Cotton,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Cotton.xlsx, A3:B12))",0
20,Arlington,Durum_Wheat,0.025167648,Durum,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Durum Wheat.xlsx, A3:B12))",0
21,Arlington,Potatoes,0.00016178,Vegetables(potatoes),"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Potatoes.xlsx, A3:B12))",0
22,Arlington,Sorghum_grain,0.015546499,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Sorghum.xlsx, A3:B12))*0.1898",0
23,Arlington,Sugarbeets,0.015546499,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Sugarbeets.xlsx, A3:B12))",0
24,Arlington,Winter_Wheat,0.015546499,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Winter Wheat.xlsx, A3:B12))",0
25,Arlington,Other_Hay,0.015546499,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Other Hay.xlsx, A3:B12))",0
26,Arlington,Sorghum_silage,0.015546499,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_Sorghum.xlsx, A3:B12))*0.8102",0
27,Arlington,VegFruit,0.015546499,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_VegFruit.xlsx, A3:B12))",0
28,Buckeye,Alfalfa_hay,0.149789842,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Alfalfa.xlsx, A3:B12))*0.760",0
29,Buckeye,Alfalfa_haylage,0.047302055,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Alfalfa.xlsx, A3:B12))*0.24",0
30,Buckeye,Corn_silage,0.059701241,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Corn.xlsx, A3:B12))*0.9553",0
31,Buckeye,Corn_grain,0.002793516,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Corn.xlsx, A3:B12))*0.0447",0
32,Buckeye,Barley,0.194686944,Barley,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Barley.xlsx, A3:B12))",0
