Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.138166234,0.396820923,0.102522194,0.075683967,0.089849573,0.101949866,0.095007243
2020,0.311972318,0.278147261,0.099506176,0.095037823,0.084771862,0.099131075,0.031433485
2021,0.373649328,0.168236131,0.090400461,0.168003823,0.099738019,0.06542628,0.034545957
2022,0.174997496,0.349493811,0.12278281,0.11503696,0.103754797,0.086598033,0.047336092
2023,0.269066868,0.309811236,0.10630994,0.102673672,0.087128882,0.098838757,0.026170645
2024,0.270137923,0.286047036,0.112634357,0.127127762,0.098288846,0.08496751,0.020796565
2025,0.137615038,0.378378637,0.126040381,0.122333848,0.093520262,0.088496756,0.053615077
2026,0.301300799,0.315008375,0.098737106,0.0875125,0.063828601,0.1175635,0.016049119
2027,0.159043279,0.347511775,0.123447154,0.147760803,0.09248525,0.084871202,0.044880538
2028,0.058945911,0.483336452,0.131033928,0.097809385,0.084489978,0.087926005,0.056458341
2029,0.104966112,0.40832928,0.132176137,0.137407098,0.083973304,0.087335098,0.045812969
2030,0.090330417,0.446607438,0.123694409,0.118403874,0.072819588,0.097448497,0.050695777
2031,0.048901039,0.518194596,0.127322113,0.092686807,0.068197591,0.096272578,0.048425277
2032,0.020020442,0.615495565,0.10808149,0.050911624,0.070932708,0.097291117,0.037267055
2033,0.028586322,0.503261427,0.136532723,0.123912964,0.076488906,0.072982618,0.05823504
2034,0.049515343,0.547533965,0.126258137,0.08388004,0.050142389,0.113578167,0.029091959
2035,0.037899872,0.604850908,0.107162817,0.051240832,0.036638812,0.137788057,0.024418702
2036,0.055451631,0.550363562,0.126649746,0.084575723,0.042933553,0.122681008,0.017344777
2037,0.059052163,0.532532884,0.122785476,0.102603715,0.039325115,0.121385146,0.022315502
2038,0.021452076,0.521199014,0.140154438,0.148848386,0.058932465,0.073360962,0.036052658
2039,0.036952036,0.474312923,0.132095905,0.192135253,0.052959546,0.07716338,0.034380958
2040,0.026896037,0.48934139,0.132447642,0.192249433,0.050135087,0.073385537,0.035544874
2041,0.028806642,0.508997364,0.127961599,0.179477121,0.041236153,0.083903683,0.029617438
2042,0.016330252,0.539609086,0.127402351,0.167284974,0.040943603,0.077338851,0.031090883
2043,0.011334395,0.564402934,0.123932783,0.156912147,0.043052088,0.074255104,0.026110548
2044,0.014525088,0.530393949,0.129112682,0.191272279,0.034350149,0.075411749,0.024934103
2045,0.017068218,0.50171853,0.138692688,0.218899999,0.02889571,0.075588337,0.019136517
2046,0.007249959,0.524081165,0.137295565,0.212313401,0.031987079,0.062945573,0.024127257
2047,0.015062522,0.594122107,0.114335012,0.131282639,0.015755947,0.118096216,0.011345557
2048,0.012141913,0.588117223,0.119430452,0.141301813,0.013838214,0.114388193,0.010782193
2049,0.011638087,0.537971282,0.128132283,0.203360356,0.014156863,0.093357596,0.011383534
2050,0.031065447,0.549496382,0.102833838,0.151616674,0.006953639,0.153066484,0.004967536
