Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.179474239,0.298489445,0.088769782,0.11300423,0.106783337,0.082314909,0.131164059
2020,0.195500384,0.285729662,0.088149218,0.12093659,0.103695019,0.082713909,0.123275217
2021,0.306111518,0.180807948,0.083603384,0.169566409,0.090282412,0.070374266,0.099254063
2022,0.293259405,0.217378006,0.083494391,0.14622897,0.086543702,0.082437029,0.090658499
2023,0.314380718,0.202093378,0.082970267,0.154083558,0.07823116,0.08297212,0.085268799
2024,0.266064998,0.214281029,0.091996,0.177395259,0.087556802,0.075360147,0.087345765
2025,0.088275241,0.410589901,0.102230344,0.112501372,0.110631675,0.079955705,0.095815762
2026,0.162366523,0.310086436,0.103136215,0.154579007,0.08777432,0.084114886,0.097942613
2027,0.105138116,0.394687201,0.109648261,0.124017275,0.083682675,0.090400153,0.092426318
2028,0.067794991,0.410441966,0.118043214,0.14198083,0.104503718,0.071090321,0.08614496
2029,0.156646905,0.309367217,0.113574658,0.187681679,0.084319862,0.079658355,0.068751324
2030,0.042434104,0.517149594,0.112738984,0.093296125,0.088485044,0.084517681,0.061378468
2031,0.068671883,0.420436114,0.122978312,0.156221019,0.086176492,0.076783043,0.068733137
2032,0.052266977,0.469948069,0.112941444,0.132296073,0.082707549,0.08093151,0.068908378
2033,0.042251982,0.49992055,0.134335354,0.12139605,0.07002077,0.084418161,0.047657132
2034,0.035657601,0.537029331,0.115236303,0.104744313,0.067352423,0.089674758,0.05030527
2035,0.043018293,0.485409965,0.119322868,0.149086854,0.07217364,0.079547511,0.05144087
2036,0.021731397,0.539592337,0.12856204,0.120909356,0.065546397,0.076676538,0.046981933
2037,0.018254993,0.529695185,0.137830145,0.135409581,0.063623963,0.070889731,0.044296402
2038,0.018472382,0.552492636,0.120956937,0.129437556,0.064983414,0.074440028,0.039217047
2039,0.0113109,0.544523877,0.129790719,0.142164901,0.065505814,0.063181533,0.043522256
2040,0.030180142,0.497422667,0.12520808,0.182679022,0.046241429,0.080381547,0.037887113
2041,0.010458167,0.533667969,0.122898304,0.172118129,0.070155234,0.056854184,0.033848013
2042,0.008779288,0.545909306,0.1305747,0.165390634,0.054808502,0.061502394,0.033035177
2043,0.009212698,0.55822941,0.129695188,0.16080285,0.044018134,0.069056953,0.028984767
2044,0.010944072,0.534630498,0.121823037,0.196376365,0.04471139,0.064712735,0.026801903
2045,0.009776815,0.454968691,0.131474976,0.277929784,0.041379757,0.048635763,0.035834213
2046,0.014006796,0.411325134,0.134707436,0.327506492,0.034057994,0.048544245,0.029851903
2047,0.003743465,0.573822563,0.130707874,0.171769492,0.041306101,0.062557192,0.016093314
2048,0.008159357,0.534394871,0.129049929,0.216283813,0.022850435,0.073158647,0.016102948
2049,0.005325615,0.533514492,0.128318713,0.22693247,0.022591254,0.066057439,0.017260017
2050,0.007608298,0.553695852,0.118105944,0.208010683,0.015458693,0.085260449,0.011860082
