Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.312117269,0.187244738,0.037840442,0.053613579,0.044885976,0.071931878,0.292366118
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.432861981,0.175895222,0.025776707,0.052440617,0.089262185,0.090915469,0.13284782
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.386753499,0.182495494,0.053646104,0.067878272,0.123359615,0.077000921,0.108866095
1997,0.369463483,0.203757282,0.065364401,0.085400255,0.089025844,0.075548776,0.111439959
1998,0.316473651,0.204057982,0.046324087,0.066863062,0.078876137,0.07437277,0.213032311
1999,0.359048881,0.186598571,0.041039942,0.054250217,0.05420251,0.075159609,0.229700271
2000,0.348912066,0.21410538,0.050631309,0.054419505,0.052589314,0.074930007,0.204412419
2001,0.262440219,0.287359876,0.064653021,0.056823382,0.086084818,0.073587571,0.169051113
2002,0.208375431,0.309038888,0.080797538,0.076000936,0.061270626,0.071263667,0.193252914
2003,0.206323658,0.360075388,0.073253928,0.057433254,0.086842077,0.078542959,0.137528737
2004,0.180735502,0.339708625,0.076840385,0.054249773,0.070577753,0.07990377,0.197984192
2005,0.221739147,0.3222265,0.065249729,0.055747302,0.089636704,0.087346368,0.15805425
2006,0.157421677,0.35996855,0.061256136,0.061180193,0.044382376,0.074761981,0.241029088
2007,0.146265245,0.377743705,0.067577649,0.063304532,0.080210605,0.089080697,0.175817566
2008,0.131075242,0.455960019,0.061601444,0.066171918,0.072438984,0.085593087,0.127159305
2009,0.113028043,0.397330227,0.05275658,0.054476903,0.132586008,0.087857748,0.161964489
2010,0.163247576,0.414603584,0.06976219,0.058109055,0.053261813,0.07368288,0.167332901
2011,0.231243438,0.402883358,0.062973914,0.129573245,0.049597319,0.066490293,0.057238434
2012,0.179051539,0.445175461,0.085034806,0.095546022,0.048375972,0.072427704,0.074388495
2013,0.128872519,0.308920118,0.083738101,0.129820051,0.05832044,0.070762552,0.21956622
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.052006837,0.560304071,0.063498112,0.029298552,0.119656327,0.093184165,0.082051935
2016,0.06536199,0.579174317,0.087901467,0.020875679,0.068853307,0.109758037,0.068075203
2017,0.131679127,0.538446863,0.074978804,0.02784928,0.049444388,0.124598752,0.053002785
2018,0.126447856,0.525409135,0.09458989,0.036342003,0.038076202,0.133956973,0.045177941
2019,0.354026896,0.324034747,0.074136391,0.033152001,0.046287596,0.15522332,0.013139049
2020,0.220276857,0.44166187,0.073012141,0.018039321,0.032133823,0.198085291,0.016790697
2021,0.375236,0.317883037,0.058958717,0.02025075,0.02731863,0.191319097,0.009033769
2022,0.065155807,0.557674362,0.106513397,0.032771584,0.062154199,0.131333489,0.044397162
2023,0.04772858,0.610339758,0.085289957,0.017849074,0.047110045,0.155157949,0.036524637
2024,0.101279555,0.537667058,0.096117065,0.029330941,0.046281861,0.160365165,0.028958353
2025,0.102833857,0.556449419,0.075452699,0.016150226,0.030493538,0.199446913,0.019173347
2026,0.055191702,0.620460867,0.063798123,0.008987241,0.026746909,0.208767133,0.016048024
2027,0.035976868,0.62082077,0.099352818,0.022999119,0.045410923,0.145325713,0.030113789
2028,0.052618718,0.597199114,0.100554425,0.02732862,0.040853543,0.155109348,0.026336232
2029,0.059753603,0.581890112,0.1014275,0.03643322,0.045518272,0.146391508,0.028585783
2030,0.086844202,0.560399359,0.095817987,0.031366398,0.033347992,0.174083313,0.018140748
2031,0.067008172,0.59312492,0.082448699,0.019725985,0.023975666,0.19819577,0.015520789
2032,0.032750787,0.640998374,0.083471591,0.01557136,0.024182879,0.186961215,0.016063795
2033,0.043190363,0.627025652,0.078108391,0.016440427,0.020826392,0.200324299,0.014084477
2034,0.074442109,0.583285868,0.071071267,0.015909159,0.01496221,0.231005386,0.009324001
2035,0.049500896,0.616749679,0.075645092,0.01710117,0.016785251,0.213949342,0.010268571
2036,0.127475911,0.518189511,0.057047602,0.014066375,0.009066191,0.268999116,0.005155295
2037,0.010865345,0.689818365,0.082044418,0.017867539,0.048684538,0.143795689,0.006924106
2038,0.082668748,0.564781314,0.05990521,0.014777075,0.008430583,0.263889298,0.005547772
2039,0.051753244,0.608485428,0.06351567,0.015493648,0.009821581,0.245093015,0.005837413
2040,0.05443878,0.597150136,0.087922153,0.036166365,0.01383638,0.202593085,0.007893101
2041,0.069986677,0.577659993,0.073358793,0.028321861,0.009233614,0.235848875,0.005590186
2042,0.049906719,0.60505434,0.074471545,0.030055178,0.009523507,0.224859367,0.006129342
2043,0.046958317,0.602733376,0.079513611,0.034213849,0.008680637,0.222304857,0.005595353
2044,0.059272662,0.579659438,0.084009706,0.048031271,0.008674688,0.215404728,0.004947507
2045,0.044998453,0.599248862,0.068080172,0.027699515,0.00529135,0.250798213,0.003883435
2046,0.012996334,0.665032096,0.079312088,0.030372829,0.009346917,0.198129887,0.004809849
2047,0.013032999,0.66463816,0.07736889,0.034542304,0.00875126,0.197265241,0.004401147
2048,0.015847702,0.639318167,0.089645624,0.065632994,0.008316873,0.175033042,0.006205598
2049,0.020465765,0.602682231,0.099965131,0.095967555,0.007076699,0.168107166,0.005735452
2050,0.020997474,0.620483702,0.079615994,0.066241404,0.004689114,0.203942005,0.004030308
