Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.22477019,0.321109652,0.105935677,0.096089488,0.090980986,0.097677674,0.063436332
2020,0.121087155,0.418949893,0.116452429,0.079361546,0.09566152,0.096891503,0.071595954
2021,0.201085668,0.387902007,0.107588277,0.070300044,0.078467075,0.116507525,0.038149404
2022,0.090372409,0.439842373,0.122346631,0.085755807,0.098405105,0.089646405,0.073631269
2023,0.133733272,0.390272416,0.118574067,0.103677259,0.093864132,0.092751036,0.067127819
2024,0.09550129,0.515957771,0.107340219,0.045456296,0.061293526,0.133096287,0.041354611
2025,0.075973862,0.460320982,0.127004536,0.091634923,0.091905213,0.089482505,0.06367798
2026,0.046965591,0.532730253,0.126418074,0.063379356,0.079396486,0.097256242,0.053853999
2027,0.041488195,0.516558331,0.131003211,0.078406048,0.086050846,0.085947867,0.060545502
2028,0.026467763,0.617973979,0.102345041,0.033888647,0.064999002,0.113646083,0.040679486
2029,0.025266547,0.644207673,0.09581692,0.022010923,0.048250892,0.138656678,0.025790368
2030,0.041858607,0.586798203,0.112089942,0.047016913,0.053922326,0.123126766,0.035187243
2031,0.027618194,0.596281816,0.122448698,0.051202321,0.058727437,0.108198287,0.035523245
2032,0.06427857,0.585030793,0.100609012,0.03305826,0.031779922,0.168371707,0.016871736
2033,0.019498227,0.598031564,0.121464627,0.063148169,0.065452707,0.093076652,0.039328054
2034,0.109467872,0.53675345,0.088226327,0.036078993,0.023204077,0.194067294,0.012201986
2035,0.159698051,0.493506921,0.066258906,0.020722344,0.013218767,0.241375435,0.005219575
2036,0.072072082,0.57166077,0.100261712,0.043553595,0.02439798,0.17610858,0.011945281
2037,0.082839847,0.55041043,0.10144824,0.057544283,0.024701442,0.170156309,0.012899449
2038,0.079476459,0.547304296,0.108336399,0.065831105,0.024626345,0.163573384,0.010852012
2039,0.154119272,0.491947214,0.068903432,0.030054102,0.010502888,0.240462342,0.004010751
2040,0.168443928,0.475589103,0.065996879,0.031748678,0.009094633,0.245649854,0.003476926
2041,0.098148996,0.527099449,0.099290905,0.071883093,0.01711348,0.180283922,0.006180154
2042,0.02506756,0.599709395,0.121354758,0.086502552,0.022986815,0.130580918,0.013798002
2043,0.022768403,0.617348272,0.110116727,0.076809932,0.01921432,0.140975698,0.012766647
2044,0.01365054,0.620268545,0.121789682,0.087422449,0.020685636,0.122694126,0.013489023
2045,0.076622471,0.556243421,0.063044316,0.0280971,0.004550516,0.268700028,0.002742148
2046,0.016314943,0.651628004,0.088312933,0.049703305,0.010796383,0.176478604,0.006765828
2047,0.062202596,0.568314875,0.068714532,0.045144027,0.004504261,0.247797211,0.003322498
2048,0.023718741,0.605677273,0.095962826,0.088392285,0.007795593,0.171674682,0.006778599
2049,0.021351221,0.595063794,0.102404988,0.109429493,0.008097871,0.157958268,0.005694365
2050,0.029896702,0.591307899,0.086358742,0.081527151,0.004513116,0.202817748,0.003578641
