Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.455099553,0.127686362,0.074825069,0.157548652,0.092209574,0.062569963,0.030060826
2020,0.351362688,0.158751502,0.075696372,0.161194896,0.083871553,0.070792755,0.098330234
2021,0.485182645,0.099167625,0.063443156,0.175204457,0.072957039,0.061134476,0.042910602
2022,0.27703119,0.190281389,0.103881134,0.202484573,0.116981878,0.057499448,0.051840388
2023,0.442608801,0.113202554,0.071418913,0.194196926,0.077601149,0.060390438,0.040581218
2024,0.280929173,0.182172497,0.09634217,0.2136035,0.100720841,0.060894477,0.065337342
2025,0.176247099,0.315912853,0.115063869,0.148944565,0.093687668,0.083296432,0.066847515
2026,0.250364777,0.198223174,0.110098485,0.234505335,0.114714197,0.054749509,0.037344524
2027,0.080600777,0.399671411,0.123896033,0.138200513,0.097788421,0.075674199,0.084168646
2028,0.063250181,0.476073364,0.116784727,0.098002762,0.08369164,0.090334753,0.071862572
2029,0.09082517,0.383953698,0.112332325,0.157231839,0.095598766,0.076605353,0.083452849
2030,0.162517016,0.280271042,0.116503301,0.222388513,0.086017661,0.07123848,0.061063987
2031,0.137789334,0.272643666,0.122924884,0.25665454,0.096775796,0.059561417,0.053650363
2032,0.063042215,0.465711109,0.118464743,0.131497544,0.077172024,0.087007952,0.057104412
2033,0.026840948,0.591414581,0.115118322,0.065133955,0.061157216,0.101254402,0.039080575
2034,0.035538954,0.495289253,0.13210927,0.134116195,0.069190188,0.078583762,0.05517238
2035,0.02779444,0.537520344,0.130013845,0.113731305,0.067226944,0.082013245,0.041699878
2036,0.036282258,0.509698571,0.11782436,0.139791182,0.065097919,0.082589936,0.048715774
2037,0.021773935,0.501285509,0.141998342,0.158421577,0.067908465,0.066616068,0.041996104
2038,0.025913206,0.523490193,0.132087772,0.14393261,0.051287048,0.081993957,0.041295215
2039,0.05649307,0.439451584,0.135479349,0.209693379,0.049053746,0.082374944,0.027453928
2040,0.044212358,0.481268932,0.136192751,0.183699707,0.042544041,0.088634774,0.023447436
2041,0.044513676,0.48904587,0.13308677,0.181777701,0.036770978,0.09426649,0.020538514
2042,0.0170232,0.472021266,0.144207921,0.227486468,0.046725079,0.060545728,0.031990338
2043,0.014750157,0.504771499,0.143569673,0.204145758,0.041395787,0.066893409,0.024473716
2044,0.016129936,0.495928271,0.141634264,0.21902096,0.034477896,0.06975863,0.023050043
2045,0.035301027,0.422655482,0.133081568,0.290264876,0.0293855,0.071983164,0.017328382
2046,0.03664948,0.393995667,0.137972234,0.325987195,0.031643521,0.062662904,0.011088999
2047,0.018338745,0.423898529,0.130358511,0.320671907,0.026092276,0.0591461,0.021493933
2048,0.009003284,0.512348955,0.115751755,0.253101517,0.029374582,0.062391737,0.01802817
2049,0.004252165,0.532810465,0.123495411,0.2348328,0.035378267,0.055380715,0.013850178
2050,0.006094564,0.429522594,0.1375133,0.339554379,0.022835051,0.044511456,0.019968656
