Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.312117269,0.187244738,0.037840442,0.053613579,0.044885976,0.071931878,0.292366118
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.432861981,0.175895222,0.025776707,0.052440617,0.089262185,0.090915469,0.13284782
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.386753499,0.182495494,0.053646104,0.067878272,0.123359615,0.077000921,0.108866095
1997,0.369463483,0.203757282,0.065364401,0.085400255,0.089025844,0.075548776,0.111439959
1998,0.316473651,0.204057982,0.046324087,0.066863062,0.078876137,0.07437277,0.213032311
1999,0.359048881,0.186598571,0.041039942,0.054250217,0.05420251,0.075159609,0.229700271
2000,0.348912066,0.21410538,0.050631309,0.054419505,0.052589314,0.074930007,0.204412419
2001,0.262440219,0.287359876,0.064653021,0.056823382,0.086084818,0.073587571,0.169051113
2002,0.208375431,0.309038888,0.080797538,0.076000936,0.061270626,0.071263667,0.193252914
2003,0.206323658,0.360075388,0.073253928,0.057433254,0.086842077,0.078542959,0.137528737
2004,0.180735502,0.339708625,0.076840385,0.054249773,0.070577753,0.07990377,0.197984192
2005,0.221739147,0.3222265,0.065249729,0.055747302,0.089636704,0.087346368,0.15805425
2006,0.157421677,0.35996855,0.061256136,0.061180193,0.044382376,0.074761981,0.241029088
2007,0.146265245,0.377743705,0.067577649,0.063304532,0.080210605,0.089080697,0.175817566
2008,0.131075242,0.455960019,0.061601444,0.066171918,0.072438984,0.085593087,0.127159305
2009,0.113028043,0.397330227,0.05275658,0.054476903,0.132586008,0.087857748,0.161964489
2010,0.163247576,0.414603584,0.06976219,0.058109055,0.053261813,0.07368288,0.167332901
2011,0.231243438,0.402883358,0.062973914,0.129573245,0.049597319,0.066490293,0.057238434
2012,0.179051539,0.445175461,0.085034806,0.095546022,0.048375972,0.072427704,0.074388495
2013,0.128872519,0.308920118,0.083738101,0.129820051,0.05832044,0.070762552,0.21956622
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.052006837,0.560304071,0.063498112,0.029298552,0.119656327,0.093184165,0.082051935
2016,0.06536199,0.579174317,0.087901467,0.020875679,0.068853307,0.109758037,0.068075203
2017,0.131679127,0.538446863,0.074978804,0.02784928,0.049444388,0.124598752,0.053002785
2018,0.126447856,0.525409135,0.09458989,0.036342003,0.038076202,0.133956973,0.045177941
2019,0.186656642,0.336981505,0.078006898,0.088057891,0.110588307,0.093722868,0.10598589
2020,0.432841602,0.120055134,0.073025301,0.178184916,0.086849106,0.060203321,0.048840621
2021,0.330032327,0.184094564,0.082715967,0.156462812,0.084566031,0.075999958,0.08612834
2022,0.157057218,0.339227546,0.110902684,0.120600019,0.099258035,0.085673431,0.087281067
2023,0.096893987,0.480843514,0.077675087,0.063755574,0.130707069,0.094519407,0.055605363
2024,0.05615784,0.477571493,0.092056213,0.080752261,0.1330872,0.075566274,0.084808718
2025,0.048607907,0.492304455,0.094629237,0.08120986,0.137876988,0.072737458,0.072634095
2026,0.193198591,0.410147412,0.056616351,0.07263065,0.136574831,0.101948207,0.02888396
2027,0.079762134,0.456208494,0.095804388,0.098318622,0.102212299,0.088827856,0.078866207
2028,0.106240109,0.371720161,0.103112603,0.146246772,0.092063082,0.082306777,0.098310497
2029,0.036664802,0.503399884,0.113551528,0.097381506,0.099339701,0.075012709,0.074649869
2030,0.118830834,0.370571714,0.103056835,0.156879988,0.081483086,0.088273027,0.080904516
2031,0.069284011,0.406782221,0.109635662,0.163180457,0.092830764,0.07360794,0.084678944
2032,0.099712583,0.469042947,0.080662692,0.112311283,0.094390035,0.099117653,0.044762806
2033,0.043562766,0.437968556,0.125331911,0.168013559,0.083764281,0.067882943,0.073475984
2034,0.040081568,0.423304545,0.138406453,0.192311568,0.083406883,0.061611817,0.060877165
2035,0.02112301,0.576326347,0.109613427,0.092872937,0.085573053,0.078080537,0.036410688
2036,0.039157549,0.493903042,0.109974859,0.152999614,0.072544383,0.078251399,0.053169153
2037,0.063909662,0.480505527,0.08696535,0.164266116,0.085861187,0.083278175,0.035213983
2038,0.032671132,0.419278808,0.124244281,0.237070554,0.069851257,0.058333481,0.058550487
2039,0.033627771,0.472670595,0.121835189,0.197251616,0.055462316,0.073856431,0.045296082
2040,0.037646357,0.477882472,0.129233095,0.194234803,0.044076474,0.082831552,0.034095247
2041,0.028673649,0.469418515,0.133712012,0.217066485,0.044607524,0.072472469,0.034049345
2042,0.030215919,0.442652157,0.127066853,0.25413118,0.04388345,0.067392737,0.034657704
2043,0.021954377,0.549331037,0.128734307,0.153251715,0.028748444,0.096658721,0.021321399
2044,0.018610293,0.417343816,0.141779605,0.299969184,0.041813867,0.05205385,0.028429385
2045,0.020796632,0.394799175,0.131108259,0.33525156,0.038737179,0.050324975,0.028982221
2046,0.014598426,0.40684045,0.121046838,0.339546605,0.038453337,0.046309492,0.033204853
2047,0.011254864,0.463736756,0.111201725,0.298908613,0.036865076,0.051972814,0.026060152
2048,0.013034811,0.451022694,0.09357939,0.331168167,0.04659328,0.046570376,0.018031281
2049,0.008701957,0.395293179,0.118421181,0.379700772,0.030568458,0.038600618,0.028713836
2050,0.005820829,0.504097529,0.120961801,0.271122938,0.021295381,0.059837844,0.016863678
