Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.104681099,0.388305637,0.102630222,0.091439226,0.114811645,0.08108683,0.117045341
2020,0.090383349,0.407597541,0.096473658,0.089633795,0.127732649,0.077413711,0.110765297
2021,0.217146231,0.317337425,0.076976003,0.092241387,0.090125304,0.102904076,0.103269574
2022,0.180156171,0.308167797,0.094984082,0.123263018,0.09601596,0.086965243,0.110447728
2023,0.124668578,0.332835665,0.104997948,0.139585074,0.115253938,0.0727317,0.109927097
2024,0.200748043,0.25384053,0.105496222,0.179089686,0.100530069,0.071316448,0.088979002
2025,0.172763772,0.327773082,0.0971303,0.129002251,0.086287133,0.093039773,0.094003688
2026,0.147920312,0.308217652,0.115673,0.172953069,0.099335521,0.073870781,0.082029665
2027,0.095698336,0.35032665,0.124923706,0.170761102,0.105210274,0.06769727,0.085382662
2028,0.204290335,0.26494652,0.114843815,0.202571594,0.092767196,0.07238916,0.04819138
2029,0.134891016,0.296457471,0.129679054,0.220815288,0.105518393,0.062192981,0.050445798
2030,0.207675316,0.262449331,0.114244333,0.21685987,0.083512178,0.073975711,0.041283262
2031,0.202663714,0.236151295,0.122817314,0.257266752,0.102950803,0.05654619,0.021603933
2032,0.175919389,0.22379023,0.122620685,0.295668033,0.096911298,0.052229963,0.032860403
2033,0.183224972,0.275758742,0.118148152,0.241474633,0.073587875,0.074076298,0.033729328
2034,0.290673243,0.125151708,0.087970302,0.350935366,0.068349809,0.046999685,0.029919887
2035,0.198826352,0.179574485,0.11212491,0.355433537,0.083933971,0.045759847,0.024346897
2036,0.198105251,0.190174996,0.113920658,0.351192836,0.080923093,0.047462236,0.01822093
2037,0.075780438,0.343446652,0.141626081,0.277225351,0.073481709,0.059526456,0.028913313
2038,0.070261426,0.337214116,0.128093933,0.295408189,0.062634048,0.061550526,0.044837762
2039,0.05831984,0.357136462,0.128437241,0.294290164,0.061534607,0.06028165,0.040000036
2040,0.040025659,0.364031023,0.134226028,0.306215027,0.05902163,0.053505318,0.042975315
2041,0.025369507,0.46022769,0.1424833,0.226922619,0.048702449,0.065534838,0.030759596
2042,0.066906094,0.349663826,0.132928059,0.321470885,0.0450782,0.064306795,0.01964614
2043,0.044896591,0.440703476,0.136980353,0.245488396,0.034099789,0.081048845,0.016782549
2044,0.064680088,0.333032789,0.13176182,0.356667412,0.037353531,0.061258286,0.015246074
2045,0.08662856,0.325756275,0.131745856,0.349170053,0.037956123,0.062837801,0.005905332
2046,0.039527704,0.433421554,0.129219725,0.279341537,0.023349784,0.082022357,0.01311734
2047,0.046524677,0.450988541,0.128864568,0.252994733,0.019995921,0.094187181,0.006444378
2048,0.035665132,0.48705653,0.122078059,0.227698363,0.015013848,0.105261446,0.007226623
2049,0.019267058,0.441150803,0.136009561,0.305459151,0.017960105,0.070014314,0.010139008
2050,0.071984754,0.432578982,0.10412584,0.254078484,0.009111137,0.124592528,0.003528275
