Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.101902246,0.416310104,0.085140375,0.077246806,0.134494811,0.082438143,0.102467515
2020,0.076536258,0.421845233,0.102234508,0.085143196,0.118795773,0.077575477,0.117869554
2021,0.154633243,0.363147986,0.097520278,0.094280873,0.092611232,0.096855637,0.100950752
2022,0.113146349,0.354344795,0.120570422,0.130228106,0.113795679,0.073069963,0.094844686
2023,0.139998361,0.339531438,0.1078053,0.127572773,0.098504754,0.08291402,0.103673354
2024,0.10253123,0.350484355,0.122508942,0.147783864,0.112831927,0.069035682,0.094823999
2025,0.104934463,0.427044691,0.109069594,0.096041444,0.087351536,0.096997467,0.078560805
2026,0.052271105,0.448670914,0.129619215,0.110639378,0.102538788,0.072572935,0.083687665
2027,0.179907089,0.308201918,0.115632861,0.165867392,0.087874542,0.082882409,0.059633789
2028,0.175470129,0.294880745,0.120187716,0.189085186,0.090120269,0.076165757,0.054090198
2029,0.176222334,0.26087036,0.11837224,0.23027016,0.097538614,0.064666413,0.05205988
2030,0.178496649,0.252460254,0.1237245,0.248030308,0.101413221,0.059576289,0.036298779
2031,0.085202954,0.408553405,0.124973966,0.157268959,0.079269722,0.082910867,0.061820127
2032,0.034430601,0.46397573,0.130837229,0.144534207,0.089407382,0.0660421,0.070772751
2033,0.073561739,0.356709282,0.126430873,0.224063064,0.084121321,0.06455698,0.070556741
2034,0.067863361,0.449460756,0.125719226,0.154174721,0.06429112,0.089152249,0.049338566
2035,0.073123495,0.343513489,0.128763643,0.257337267,0.077179036,0.06181019,0.058272881
2036,0.050631016,0.463240391,0.131905076,0.168354036,0.060413379,0.082753538,0.042702564
2037,0.043294692,0.414027351,0.136975108,0.226663678,0.067597524,0.064114426,0.047327221
2038,0.050066527,0.434113129,0.130672001,0.21205848,0.055530644,0.076304758,0.041254461
2039,0.04380282,0.45233954,0.132937234,0.206989309,0.05071201,0.077913592,0.035305495
2040,0.015286381,0.534681206,0.124678924,0.159985074,0.057597703,0.068079031,0.039691682
2041,0.014519349,0.603117655,0.11810593,0.104301685,0.039891011,0.094332277,0.025732095
2042,0.016479079,0.497173902,0.137389964,0.20569219,0.045420771,0.065612241,0.032231852
2043,0.014149334,0.585420609,0.122469314,0.130461482,0.033115533,0.092052717,0.022331011
2044,0.012232683,0.566970911,0.130728694,0.152747826,0.031437439,0.084670442,0.021212004
2045,0.009497089,0.512895841,0.137671947,0.215390852,0.033912764,0.063740826,0.026890681
2046,0.010946688,0.517028974,0.133026164,0.218436257,0.027759924,0.070503934,0.022298061
2047,0.011217094,0.488000943,0.139817649,0.251353126,0.025089355,0.066013198,0.018508635
2048,0.010121601,0.48388509,0.135898387,0.264770995,0.02193105,0.065112528,0.018280349
2049,0.005083926,0.511162493,0.137212453,0.244933401,0.022455259,0.060895036,0.018257431
2050,0.019701431,0.431347449,0.125914959,0.326718549,0.014788358,0.070773844,0.01075541
