Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.548681976,0.069770132,0.052898796,0.170994362,0.068369066,0.055322118,0.03396355
2020,0.492740258,0.079554001,0.063714664,0.201011542,0.094427154,0.046589067,0.021963313
2021,0.341594462,0.15983852,0.089415828,0.189226056,0.098627906,0.061548237,0.059748991
2022,0.092255767,0.369918805,0.117624499,0.123080918,0.113899953,0.071356409,0.11186365
2023,0.146741301,0.345605691,0.11055126,0.123786749,0.097230067,0.085629635,0.090455297
2024,0.038653335,0.533021233,0.11209075,0.058882515,0.09804724,0.086265713,0.073039214
2025,0.092752066,0.391960047,0.124684651,0.128714923,0.103244636,0.076964662,0.081679015
2026,0.102825452,0.38096752,0.128532194,0.140656514,0.101344518,0.076949986,0.068723816
2027,0.105773788,0.473281513,0.116678188,0.076637373,0.067731583,0.116505919,0.043391636
2028,0.039962419,0.585769297,0.11192205,0.042997598,0.059853205,0.118634275,0.040861156
2029,0.054868242,0.499035382,0.131271429,0.093933432,0.078670169,0.091237595,0.050983752
2030,0.055936047,0.513503485,0.118167635,0.085819995,0.066687787,0.102109036,0.057776016
2031,0.071247602,0.512158533,0.118644945,0.085753378,0.062406349,0.11136566,0.038423533
2032,0.064730015,0.530015458,0.11959939,0.080616364,0.05712041,0.115355367,0.032562996
2033,0.039359993,0.595017539,0.111333351,0.053356426,0.048062568,0.125295841,0.027574281
2034,0.081131512,0.457024825,0.132242824,0.139905228,0.060373519,0.097662791,0.031659302
2035,0.030139724,0.575592406,0.129354565,0.07895415,0.049317903,0.105687769,0.030953483
2036,0.081675082,0.380449647,0.140368188,0.227774706,0.070645087,0.071191235,0.027896054
2037,0.123028321,0.340658593,0.131134092,0.247045123,0.062608422,0.075961437,0.019564013
2038,0.082267266,0.434429866,0.130848157,0.187702866,0.049588653,0.09358243,0.021580763
2039,0.048566864,0.405501783,0.147011079,0.249040629,0.062010305,0.063795448,0.024073892
2040,0.071521674,0.3420988,0.142424373,0.306688995,0.060993023,0.058495471,0.017777664
2041,0.093318168,0.428429282,0.129957489,0.200353855,0.036795708,0.10092956,0.010215939
2042,0.07701097,0.508411233,0.116312271,0.1279206,0.023235908,0.138047686,0.009061332
2043,0.047040653,0.476232923,0.13017931,0.206244078,0.031161988,0.094610234,0.014530815
2044,0.03607938,0.492349469,0.1357097,0.201200295,0.027088717,0.094434806,0.013137634
2045,0.036494491,0.522070136,0.125672253,0.173593244,0.021492602,0.110489425,0.010187849
2046,0.032306838,0.605108701,0.094027577,0.074476832,0.010045206,0.177196326,0.00683852
2047,0.022392445,0.631666776,0.081380015,0.043094007,0.006329415,0.210183761,0.004953581
2048,0.036678645,0.601704825,0.07183507,0.046265665,0.004342858,0.235250614,0.003922322
2049,0.044290977,0.510176526,0.108970947,0.182756842,0.009108231,0.139495077,0.005201399
2050,0.03932343,0.535298288,0.098610225,0.15716301,0.006599205,0.158241689,0.004764153
