Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.230750385,0.307671655,0.075187154,0.085815079,0.092140227,0.102340307,0.106095194
2020,0.095250552,0.448060747,0.087376253,0.067754366,0.118789407,0.091226778,0.091541897
2021,0.116568431,0.375210664,0.100413912,0.10156099,0.108192091,0.083660128,0.114393785
2022,0.08277467,0.390796181,0.115591888,0.113428587,0.116860853,0.071953155,0.108594667
2023,0.112015371,0.394713984,0.108481721,0.103789725,0.098816893,0.088083344,0.094098962
2024,0.109045239,0.398339815,0.126900951,0.115141341,0.100695653,0.083756012,0.066120988
2025,0.073656503,0.428943469,0.121578535,0.110789243,0.104510377,0.078090181,0.082431691
2026,0.047199,0.490122507,0.11909468,0.087060766,0.099691927,0.079951468,0.076879653
2027,0.125856656,0.446807432,0.117666357,0.085003732,0.068952439,0.115079591,0.040633795
2028,0.066669328,0.534925728,0.119509522,0.059853095,0.062288762,0.118590008,0.038163557
2029,0.048275482,0.512704122,0.129871077,0.087318159,0.077348693,0.091528269,0.052954198
2030,0.043491943,0.544034252,0.113670042,0.072434363,0.066659697,0.102153802,0.057555901
2031,0.09579015,0.467718431,0.12270411,0.104057746,0.062304185,0.110004671,0.037420707
2032,0.117543478,0.447109358,0.12349325,0.113562572,0.060893734,0.111192535,0.026205073
2033,0.05707561,0.553415051,0.118668924,0.069589022,0.047109241,0.125363112,0.028779041
2034,0.038363064,0.546431577,0.125843396,0.092581317,0.055280116,0.100972381,0.04052815
2035,0.023396464,0.598523052,0.124844094,0.066863503,0.049449215,0.105987054,0.030936619
2036,0.01800327,0.569446587,0.126389766,0.100573329,0.068305924,0.07887365,0.038407473
2037,0.017580554,0.599923272,0.116512459,0.085363395,0.061313392,0.088758841,0.030548087
2038,0.037360946,0.537085185,0.126548592,0.125177509,0.045967038,0.098995643,0.028865087
2039,0.011707051,0.558950467,0.137813445,0.126601947,0.056743216,0.070903674,0.037280198
2040,0.039603342,0.414402166,0.146796496,0.25411423,0.055077839,0.06325629,0.026749638
2041,0.05145275,0.504561192,0.132345477,0.156093636,0.032675757,0.107605741,0.015265448
2042,0.020701873,0.634619114,0.105337198,0.060391858,0.02066365,0.145210564,0.013075742
2043,0.028474907,0.530241974,0.129480637,0.166017797,0.028643172,0.098284815,0.018856697
2044,0.021991199,0.544838226,0.13349065,0.159907746,0.025928294,0.098047345,0.015796539
2045,0.020553383,0.574010603,0.124090181,0.133743917,0.019528024,0.114595659,0.013478233
2046,0.056806999,0.554221193,0.097421835,0.101833999,0.010732387,0.173348815,0.005634771
2047,0.099093286,0.507020921,0.087585011,0.098428949,0.007800518,0.197366864,0.002704451
2048,0.07266422,0.544699077,0.075244422,0.06887992,0.004722416,0.230688699,0.003101247
2049,0.04752475,0.506378319,0.107860679,0.185302969,0.009540043,0.138695232,0.004698008
2050,0.076189495,0.461989743,0.097038802,0.205812071,0.007504993,0.148361319,0.003103578
