Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.302312709,0.190377009,0.038665731,0.054752795,0.046239291,0.070786227,0.296866238
1992,0.436446089,0.153873034,0.018207431,0.034390767,0.066203882,0.089092862,0.201785935
1993,0.448716434,0.170794278,0.021010681,0.043629911,0.061760067,0.091017456,0.163071173
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.453884956,0.214643949,0.034094522,0.04135499,0.099889685,0.085995237,0.070136661
1996,0.379295196,0.18483946,0.054496473,0.06890109,0.125820784,0.076203221,0.110443776
1997,0.353160932,0.209039119,0.067599104,0.088298127,0.093164186,0.073681151,0.11505738
1998,0.319211907,0.200488125,0.044990191,0.063115514,0.071543899,0.077138975,0.22351139
1999,0.348797654,0.18995169,0.041980025,0.055466176,0.055884484,0.074048662,0.233871308
2000,0.412081939,0.191304545,0.043828271,0.047101807,0.043230126,0.081726,0.180727312
2001,0.255733741,0.289908796,0.06551682,0.057559675,0.087681642,0.072655886,0.17094344
2002,0.228106622,0.301779104,0.077705402,0.073071465,0.057759975,0.074552314,0.187025118
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.214416055,0.326474447,0.071638679,0.050423125,0.063523837,0.086861907,0.18666195
2005,0.295455264,0.293489617,0.056819683,0.049842603,0.078422138,0.097061753,0.128908942
2006,0.152798875,0.35699386,0.060266761,0.058521122,0.040948671,0.075958328,0.254512384
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.158261107,0.416713961,0.070558831,0.058752829,0.054192029,0.072613742,0.1689075
2011,0.274882683,0.382130912,0.057148793,0.118416591,0.043136243,0.072356829,0.051927949
2012,0.14531127,0.458947903,0.091905412,0.103177242,0.054690274,0.065491847,0.080476052
2013,0.156314673,0.300132472,0.079144623,0.123129029,0.053098393,0.077956441,0.210224369
2014,0.090054549,0.432505053,0.075287066,0.066823015,0.08276596,0.092339599,0.160224757
2015,0.059782907,0.557450303,0.061960742,0.029393616,0.121926418,0.095807972,0.073678043
2016,0.046301428,0.583972384,0.095339846,0.022231361,0.07421092,0.09743172,0.080512341
2017,0.152702476,0.524570321,0.070075518,0.025923045,0.044747666,0.132517699,0.049463275
2018,0.105469857,0.53831532,0.101542496,0.039283867,0.04259052,0.124050565,0.048747374
2019,0.284305353,0.284305148,0.275825039,2.90E-10,0.136039628,0.019524832,6.31E-17
2020,0.283705726,0.28370557,0.275990979,2.66E-10,0.137739254,0.018858472,6.30E-17
2021,0.294289371,0.294289163,0.283311095,2.00E-10,0.105768007,0.022342364,6.53E-17
2022,0.278193308,0.278193252,0.273088001,1.90E-10,0.152500943,0.018024496,6.18E-17
2023,0.281096446,0.281096386,0.275726852,1.86E-10,0.143126781,0.018953534,6.24E-17
2024,0.28703414,0.28703408,0.280199055,1.33E-10,0.12411156,0.021621165,6.37E-17
2025,0.288737096,0.288737034,0.281096508,1.26E-10,0.119477316,0.021952046,6.41E-17
2026,0.285510768,0.285510722,0.278865389,1.23E-10,0.129088189,0.021024932,6.34E-17
2027,0.285505525,0.285505486,0.278824232,1.08E-10,0.128611162,0.021553595,6.34E-17
2028,0.28289777,0.282897739,0.277451907,1.28E-10,0.137051739,0.019700844,6.28E-17
2029,0.284451765,0.284451727,0.279440008,1.65E-10,0.131959753,0.019696747,6.32E-17
2030,0.279741426,0.279741403,0.276109676,1.68E-10,0.145294636,0.019112859,6.21E-17
2031,0.283706569,0.283706535,0.279434551,2.00E-10,0.133322826,0.019829518,6.30E-17
2032,0.286546338,0.286546304,0.281932913,1.84E-10,0.123807276,0.021167169,6.36E-17
2033,0.28426683,0.284266804,0.280545458,1.77E-10,0.127107151,0.023813756,6.31E-17
2034,0.284024352,0.284024326,0.280486308,2.10E-10,0.128784938,0.022680077,6.31E-17
2035,0.290129183,0.290129173,0.286343831,7.13E-11,0.100002383,0.03339543,6.44E-17
2036,0.285636082,0.285636068,0.282593552,1.55E-10,0.120960711,0.025173588,6.34E-17
2037,0.286487744,0.286487736,0.283378253,1.03E-10,0.116826679,0.026819588,6.36E-17
2038,0.294607189,0.29460718,0.290730902,6.93E-11,0.081541908,0.038512821,6.54E-17
2039,0.293229173,0.293229164,0.289894201,8.78E-11,0.087911347,0.035736115,6.51E-17
2040,0.291181713,0.291181703,0.288122897,1.54E-10,0.102728984,0.026784702,6.47E-17
2041,0.29171657,0.291716558,0.288840925,2.18E-10,0.101170973,0.026554972,6.48E-17
2042,0.290624525,0.290624513,0.287984469,2.66E-10,0.105143505,0.025622987,6.45E-17
2043,0.294666067,0.294666054,0.291639034,2.60E-10,0.09202927,0.026999575,6.54E-17
2044,0.290330961,0.290330951,0.288133626,3.99E-10,0.109626345,0.021578116,6.45E-17
2045,0.292893208,0.292893204,0.289854083,1.21E-10,0.093222708,0.031136798,6.50E-17
2046,0.294832793,0.294832781,0.292418513,5.88E-10,0.097490709,0.020425203,6.55E-17
2047,0.29608536,0.296085352,0.293853697,5.07E-10,0.091993051,0.021982539,6.57E-17
2048,0.296578654,0.296578642,0.294346794,8.57E-10,0.090069538,0.022426372,6.59E-17
2049,0.300016346,0.300016338,0.297813955,6.68E-10,0.079550483,0.022602878,6.66E-17
2050,0.296225608,0.296225597,0.29443766,1.50E-09,0.093611005,0.01950013,6.58E-17
