Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.159624554,0.296776565,0.117843862,0.141895494,0.123139723,0.068154706,0.092565094
2020,0.264168829,0.191361353,0.094459307,0.182410029,0.106922797,0.062464764,0.098212921
2021,0.390379756,0.152706476,0.080757808,0.169380103,0.089745628,0.067052812,0.049977418
2022,0.11374519,0.395749345,0.115757002,0.100965811,0.099350386,0.08775271,0.086679557
2023,0.135876869,0.339694583,0.118965678,0.137531795,0.107020452,0.076889545,0.084021078
2024,0.239785311,0.31074627,0.11058188,0.120746481,0.089734844,0.093330392,0.035074823
2025,0.087409575,0.480790683,0.118166433,0.073097799,0.077811642,0.106664777,0.056059091
2026,0.075601376,0.453517254,0.129737982,0.101205798,0.092121277,0.086835487,0.060980826
2027,0.067930949,0.475281701,0.107276666,0.091613826,0.091175205,0.090869899,0.075851754
2028,0.045286582,0.49623449,0.133754282,0.095884921,0.093256821,0.080044959,0.055537946
2029,0.078804574,0.460474835,0.126725763,0.109210769,0.077904446,0.094135425,0.052744188
2030,0.055605648,0.453079343,0.139773446,0.133159704,0.089385443,0.075727278,0.053269139
2031,0.066002107,0.531959106,0.120635051,0.072778304,0.055661675,0.119045174,0.033918583
2032,0.129898428,0.398464638,0.13112793,0.150288938,0.074442231,0.092331021,0.023446814
2033,0.081530256,0.389069952,0.138375908,0.196253038,0.084572943,0.071262447,0.038935456
2034,0.061429686,0.510908599,0.135709765,0.105433598,0.05584977,0.105236666,0.025431916
2035,0.126027344,0.459076978,0.118179263,0.108099081,0.043728998,0.128415021,0.016473315
2036,0.042413475,0.605812294,0.103268428,0.047807075,0.030714988,0.150925362,0.019058379
2037,0.087492796,0.530804199,0.111297277,0.076429092,0.03128418,0.150089045,0.01260341
2038,0.016707336,0.631255405,0.113226581,0.060955055,0.039294474,0.11338726,0.025173889
2039,0.048497131,0.60687107,0.088885894,0.036125843,0.016174413,0.192795255,0.010650394
2040,0.026470429,0.567765477,0.134433049,0.110825099,0.035553868,0.105293805,0.019658273
2041,0.058739295,0.591601272,0.07864424,0.029765997,0.010191619,0.225117218,0.005940359
2042,0.011342188,0.688492219,0.083345077,0.030350171,0.032539544,0.148339075,0.005591726
2043,0.009285995,0.616181874,0.127058057,0.099330223,0.031729247,0.096598165,0.019816439
2044,0.009445482,0.611971274,0.128135022,0.106656934,0.028481983,0.098482887,0.016826418
2045,0.018334902,0.637422517,0.098064011,0.060245955,0.012211291,0.164093681,0.009627642
2046,0.014811152,0.602094758,0.119633771,0.111624437,0.015700858,0.123851819,0.012283205
2047,0.024671201,0.631045534,0.078417235,0.047086733,0.006757261,0.206714065,0.005307971
2048,0.012782054,0.57566485,0.118007654,0.160605614,0.015520479,0.105821968,0.011597381
2049,0.020063939,0.543056799,0.118126126,0.182892365,0.011269847,0.116335387,0.008255536
2050,0.034502135,0.579725091,0.08573822,0.09372291,0.004704015,0.197696359,0.003911271
