Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.246361691,0.268220121,0.107582146,0.129714472,0.107920481,0.078912015,0.061289074
2020,0.103936391,0.356532175,0.118389571,0.120382363,0.120075075,0.070389544,0.110294881
2021,0.099158094,0.44352057,0.106884118,0.072932387,0.093236689,0.098354789,0.085913353
2022,0.05811914,0.505176362,0.104781878,0.059343753,0.098171622,0.092921874,0.081485372
2023,0.068833789,0.436492571,0.129016601,0.099780958,0.108325914,0.076649902,0.080900265
2024,0.085617655,0.443095674,0.121665169,0.092644774,0.09347768,0.089945358,0.073553689
2025,0.087004762,0.435647916,0.122316449,0.101239215,0.092485375,0.088608246,0.072698037
2026,0.091101139,0.489251838,0.115420026,0.069414545,0.070351637,0.114442044,0.050018772
2027,0.095474115,0.432113553,0.129254193,0.112470158,0.087291209,0.09041882,0.052977951
2028,0.086465108,0.469900572,0.123018767,0.095069713,0.079474718,0.099640332,0.04643079
2029,0.149928056,0.417528097,0.118974694,0.103836625,0.067994268,0.111871837,0.029866423
2030,0.053388612,0.489346184,0.1347114,0.106835004,0.079481131,0.086750532,0.049487139
2031,0.09395912,0.531721998,0.112630995,0.053776576,0.045384342,0.144697177,0.017829792
2032,0.064405952,0.494847684,0.135277244,0.107383686,0.066183901,0.098273437,0.033628096
2033,0.028737652,0.643308631,0.092842911,0.023668866,0.031262817,0.160701171,0.019477952
2034,0.038765575,0.584018365,0.122214,0.061809391,0.044389294,0.122894154,0.025909221
2035,0.069146487,0.513887946,0.12442089,0.102453451,0.046972127,0.117038176,0.026080923
2036,0.011533314,0.610880036,0.125832087,0.069854763,0.061788848,0.085337051,0.034773902
2037,0.049473556,0.549907271,0.121507925,0.095125994,0.038989661,0.12075764,0.024237954
2038,0.062617332,0.473080349,0.130799966,0.163681189,0.046033554,0.09775981,0.0260278
2039,0.024398585,0.528487729,0.136836223,0.14806878,0.050662487,0.081059036,0.030487161
2040,0.023009451,0.558274423,0.132770828,0.125674327,0.038790668,0.094787505,0.026692799
2041,0.024314512,0.623141392,0.111590913,0.058688024,0.020754392,0.148162908,0.013347858
2042,0.027930331,0.640852626,0.081555222,0.031112413,0.012154887,0.198319683,0.008074838
2043,0.03640172,0.61978702,0.076910639,0.029673307,0.008377183,0.222487422,0.006362709
2044,0.039954227,0.611728245,0.069594915,0.027680234,0.006458619,0.239202927,0.005380833
2045,0.015069132,0.610009571,0.120292393,0.09851786,0.017309242,0.125860999,0.012940803
2046,0.033977705,0.612030502,0.081532826,0.044437709,0.006641893,0.216464114,0.004915252
2047,0.086325966,0.534693081,0.050856394,0.025150624,0.002642795,0.29829913,0.00203201
2048,0.10743158,0.488089334,0.031328415,0.010498398,0.001033372,0.360653327,0.000965574
2049,0.067425401,0.546089243,0.045490067,0.022000358,0.001677353,0.315725231,0.001592346
2050,0.018864294,0.628425392,0.069938485,0.039686127,0.003426868,0.236645935,0.0030129
