Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.098247596,0.475726537,0.110972073,0.053572602,0.084402003,0.109954224,0.067124965
2020,0.100242362,0.436001407,0.118133823,0.076875873,0.098386221,0.093316404,0.07704391
2021,0.15679793,0.318896002,0.118098685,0.135613468,0.112287468,0.075263646,0.0830428
2022,0.133092228,0.36903269,0.128539522,0.119692261,0.114365122,0.078667378,0.056610798
2023,0.133246768,0.420869965,0.119698283,0.085027942,0.085690799,0.103284902,0.05218134
2024,0.082911431,0.539553725,0.101253299,0.037343858,0.055804813,0.140275559,0.042857316
2025,0.058499533,0.549125261,0.116751044,0.046585789,0.067135874,0.117550821,0.044351678
2026,0.051814782,0.589594064,0.102243896,0.029214778,0.048570828,0.14337119,0.035190464
2027,0.089840096,0.526833984,0.115845502,0.049358548,0.05602076,0.134542349,0.02755876
2028,0.104703331,0.482032816,0.123458123,0.075563961,0.064690502,0.118328943,0.031222324
2029,0.066293546,0.567492038,0.109896498,0.04044478,0.046072747,0.144246652,0.02555374
2030,0.112532412,0.491437934,0.120853278,0.070681031,0.055863079,0.12881917,0.019813096
2031,0.198144192,0.345495653,0.118388683,0.147963372,0.068978989,0.099018669,0.022010443
2032,0.08777812,0.50271154,0.128714781,0.085569383,0.057124866,0.117765201,0.020336109
2033,0.055953773,0.591999367,0.098595536,0.037869657,0.031845984,0.161899118,0.021836565
2034,0.098611927,0.534490881,0.101963483,0.052024017,0.030742353,0.166604954,0.015562385
2035,0.046372542,0.604829286,0.100331801,0.039467194,0.028219159,0.162050565,0.018729453
2036,0.053763219,0.536340323,0.132019654,0.097700123,0.04492638,0.114599558,0.020650743
2037,0.066046337,0.537152693,0.118300511,0.091074205,0.035463803,0.132576781,0.019385669
2038,0.101712942,0.508719667,0.110305729,0.085466087,0.026974936,0.155032226,0.011788413
2039,0.09430928,0.486979884,0.11912474,0.124056564,0.032657858,0.130252305,0.012619368
2040,0.057659254,0.471340195,0.139057025,0.180564436,0.042700622,0.093351699,0.015326768
2041,0.057683126,0.486997807,0.135021232,0.16911017,0.035695811,0.102660509,0.012831345
2042,0.058382994,0.524388668,0.123593129,0.130823919,0.025762071,0.127106679,0.00994254
2043,0.021073788,0.647341122,0.091627445,0.046631423,0.015400536,0.167968231,0.009957455
2044,0.04129789,0.588892818,0.100411506,0.07823813,0.013276101,0.169090429,0.008793125
2045,0.026924953,0.624450641,0.090822156,0.049754206,0.009260488,0.191827802,0.006959754
2046,0.034887751,0.605828424,0.089096367,0.057652302,0.007921099,0.19911884,0.005495218
2047,0.03098863,0.616482039,0.0777739,0.044442831,0.005867924,0.22013655,0.004308127
2048,0.032599785,0.607865188,0.053911985,0.02134087,0.002897899,0.27888518,0.002499094
2049,0.05142985,0.56713433,0.043051031,0.018219923,0.001670212,0.31677554,0.001719114
2050,0.022095672,0.619956546,0.076981655,0.058196873,0.00425665,0.215025178,0.003487426
