Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.322267712,0.165595927,0.092444666,0.184352688,0.108936826,0.059038605,0.067363576
2020,0.289469836,0.210549203,0.086198794,0.144620978,0.090333822,0.078368404,0.100458962
2021,0.173357032,0.278910475,0.100422505,0.144209788,0.105460867,0.07427024,0.123369092
2022,0.143651629,0.318999073,0.108246891,0.136155634,0.105849659,0.076588867,0.110508247
2023,0.214083798,0.245534369,0.096300381,0.165561564,0.096220383,0.074791838,0.107507668
2024,0.150735927,0.299445131,0.101109404,0.155407715,0.10382692,0.074587488,0.114887415
2025,0.129449142,0.375950806,0.096233975,0.115066164,0.096281892,0.090734956,0.096283065
2026,0.129390542,0.340146684,0.098823525,0.147602569,0.103625576,0.078775635,0.101635469
2027,0.075405375,0.423566742,0.100025783,0.1216823,0.116030084,0.075513439,0.087776278
2028,0.149889849,0.408476343,0.075288803,0.101324033,0.096438919,0.104926675,0.063655377
2029,0.117806709,0.400177813,0.095332571,0.127660131,0.085139834,0.095306275,0.078576667
2030,0.087228056,0.402205224,0.100510817,0.15105069,0.098515967,0.078922842,0.081566403
2031,0.083657255,0.383187969,0.108854186,0.17606347,0.092803697,0.074011365,0.081422057
2032,0.119240203,0.336730486,0.107574764,0.202426171,0.076884366,0.079810817,0.077333194
2033,0.118067136,0.321988221,0.12127853,0.232646239,0.076527262,0.072518119,0.056974494
2034,0.213791124,0.20335798,0.095892551,0.299589759,0.062903209,0.066919622,0.057545756
2035,0.113454023,0.320534568,0.111174337,0.249058246,0.064392914,0.07619605,0.065189862
2036,0.061390971,0.398196923,0.108727046,0.222011436,0.076480132,0.069541785,0.063651707
2037,0.07760334,0.340232496,0.117031052,0.276381956,0.065872587,0.065937481,0.056941088
2038,0.04142554,0.442749202,0.11605679,0.212133574,0.063982798,0.070481585,0.053170512
2039,0.034816056,0.429210196,0.126082088,0.237942697,0.062447458,0.0627651,0.046736405
2040,0.023732276,0.429685677,0.130149518,0.251800082,0.063077013,0.0541763,0.047379133
2041,0.041324798,0.415875488,0.117898335,0.266264447,0.049039236,0.068154689,0.041443007
2042,0.066739647,0.312424009,0.122749193,0.363042263,0.044429709,0.058490493,0.032124687
2043,0.029333488,0.416248006,0.133395129,0.288229949,0.040799609,0.06171552,0.030278299
2044,0.129212277,0.200525394,0.101146632,0.460213118,0.03458262,0.051627675,0.022692284
2045,0.03020372,0.340309868,0.137618949,0.382169515,0.039758819,0.045971102,0.023968025
2046,0.043398962,0.299676469,0.124461764,0.428311221,0.032898721,0.047517693,0.023735169
2047,0.035743947,0.283500606,0.129366655,0.455358841,0.033484147,0.039614976,0.022930827
2048,0.026733834,0.299694617,0.129374052,0.45214394,0.030218402,0.038553414,0.023281741
2049,0.035883012,0.315386744,0.128966986,0.435971226,0.023801896,0.047705576,0.01228456
2050,0.012084094,0.339981547,0.128358117,0.433453844,0.024167558,0.035902021,0.026052818
