Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.235465249,0.269818286,0.103208534,0.126874833,0.101195277,0.081839829,0.081597991
2020,0.153096396,0.35069684,0.12045424,0.11203579,0.108485512,0.082833734,0.072397487
2021,0.181394178,0.352628948,0.10957598,0.099040945,0.091029488,0.097472939,0.068857521
2022,0.161227122,0.371617349,0.113641622,0.099663695,0.091081344,0.096985418,0.065783449
2023,0.197708913,0.307752374,0.106273315,0.13054476,0.091656222,0.088565599,0.077498817
2024,0.151855954,0.423085145,0.116362586,0.079620615,0.079747747,0.111282124,0.038045829
2025,0.076751504,0.434398899,0.122725023,0.105194538,0.096524041,0.083100377,0.081305619
2026,0.111703963,0.406425878,0.126041413,0.117818638,0.090784896,0.089150767,0.058074446
2027,0.100986518,0.418076672,0.125703565,0.118919782,0.087667765,0.089443503,0.059202194
2028,0.076493731,0.506289775,0.117874042,0.073014109,0.066516798,0.112954785,0.04685676
2029,0.059543654,0.475582404,0.136273682,0.108870009,0.084677359,0.085135812,0.04991708
2030,0.049287061,0.505888177,0.127237874,0.095769821,0.074496779,0.09125805,0.056062237
2031,0.041967745,0.520039507,0.128745408,0.096047541,0.075686995,0.088421837,0.049090967
2032,0.067627131,0.502026845,0.12185703,0.100660084,0.063885671,0.104398583,0.039544657
2033,0.061363013,0.528698385,0.12612811,0.086575743,0.05335767,0.114210707,0.029666372
2034,0.071864747,0.511843378,0.122949104,0.097638941,0.049682261,0.11713883,0.028882739
2035,0.026992014,0.552666936,0.136568192,0.099047269,0.057948143,0.090008447,0.036768999
2036,0.034217057,0.563300921,0.12896668,0.091073486,0.046835084,0.106230522,0.02937625
2037,0.065918606,0.472056545,0.139298406,0.155188864,0.053780798,0.094045084,0.019711697
2038,0.029334305,0.585523572,0.129014885,0.082483594,0.037069558,0.115985585,0.0205885
2039,0.041298886,0.553987082,0.123799425,0.107662648,0.034700236,0.117015291,0.021536432
2040,0.015634875,0.59280165,0.132403814,0.099237185,0.039008771,0.096311737,0.024601968
2041,0.014091237,0.588547738,0.124307148,0.115890093,0.041149162,0.088528929,0.027485692
2042,0.008266845,0.632828832,0.125413975,0.078683568,0.032863277,0.101069233,0.02087427
2043,0.014518918,0.544675532,0.136630897,0.163940006,0.033497478,0.08129737,0.0254398
2044,0.028098562,0.544225538,0.124704247,0.157654056,0.024955644,0.105551992,0.014809961
2045,0.019982046,0.516003446,0.134699443,0.201968427,0.027692124,0.083864201,0.015790312
2046,0.014411409,0.581676216,0.122569182,0.141377942,0.019316281,0.106194461,0.014454509
2047,0.018467344,0.547231005,0.129422685,0.172479766,0.016908176,0.104911756,0.010579269
2048,0.035125017,0.581351202,0.09739346,0.094873269,0.007518796,0.178792151,0.004946104
2049,0.10116385,0.511820636,0.055093915,0.041472934,0.002336803,0.286500835,0.001611027
2050,0.060827287,0.552028607,0.070225684,0.069080284,0.003176694,0.242230891,0.002430553
