Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.095854343,0.415946363,0.10338503,0.080228004,0.110304233,0.085630921,0.108651107
2020,0.113026072,0.385682824,0.10006815,0.092641932,0.108502195,0.0851891,0.114889727
2021,0.250992455,0.241842334,0.084122411,0.134492056,0.091275301,0.083741309,0.113534134
2022,0.10611464,0.39746916,0.09893264,0.097019791,0.108144987,0.085440139,0.106878643
2023,0.122111562,0.357727528,0.111344508,0.123465326,0.1011005,0.081345602,0.102904974
2024,0.176418189,0.291500501,0.099971701,0.149180634,0.092955982,0.081530889,0.108442104
2025,0.210226692,0.252711603,0.103955999,0.181250184,0.094402545,0.074206373,0.083246604
2026,0.189292441,0.27408224,0.097922191,0.169343406,0.086515567,0.081062456,0.101781699
2027,0.085782349,0.409033339,0.10972174,0.126005773,0.09745405,0.081311862,0.090690887
2028,0.066241767,0.440981136,0.112901836,0.118959183,0.094622646,0.080414139,0.085879293
2029,0.059244539,0.452552697,0.116442773,0.121542292,0.092665958,0.079207783,0.078343958
2030,0.059301679,0.44621569,0.115380114,0.131688351,0.089611721,0.078492814,0.079309631
2031,0.041663899,0.493406189,0.11760127,0.11451225,0.08811982,0.078101376,0.066595196
2032,0.047871991,0.47822645,0.108249533,0.129639268,0.090721223,0.077537379,0.067754155
2033,0.020630573,0.575409972,0.111955612,0.080903004,0.086874413,0.078701097,0.045525329
2034,0.024517552,0.542907911,0.122627859,0.105245936,0.074278408,0.078391949,0.052030385
2035,0.025314037,0.548578589,0.128713129,0.104804353,0.061873778,0.085080104,0.045636011
2036,0.019259917,0.567055526,0.124542873,0.101396902,0.063747207,0.08149167,0.042505905
2037,0.020456966,0.563331287,0.128316183,0.108740184,0.056749223,0.084439834,0.037966324
2038,0.029168948,0.480185218,0.132623023,0.182908136,0.060406417,0.070504075,0.044204183
2039,0.029422299,0.492483573,0.137403781,0.177625471,0.051171081,0.07664318,0.035250615
2040,0.030037612,0.49132486,0.138164428,0.18559577,0.046551105,0.078339822,0.029986402
2041,0.028718464,0.496152846,0.138364417,0.188657717,0.041881409,0.080216462,0.026008686
2042,0.024642029,0.552062535,0.131977442,0.140564371,0.031250064,0.099534044,0.019969515
2043,0.013354352,0.581892152,0.129804014,0.128989138,0.030670191,0.092801248,0.022488905
2044,0.01851868,0.518099937,0.135876722,0.194737074,0.030412364,0.081060702,0.021294521
2045,0.036728726,0.47935089,0.132745032,0.221464934,0.024231593,0.093127657,0.012351168
2046,0.013194961,0.539906247,0.131901185,0.189698046,0.024348515,0.083777971,0.017173076
2047,0.010159021,0.552862377,0.130083227,0.183896556,0.021074295,0.085250333,0.016674191
2048,0.007778926,0.501095304,0.131498402,0.252697158,0.024573141,0.062329996,0.020027073
2049,0.00896876,0.553291055,0.126275626,0.192933147,0.015163607,0.090557854,0.012809951
2050,0.004884246,0.542515988,0.126538881,0.222497472,0.019617235,0.070322492,0.013623687
