Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.058661326,0.533771753,0.084255586,0.041216662,0.122558387,0.094199509,0.065336777
2020,0.07743609,0.517363512,0.101456695,0.042076919,0.076744981,0.117464313,0.067457489
2021,0.0378585,0.527164981,0.105392741,0.051793962,0.109085377,0.082629775,0.086074663
2022,0.059897794,0.567332734,0.105189576,0.031216184,0.064759366,0.129360724,0.042243622
2023,0.055743569,0.518005676,0.118449929,0.058702244,0.089129108,0.096594238,0.063375236
2024,0.098316896,0.476306177,0.114007302,0.067160287,0.075815159,0.112177682,0.056216496
2025,0.02450224,0.573301476,0.110708683,0.047200542,0.10002681,0.08400211,0.060258139
2026,0.102236992,0.404647318,0.121647979,0.120703584,0.092105375,0.086406361,0.072252391
2027,0.062188388,0.476204874,0.128560922,0.095808834,0.087392324,0.087622388,0.06222227
2028,0.043806908,0.527730584,0.125309576,0.074450263,0.076599815,0.093889192,0.058213662
2029,0.067467124,0.496750301,0.125439545,0.08900635,0.072226744,0.100881652,0.048228283
2030,0.027262967,0.613499464,0.102277201,0.042240805,0.066055141,0.109667606,0.038996816
2031,0.07933802,0.455602509,0.128105346,0.123976262,0.0720971,0.094086386,0.046794376
2032,0.025748554,0.515622593,0.126016282,0.112381551,0.095505242,0.068133849,0.05659193
2033,0.016907416,0.572872025,0.121342142,0.081867627,0.088920361,0.073838377,0.044252051
2034,0.048146595,0.456514894,0.133780679,0.160419078,0.072154915,0.076557136,0.052426703
2035,0.018643565,0.610590187,0.122146109,0.060868618,0.048725463,0.104435331,0.034590726
2036,0.024856245,0.523950331,0.134910653,0.129733568,0.060916509,0.078181727,0.047450966
2037,0.016921597,0.643427915,0.106457124,0.049999049,0.042974618,0.116965311,0.023254385
2038,0.027662129,0.611378076,0.118481856,0.060127181,0.030571434,0.133236167,0.018543157
2039,0.019889214,0.615839795,0.117401662,0.073599843,0.035854827,0.11444311,0.022971548
2040,0.010740506,0.668997434,0.104126858,0.041027951,0.035259255,0.126977957,0.012870039
2041,0.038838828,0.615428093,0.091307974,0.043848155,0.014663627,0.185292036,0.010621286
2042,0.029440281,0.635118008,0.084031471,0.032524164,0.01178051,0.198946626,0.00815894
2043,0.077506757,0.56218845,0.075655261,0.039127337,0.008129661,0.232670074,0.004722461
2044,0.040430533,0.573122207,0.111839313,0.099550695,0.016030702,0.150009743,0.009016807
2045,0.043907378,0.598542668,0.051394809,0.015555422,0.003859443,0.283787374,0.002952905
2046,0.019324925,0.674517651,0.04406075,0.011604297,0.031747892,0.218470844,0.00027364
2047,0.026029218,0.621687713,0.048392862,0.012824649,0.003387567,0.285779303,0.001898688
2048,0.01953314,0.634895705,0.046041058,0.011740542,0.003740634,0.282711227,0.001337693
2049,0.024442909,0.618894615,0.048380509,0.016247756,0.00263842,0.287771126,0.001624665
2050,0.018635141,0.638806943,0.046624587,0.017259728,0.003482949,0.274038436,0.001152216
