Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.558654972,0.18050261,0.032098213,0.01114011,0.016086022,0.199470186,0.002047889
2020,0.439627795,0.271232121,0.045594291,0.013703702,0.02011802,0.20411506,0.005609011
2021,0.302824532,0.376897017,0.065419124,0.019317667,0.030428109,0.19460259,0.010510961
2022,0.265940901,0.405213955,0.049765097,0.009261539,0.017227009,0.243952456,0.008639043
2023,0.226061881,0.438735321,0.059179799,0.01186118,0.020049857,0.233424965,0.010686997
2024,0.394047152,0.297538934,0.037923669,0.008405624,0.011544739,0.246610594,0.003929289
2025,0.06524295,0.60016335,0.073474215,0.012130681,0.028773491,0.199217265,0.020998048
2026,0.201048074,0.450926887,0.044790699,0.006063711,0.010712957,0.280319839,0.006137832
2027,0.036241062,0.603925933,0.108452758,0.032235219,0.055702916,0.126845843,0.03659627
2028,0.216291294,0.445270279,0.073684465,0.023930654,0.025098175,0.206091879,0.009633253
2029,0.230648689,0.434119989,0.061852398,0.01654654,0.017374826,0.232862107,0.00659545
2030,0.115954461,0.536419104,0.051769916,0.007833209,0.012102855,0.268427381,0.007493075
2031,0.038459259,0.636223196,0.069529298,0.010096076,0.019830333,0.212979462,0.012882376
2032,0.034336755,0.641777917,0.084951965,0.021733094,0.033842658,0.164495638,0.018861974
2033,0.038238879,0.634284757,0.075297973,0.014135887,0.019440384,0.204725404,0.013876716
2034,0.10420752,0.545707794,0.053813093,0.009906416,0.010044526,0.270465007,0.005855643
2035,0.022318536,0.664416706,0.077772187,0.014194445,0.02297617,0.187359037,0.010962919
2036,0.095716645,0.533203274,0.0377232,0.004869318,0.004868789,0.320044613,0.003574161
2037,0.068873095,0.579033413,0.048984877,0.008053993,0.007348656,0.283133642,0.004572324
2038,0.096543099,0.5309079,0.038352161,0.005947727,0.004327682,0.320774141,0.003147289
2039,0.180861803,0.441160209,0.03455715,0.007017809,0.003159997,0.331331189,0.001911844
2040,0.190984966,0.415593167,0.02579149,0.004175637,0.001802062,0.360438076,0.001214603
2041,0.15035697,0.460035642,0.031669944,0.005934272,0.002243006,0.348238142,0.001522024
2042,0.213457467,0.392782747,0.024725145,0.004820491,0.001385701,0.361975304,0.000853145
2043,0.339501018,0.304190471,0.02526692,0.00927584,0.001669113,0.319629152,0.000467485
2044,0.304272793,0.321193205,0.022096845,0.006722,0.00111778,0.344167996,0.000429381
2045,0.188909154,0.439149289,0.047010334,0.026893764,0.003234654,0.293271233,0.001531572
2046,0.140132349,0.438863335,0.020284591,0.003747035,0.000659985,0.395646894,0.00066581
2047,0.049987603,0.571136498,0.045444696,0.013733807,0.002069124,0.315690463,0.00193781
2048,0.031223325,0.595161601,0.03923364,0.009603349,0.001862311,0.321421527,0.001494247
2049,0.09410134,0.487566777,0.023910522,0.006236452,0.000621372,0.386892882,0.000670654
2050,0.048368262,0.599559807,0.020096275,0.004898366,0.007271348,0.319761235,4.47E-05
