Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.070131596,0.512865848,0.103195811,0.04388053,0.08364774,0.108987734,0.07729074
2020,0.125404243,0.509247296,0.096972554,0.028535958,0.05320837,0.155354979,0.0312766
2021,0.136052455,0.50880918,0.088568154,0.023978611,0.043927361,0.172091373,0.026572866
2022,0.148222862,0.48312837,0.100630873,0.036945232,0.056926477,0.148591769,0.025554417
2023,0.092767904,0.508958297,0.107403593,0.047841665,0.066665092,0.126391898,0.04997155
2024,0.077108075,0.525088217,0.117575193,0.049603137,0.069490368,0.119649106,0.041485904
2025,0.175599116,0.464874974,0.092927938,0.037721604,0.045397673,0.163234153,0.020244541
2026,0.028940486,0.56983682,0.115103244,0.049613531,0.082054964,0.092949062,0.061501893
2027,0.036554944,0.550262606,0.125806282,0.060300483,0.076257101,0.095511933,0.055306652
2028,0.076959913,0.578854306,0.085153985,0.021244188,0.030791452,0.185923698,0.021072458
2029,0.083680101,0.548667281,0.103630029,0.042097636,0.043631988,0.151602189,0.026690776
2030,0.062069139,0.513478972,0.128302918,0.08488332,0.067460759,0.103867106,0.039937786
2031,0.076094978,0.56738726,0.102848271,0.036378443,0.035333694,0.163976221,0.017981133
2032,0.045687329,0.582230012,0.114442127,0.053639047,0.048851155,0.126763479,0.028386852
2033,0.021721013,0.598720968,0.124217162,0.059653036,0.056622318,0.101265627,0.037799877
2034,0.165325851,0.489308136,0.071934349,0.023796403,0.016166048,0.227564963,0.005904249
2035,0.076724293,0.569479639,0.094020192,0.040033335,0.024787107,0.180353188,0.014602245
2036,0.092387696,0.545336644,0.100125786,0.049234635,0.024592143,0.177101191,0.011221905
2037,0.066660465,0.585560199,0.087975574,0.034229777,0.018476772,0.196046792,0.01105042
2038,0.064227765,0.581334585,0.051059596,0.00877047,0.006686083,0.283443019,0.004478482
2039,0.053879747,0.600348783,0.087357735,0.032904345,0.014937148,0.201878223,0.008694018
2040,0.20705281,0.409758543,0.029799818,0.005781065,0.002231513,0.344132455,0.001243796
2041,0.238969917,0.393461524,0.034957921,0.010592628,0.002927652,0.317818908,0.00127145
2042,0.425615938,0.189673253,0.007735418,0.001226518,0.000282358,0.375348296,0.000118218
2043,0.066348578,0.543948284,0.026526916,0.003459038,0.002037598,0.356527409,0.001152178
2044,0.05406246,0.585166895,0.05577916,0.017750921,0.004302134,0.27937634,0.003562089
2045,0.163147704,0.426503049,0.022745716,0.004978597,0.00092088,0.38087642,0.000827634
2046,0.038879796,0.605496255,0.072922448,0.034533894,0.005346671,0.238821947,0.003998988
2047,0.110210164,0.504446446,0.044719891,0.021121016,0.00213108,0.315794768,0.001576635
2048,0.038399181,0.595986897,0.05413365,0.022074446,0.002688298,0.284349605,0.002367922
2049,0.370035198,0.23315399,0.009212255,0.003049463,0.000158408,0.384278839,0.000111846
2050,0.274178193,0.32415701,0.017074267,0.007785524,0.000341057,0.37622714,0.000236809
