Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.068884855,0.495040616,0.078890471,0.052966345,0.150648297,0.082988188,0.070581228
2020,0.127291268,0.371699052,0.087292975,0.09289686,0.117230296,0.084952671,0.118636878
2021,0.072180241,0.416839478,0.105943403,0.094487996,0.122584441,0.073212345,0.114752096
2022,0.127666801,0.402583408,0.096309694,0.087245164,0.098282181,0.096763364,0.091149386
2023,0.094455802,0.399645526,0.104461167,0.104614717,0.106135007,0.081957206,0.108730575
2024,0.184638614,0.315687984,0.107719227,0.135282769,0.090721958,0.088120666,0.077828782
2025,0.113967289,0.405340952,0.104616619,0.105691927,0.093199337,0.0929015,0.084282377
2026,0.098847135,0.415610911,0.115075866,0.113277848,0.09256016,0.08856246,0.07606562
2027,0.119724474,0.369559263,0.111440119,0.138108646,0.086520509,0.087094461,0.08755253
2028,0.113087025,0.361075015,0.114827481,0.155942604,0.08843089,0.081299362,0.085337623
2029,0.090303463,0.416328184,0.111374364,0.133142536,0.08795427,0.086283893,0.07461329
2030,0.068316651,0.473317788,0.123602896,0.109189536,0.0738274,0.094284699,0.057461031
2031,0.039126673,0.50657605,0.134424208,0.105738767,0.07770744,0.082355936,0.054070926
2032,0.069837299,0.388632117,0.134269207,0.192182052,0.087331929,0.068267588,0.059479809
2033,0.118561122,0.398682815,0.132696062,0.162979717,0.069585886,0.090957545,0.026536853
2034,0.063614499,0.449736686,0.136067029,0.158246284,0.068495207,0.083794466,0.040045829
2035,0.070320038,0.461816288,0.133992145,0.149419966,0.059015242,0.093646373,0.031789949
2036,0.036823617,0.524770818,0.131614841,0.122783422,0.05436402,0.091948702,0.03769458
2037,0.023387867,0.585125067,0.117807533,0.092454123,0.054584649,0.09484293,0.031797832
2038,0.018862719,0.555291831,0.135530627,0.120435674,0.05310518,0.081734091,0.035039878
2039,0.024536896,0.516374965,0.122580001,0.163796562,0.056361156,0.075253054,0.041097367
2040,0.017151127,0.504268793,0.124018494,0.188227088,0.064896282,0.061208283,0.040229933
2041,0.013944616,0.621477058,0.11704794,0.085942682,0.036225236,0.103796642,0.021565827
2042,0.023267356,0.512872804,0.132007762,0.18625669,0.039157964,0.079959056,0.026478367
2043,0.02147755,0.428799234,0.142960392,0.277804573,0.04434064,0.056321057,0.028296554
2044,0.028195655,0.50301799,0.129202351,0.202751299,0.027798704,0.089650146,0.019383856
2045,0.012770162,0.539771515,0.125414532,0.191818916,0.031545335,0.076303055,0.022376484
2046,0.009701036,0.502084199,0.133077756,0.235814659,0.029935563,0.063197,0.026189786
2047,0.014912052,0.550728674,0.123226843,0.182047477,0.018767734,0.095733521,0.014583699
2048,0.013088455,0.562610462,0.120127082,0.175941571,0.016474152,0.099764158,0.01199412
2049,0.022722329,0.553423867,0.111517096,0.168233136,0.010709146,0.126012184,0.007382242
2050,0.007363262,0.564251522,0.122136235,0.18815169,0.013247536,0.093407215,0.011442541
