Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.298806067,0.21425879,0.100523222,0.152698731,0.111917645,0.069048403,0.052747142
2020,0.170996535,0.317951074,0.111767709,0.123010298,0.107246273,0.080614094,0.088414017
2021,0.261102236,0.221559999,0.100895025,0.165682461,0.101635505,0.070985702,0.078139071
2022,0.12644565,0.380094064,0.119353743,0.108852996,0.10205945,0.085762071,0.077432026
2023,0.176686415,0.30328382,0.116103048,0.148998226,0.103876089,0.077299274,0.073753128
2024,0.127086379,0.375851465,0.123167137,0.122348938,0.099260959,0.08446082,0.067824302
2025,0.12632013,0.368141066,0.123984593,0.133563831,0.098680112,0.082146755,0.067163513
2026,0.132321887,0.376897366,0.127712862,0.131293323,0.092858171,0.086348664,0.052567727
2027,0.15441377,0.314591444,0.123848844,0.176549014,0.096614785,0.075109728,0.058872414
2028,0.217943623,0.277243975,0.119696235,0.186020259,0.098266599,0.07325204,0.027577268
2029,0.193467189,0.28820299,0.123875766,0.196002094,0.094182663,0.073087589,0.031181709
2030,0.293043214,0.204354564,0.107166454,0.224740695,0.095695412,0.061584465,0.013415197
2031,0.216459661,0.322712179,0.119869699,0.15856221,0.077698261,0.089623126,0.015074863
2032,0.081197116,0.438485494,0.135554495,0.144147225,0.073488886,0.088023016,0.039103768
2033,0.122446991,0.441007087,0.127841231,0.119755486,0.057845207,0.11095766,0.020146338
2034,0.07142522,0.442783895,0.137525449,0.159560856,0.067579641,0.085731368,0.035393572
2035,0.117186702,0.378431707,0.134180493,0.197518398,0.068601532,0.083028264,0.021052904
2036,0.088544792,0.444905337,0.134723593,0.158429791,0.055746482,0.096941239,0.020708766
2037,0.120206936,0.414707043,0.130022318,0.169168612,0.050574769,0.10148342,0.013836903
2038,0.082701928,0.477123186,0.129948063,0.141208918,0.042241903,0.111461654,0.015314348
2039,0.086351383,0.527410466,0.111585228,0.08578214,0.026494652,0.152336447,0.010039682
2040,0.054868829,0.521758844,0.128543316,0.129350513,0.032570573,0.117467367,0.015440558
2041,0.119868154,0.476968499,0.109216827,0.113552409,0.023148765,0.150730074,0.006515273
2042,0.043830845,0.580368663,0.110784602,0.082312601,0.019055513,0.153022757,0.010625019
2043,0.149177442,0.470460773,0.088574331,0.083307972,0.012570566,0.192290285,0.003618631
2044,0.067136701,0.568308328,0.084011449,0.052441915,0.008838696,0.214270968,0.004991943
2045,0.043618787,0.600034576,0.082021475,0.046307701,0.007647208,0.21508699,0.005283262
2046,0.066929704,0.551656384,0.090133604,0.079448455,0.008203932,0.199149511,0.004478409
2047,0.02312948,0.623194541,0.091480742,0.0635944,0.008185369,0.184323945,0.006091523
2048,0.016068786,0.645808557,0.079973878,0.044200433,0.006358427,0.202789539,0.00480038
2049,0.007819292,0.665306943,0.09154499,0.06193448,0.011706098,0.157044666,0.004643532
2050,0.011702822,0.624508457,0.098505725,0.093564068,0.007133757,0.158454419,0.006130752
