Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.355942109,0.157169845,0.081829855,0.165969965,0.090736142,0.066727885,0.081624198
2020,0.052702414,0.507841491,0.095703672,0.053797904,0.116524663,0.085888842,0.087541014
2021,0.176787733,0.311765111,0.091665455,0.116711243,0.101946027,0.085856423,0.115268008
2022,0.104665727,0.394857428,0.111291021,0.103262531,0.105670443,0.083389326,0.096863524
2023,0.064005224,0.47915253,0.098017892,0.074083148,0.115942707,0.084098479,0.084700019
2024,0.039680106,0.540080687,0.100309551,0.056415111,0.112094947,0.084532476,0.066887122
2025,0.032288041,0.565346131,0.101928738,0.05002156,0.10500172,0.086950467,0.058463344
2026,0.066918969,0.451272831,0.118259895,0.102430105,0.095903422,0.082906883,0.082307895
2027,0.037435031,0.537235705,0.111982754,0.068909011,0.09479053,0.085670077,0.063976892
2028,0.053446145,0.479888207,0.122053791,0.100692398,0.08908183,0.083482994,0.071354635
2029,0.074154917,0.434567996,0.129168692,0.130494355,0.086760396,0.082453022,0.062400622
2030,0.09779269,0.390881865,0.132208717,0.161563743,0.086230645,0.079735875,0.051586465
2031,0.13838972,0.334389352,0.131061036,0.197964486,0.086759883,0.075242388,0.036193135
2032,0.105985571,0.388684268,0.134200119,0.174376854,0.080560183,0.081178299,0.035014706
2033,0.142393302,0.319009582,0.130427345,0.225881282,0.083120907,0.071417144,0.027750439
2034,0.074207817,0.474370647,0.134640542,0.129018261,0.05943965,0.099393492,0.028929592
2035,0.075515229,0.487613387,0.13238063,0.121021716,0.051777911,0.107772282,0.023918845
2036,0.087553211,0.419312474,0.137087326,0.184768282,0.061240118,0.086665759,0.023372829
2037,0.094389348,0.440071254,0.133709822,0.163901366,0.050338697,0.100119775,0.017469738
2038,0.076610484,0.503963946,0.125990748,0.119123352,0.038614314,0.120989221,0.014707936
2039,0.034947769,0.571659338,0.125352877,0.095611204,0.033925398,0.118437738,0.020065676
2040,0.04813228,0.534398264,0.128313107,0.123349809,0.032587687,0.116847214,0.016371641
2041,0.062521727,0.503544998,0.127423745,0.146904028,0.031474701,0.115827131,0.012303671
2042,0.100000671,0.414894859,0.126772876,0.215905882,0.03463106,0.099601306,0.008193346
2043,0.03451563,0.575445946,0.118177483,0.1047445,0.020376853,0.134826964,0.011912624
2044,0.065259387,0.488569735,0.122569719,0.172227719,0.021827024,0.121328726,0.008217691
2045,0.054464429,0.550056828,0.106856499,0.107658334,0.013072331,0.161105946,0.006785633
2046,0.021022917,0.614222748,0.105412766,0.083042985,0.011650788,0.155607513,0.009040284
2047,0.017988761,0.622418033,0.10187453,0.080763141,0.010352005,0.158771645,0.007831886
2048,0.00957446,0.648942971,0.100378616,0.07427248,0.011743832,0.147892819,0.007194822
2049,0.027488132,0.591392984,0.094992424,0.096448693,0.006491823,0.178067544,0.005118401
2050,0.010566267,0.635353801,0.095954436,0.085157148,0.007677139,0.159784074,0.005507136
