Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.264162879,0.236934947,0.104006914,0.146637479,0.110298314,0.072372881,0.065586585
2020,0.29340283,0.20408196,0.099122537,0.166108647,0.106629652,0.067594624,0.06305975
2021,0.221408034,0.257796464,0.10646725,0.152753216,0.104794117,0.074412792,0.082368129
2022,0.230189504,0.265574922,0.112764638,0.154109251,0.10738342,0.074507338,0.055470926
2023,0.118938937,0.364839879,0.113396337,0.121348051,0.101602497,0.08157035,0.09830395
2024,0.210266166,0.278942175,0.11704142,0.163347113,0.104496981,0.074694368,0.051211778
2025,0.04674334,0.519262812,0.097762055,0.068165072,0.117732477,0.08214586,0.068188385
2026,0.0631462,0.512586322,0.12117714,0.068154708,0.076442799,0.103271495,0.055221336
2027,0.101469578,0.381131272,0.123112509,0.144157859,0.095303032,0.079070861,0.075754888
2028,0.185336252,0.399151252,0.117137829,0.094063431,0.068709559,0.114915949,0.020685727
2029,0.132985705,0.4348632,0.124869936,0.100403036,0.0701057,0.109457809,0.027314614
2030,0.191771396,0.368127798,0.120797426,0.126504188,0.073466375,0.101477914,0.017854903
2031,0.060862969,0.464124004,0.131974465,0.127351317,0.07792659,0.08491262,0.052848034
2032,0.027654866,0.572038146,0.121514999,0.072226973,0.067490324,0.09383144,0.045243251
2033,0.014024766,0.675309112,0.082922646,0.020354291,0.075986424,0.120945768,0.010456992
2034,0.030901778,0.577108376,0.123912255,0.074817768,0.054259537,0.104320301,0.034679985
2035,0.023853484,0.587193838,0.123481511,0.07712522,0.055575458,0.098090519,0.034679971
2036,0.029716641,0.528166124,0.133543454,0.124076753,0.057316064,0.085310524,0.04187044
2037,0.052122564,0.588926092,0.106287571,0.052019698,0.026466284,0.159310518,0.014867274
2038,0.058737841,0.56143004,0.115526359,0.075792095,0.029187992,0.144635606,0.014690068
2039,0.050233127,0.599525445,0.096208679,0.043547763,0.018376615,0.181323106,0.010785265
2040,0.089931711,0.511457709,0.114273382,0.102616915,0.02580025,0.146595173,0.009324861
2041,0.066385089,0.53973602,0.114802904,0.098083496,0.02237174,0.148279603,0.010341147
2042,0.049670924,0.528378044,0.125841735,0.135792449,0.025937079,0.121820997,0.012558772
2043,0.021029356,0.649047284,0.087106643,0.035336134,0.012292925,0.186860895,0.008326763
2044,0.067787994,0.571472545,0.07505061,0.039328555,0.007167277,0.234841164,0.004351855
2045,0.066547555,0.563036217,0.085721371,0.061565364,0.008281708,0.210180204,0.004667581
2046,0.128003394,0.491676432,0.048421301,0.023596792,0.002707191,0.30392317,0.00167172
2047,0.136029092,0.482153486,0.068035018,0.062246615,0.004670742,0.244868144,0.001996903
2048,0.128678537,0.47418291,0.077881737,0.098666041,0.005723589,0.212840239,0.002026946
2049,0.050343293,0.574467048,0.070508257,0.054372751,0.003591023,0.24391177,0.002805857
2050,0.078547049,0.532629636,0.061887215,0.055225193,0.00249123,0.267403584,0.001816094
