Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.035923373,0.578890104,0.077782045,0.029268123,0.154314001,0.08501468,0.038807674
2020,0.030915988,0.601281792,0.091136688,0.025114488,0.092844967,0.104641579,0.054064498
2021,0.047330057,0.540275656,0.106069445,0.044040703,0.088272102,0.099728037,0.074284
2022,0.050008185,0.537989307,0.109450254,0.046460148,0.082451223,0.102818111,0.070822774
2023,0.03246895,0.579778942,0.100133556,0.038147172,0.096592109,0.095360519,0.057518752
2024,0.024378382,0.639168422,0.086936042,0.019967408,0.082989664,0.115585132,0.03097495
2025,0.021747341,0.623350117,0.090426489,0.028096429,0.105718963,0.095785274,0.034875388
2026,0.036717494,0.614212093,0.097916779,0.026642856,0.057333686,0.131470151,0.035706941
2027,0.026060105,0.602949432,0.106032576,0.038718395,0.075145074,0.102837107,0.048257312
2028,0.060107351,0.539431393,0.119457614,0.060255097,0.063761655,0.115082511,0.041904379
2029,0.083492704,0.507745081,0.122496046,0.072662966,0.061923689,0.118089647,0.033589867
2030,0.060690561,0.516058784,0.127135817,0.083695292,0.067007435,0.104191722,0.041220388
2031,0.019390074,0.612637617,0.108973487,0.048944013,0.075899772,0.09439025,0.039764786
2032,0.030424983,0.579377958,0.121214466,0.064993747,0.059611421,0.103282632,0.041094793
2033,0.012947746,0.650986538,0.096862905,0.035916121,0.086984128,0.096029126,0.020273437
2034,0.023978668,0.651074486,0.094134326,0.025636707,0.032785494,0.153064283,0.019326036
2035,0.052983397,0.611232225,0.068429289,0.013731907,0.014087492,0.230512588,0.009023102
2036,0.03425479,0.63984904,0.079699706,0.019070995,0.018784742,0.196857391,0.011483337
2037,0.03754256,0.627279551,0.091398889,0.03025906,0.021118513,0.179493553,0.012907874
2038,0.116833547,0.524624156,0.055383733,0.014036622,0.007267853,0.277723621,0.004130468
2039,0.089152366,0.558580254,0.07022829,0.02354425,0.010088432,0.242795404,0.005611004
2040,0.342991794,0.314295211,0.03115795,0.011211748,0.00315856,0.296363673,0.000821064
2041,0.212153414,0.434743833,0.061420605,0.034109587,0.007887446,0.24734239,0.002342725
2042,0.243684782,0.390255317,0.036849647,0.013186595,0.002901829,0.311922057,0.001199772
2043,0.333018389,0.320464098,0.034122897,0.017545303,0.002761898,0.291375912,0.000711503
2044,0.361922733,0.298550545,0.034255787,0.022290596,0.002724151,0.279689199,0.000566988
2045,0.377315346,0.262324113,0.019408232,0.008244398,0.00093107,0.33148966,0.000287182
2046,0.40233006,0.229317353,0.013979125,0.005482103,0.00050381,0.348216579,0.00017097
2047,0.397469438,0.232286974,0.014063615,0.006153917,0.000451237,0.349415469,0.000159351
2048,0.408837332,0.218171008,0.012540784,0.005965284,0.000335307,0.354027356,0.000122929
2049,0.451679231,0.148057153,0.004992005,0.00164978,7.13E-05,0.393517028,3.35E-05
2050,0.370328121,0.240828048,0.011338532,0.005320856,0.000202483,0.371868622,0.000113337
