Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.660159368,0.03120822,0.028296742,0.145328722,0.034473304,0.058836163,0.041697481
2020,0.44586393,0.112368568,0.063145442,0.163554497,0.070081394,0.066605051,0.078381117
2021,0.402704546,0.138278136,0.066854823,0.156766883,0.07130206,0.073690989,0.090402563
2022,0.574346294,0.048521361,0.043092825,0.193973022,0.052476422,0.051415364,0.036174713
2023,0.37126382,0.14726488,0.074581322,0.180764757,0.075458958,0.070437706,0.080228557
2024,0.391390488,0.123922162,0.078624762,0.218226339,0.086441716,0.056502989,0.044891544
2025,0.158412498,0.310161046,0.116187721,0.161484675,0.100168549,0.076311118,0.077274393
2026,0.156101122,0.30590085,0.113983486,0.170450637,0.096886886,0.075972926,0.080704092
2027,0.11753031,0.355855934,0.10571501,0.146827967,0.092163087,0.082096148,0.099811545
2028,0.151593966,0.299661684,0.114693171,0.192171032,0.09207623,0.073959442,0.075844475
2029,0.151973452,0.347855768,0.088208856,0.149082235,0.088844345,0.091219721,0.082815622
2030,0.149093837,0.292046529,0.110456565,0.212551504,0.083675451,0.074139265,0.078036848
2031,0.134109387,0.302692257,0.114645576,0.22127086,0.082697755,0.072417525,0.072166642
2032,0.081903098,0.383824424,0.1137057,0.182545606,0.080604181,0.07683057,0.08058642
2033,0.141279357,0.297894195,0.12924924,0.247286906,0.082697281,0.067133503,0.034459518
2034,0.08596316,0.37040211,0.134795298,0.217301851,0.076045832,0.071631803,0.043859947
2035,0.076085997,0.384690677,0.136791215,0.218220091,0.071918626,0.071811509,0.040481885
2036,0.073359516,0.375895711,0.136421101,0.236950485,0.068937396,0.069182999,0.039252792
2037,0.041420055,0.433012593,0.131865479,0.20913504,0.063852139,0.068765841,0.051948853
2038,0.052679632,0.461752793,0.139466549,0.182402445,0.052267937,0.084753872,0.026676772
2039,0.036956125,0.470780463,0.139070444,0.193201943,0.051651863,0.076843803,0.031495359
2040,0.034974665,0.541158858,0.132118257,0.130693472,0.036395025,0.103882533,0.02077719
2041,0.045871375,0.489012665,0.136309977,0.179048626,0.036710533,0.095084747,0.017962077
2042,0.052343724,0.431327422,0.137644821,0.243025806,0.040000018,0.079513975,0.016144233
2043,0.032165995,0.422581749,0.138503086,0.277847129,0.039964917,0.065042961,0.023894162
2044,0.030072668,0.499196527,0.134726036,0.202000035,0.028059178,0.090171751,0.015773804
2045,0.008828501,0.54476119,0.130801388,0.187156886,0.034261389,0.069460566,0.02473008
2046,0.010047885,0.546950079,0.132334129,0.185829426,0.025440595,0.07903462,0.020363265
2047,0.010910867,0.553630124,0.12966182,0.181806627,0.020590403,0.087653802,0.015746357
2048,0.011870317,0.493503943,0.133347925,0.25267761,0.020219332,0.071984116,0.016396757
2049,0.012566074,0.615733937,0.105894477,0.106238949,0.009594505,0.142601531,0.007370526
2050,0.006809768,0.63911699,0.104029759,0.097443195,0.010611686,0.135323083,0.006665518
