Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.29518366,0.212414284,0.077435785,0.128064434,0.088961098,0.082506307,0.115434432
2020,0.089762592,0.426543245,0.101447363,0.08029502,0.11226381,0.085188371,0.104499598
2021,0.102790819,0.403886275,0.100183453,0.091439156,0.111080123,0.084871659,0.105748514
2022,0.145094022,0.332484714,0.109307056,0.127401964,0.10289676,0.080768572,0.102046912
2023,0.124760346,0.371756782,0.096454954,0.109335621,0.10476439,0.086188595,0.106739311
2024,0.1217089,0.354223744,0.110485394,0.130275316,0.098497774,0.081188636,0.103620237
2025,0.08544341,0.419969187,0.120856467,0.110602375,0.096285616,0.083519004,0.083323941
2026,0.087647056,0.443620783,0.126269926,0.102130156,0.088943868,0.090825101,0.06056311
2027,0.116640778,0.377285244,0.127839339,0.143415984,0.093956138,0.081751393,0.059111124
2028,0.147493196,0.380895058,0.128185413,0.132210446,0.084974539,0.091912138,0.034329209
2029,0.038018296,0.519910567,0.1191405,0.086457209,0.085885096,0.083732033,0.0668563
2030,0.057622174,0.514980398,0.127523574,0.086042369,0.068705252,0.101201933,0.043924299
2031,0.059555354,0.549281571,0.120135032,0.063966376,0.053137053,0.122671645,0.031252967
2032,0.029283156,0.574022806,0.121232985,0.07027792,0.065843052,0.096844836,0.042495245
2033,0.070037431,0.491593295,0.132326497,0.111575476,0.06045522,0.102793994,0.031218086
2034,0.066497533,0.46088844,0.136808373,0.146543824,0.065405912,0.089043298,0.034812619
2035,0.061168201,0.532606252,0.126442125,0.091542201,0.045780861,0.119089252,0.023371108
2036,0.04671379,0.571337134,0.120268843,0.072983187,0.038027029,0.129152611,0.021517405
2037,0.0701894,0.510129327,0.12839567,0.113100858,0.040797112,0.118880412,0.018507223
2038,0.061739122,0.574025542,0.105794555,0.057859743,0.024047083,0.16408379,0.012450164
2039,0.038731797,0.599461994,0.110729729,0.062038457,0.024959627,0.149064632,0.015013765
2040,0.046316776,0.594352735,0.104168639,0.058125992,0.019918906,0.165675887,0.011441064
2041,0.064214486,0.566601361,0.1020969,0.066635382,0.017318296,0.174379067,0.008754508
2042,0.033987446,0.609814569,0.103439942,0.060916504,0.01657041,0.164585084,0.010686044
2043,0.059947345,0.560304275,0.104201213,0.083320414,0.015047526,0.169520029,0.007659198
2044,0.085602873,0.549412403,0.0726689,0.040073173,0.006751938,0.241710775,0.003779938
2045,0.124828466,0.502442807,0.072173509,0.05380148,0.00646167,0.237589228,0.00270284
2046,0.103556666,0.517953309,0.050272332,0.022908177,0.002865915,0.300527953,0.001915647
2047,0.140637034,0.478559822,0.065800572,0.058427813,0.004401055,0.250283483,0.001890221
2048,0.033890297,0.592173033,0.091054355,0.08053653,0.006693314,0.190713608,0.004938862
2049,0.074815156,0.533332517,0.077162407,0.081243738,0.004265896,0.226565441,0.002614844
2050,0.119137985,0.487204393,0.050064835,0.041556071,0.001737871,0.299092434,0.001206412
