Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.063228466,0.498061252,0.106280889,0.052883858,0.099184224,0.0944595,0.085901811
2020,0.054207596,0.50220569,0.103515168,0.055205964,0.104016609,0.088990719,0.091858255
2021,0.154496439,0.334442666,0.114021497,0.122545749,0.105988628,0.081277959,0.087227061
2022,0.140553043,0.351077003,0.117181159,0.122115254,0.104579296,0.081896147,0.082598098
2023,0.134984787,0.366353884,0.121245917,0.120465064,0.101514609,0.084072169,0.07136357
2024,0.136463235,0.404645625,0.123809784,0.099184785,0.088561224,0.097471042,0.049864304
2025,0.040660122,0.541156438,0.112774346,0.057159511,0.086644725,0.093423329,0.068181529
2026,0.101654475,0.467796753,0.123480536,0.079961045,0.075894926,0.108143329,0.043068936
2027,0.078065912,0.481916438,0.125562092,0.085498237,0.078432896,0.100317717,0.050206709
2028,0.088617352,0.456411371,0.129196536,0.103181476,0.079758852,0.096377491,0.046456922
2029,0.173953279,0.395238115,0.121369614,0.108768677,0.071274164,0.108050352,0.021345799
2030,0.069927201,0.525442463,0.122843064,0.071507546,0.059325026,0.117350545,0.033604155
2031,0.144237392,0.500583816,0.093107003,0.038945288,0.031929346,0.178946312,0.012250843
2032,0.120493368,0.471181642,0.121155648,0.089358579,0.053044421,0.125362825,0.019403517
2033,0.117083866,0.535183009,0.08000081,0.025044204,0.019799075,0.213078895,0.00981014
2034,0.158128477,0.493286482,0.080598035,0.032090432,0.020194623,0.208257995,0.007443957
2035,0.311426351,0.328210156,0.024953505,0.004154441,0.002819592,0.327234415,0.001201541
2036,0.102476583,0.544279415,0.08738364,0.035467652,0.018978909,0.202378669,0.009035133
2037,0.075230424,0.559536844,0.10442177,0.055679583,0.025134543,0.167764941,0.012231895
2038,0.093602542,0.554802507,0.078517091,0.029515153,0.013371185,0.223320789,0.006870732
2039,0.133160805,0.509969678,0.080704948,0.041268502,0.013910667,0.215763126,0.005222275
2040,0.054760538,0.59402366,0.091869774,0.042570944,0.015369093,0.192504953,0.008901037
2041,0.089092917,0.554189971,0.073832684,0.031587416,0.009276401,0.237036377,0.004984234
2042,0.046016294,0.60765681,0.074114831,0.026734372,0.008584539,0.230834978,0.006058177
2043,0.111859456,0.498953782,0.035305219,0.00778521,0.002203495,0.342206143,0.001686694
2044,0.075291549,0.525780828,0.026905803,0.003994327,0.001536898,0.365323674,0.001166921
2045,0.218300855,0.364733221,0.015536715,0.002675967,0.000501967,0.397807042,0.000444233
2046,0.192902819,0.387863215,0.017159003,0.003333831,0.000518802,0.397740602,0.000481728
2047,0.150749685,0.435418731,0.023260034,0.005971957,0.000734175,0.383193412,0.000672006
2048,0.125345497,0.468896497,0.029916735,0.010375079,0.000964048,0.363644666,0.000857478
2049,0.2384492,0.32893767,0.008178614,0.001284164,0.00012179,0.422875864,0.000152698
2050,0.21371035,0.348154827,0.008549716,0.00145348,0.000112548,0.427862322,0.000156759
