Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.409400858,0.125832622,0.075142586,0.177154164,0.08906896,0.060285407,0.063115403
2020,0.41904902,0.118381154,0.079318639,0.194754119,0.103741189,0.052246269,0.03250961
2021,0.259751163,0.229486286,0.10272895,0.16291248,0.107075934,0.070654057,0.067391131
2022,0.122844473,0.388519464,0.119795148,0.104931074,0.101058679,0.087056088,0.075795074
2023,0.181437265,0.389072656,0.116865269,0.086036756,0.083634647,0.107063174,0.035890233
2024,0.136711692,0.361088045,0.122806062,0.129092041,0.100161204,0.083008026,0.06713293
2025,0.120064772,0.407239019,0.126086969,0.109132969,0.09111421,0.091955046,0.054407016
2026,0.108272395,0.405034925,0.127194001,0.120622243,0.0927588,0.086906074,0.059211561
2027,0.051944685,0.518617475,0.121040883,0.073617222,0.081668333,0.09525631,0.057855091
2028,0.060294278,0.542718582,0.118521581,0.058050722,0.062342402,0.117256367,0.040816068
2029,0.045022663,0.580815066,0.112769076,0.044926433,0.053060022,0.125620724,0.037786016
2030,0.048814723,0.573223421,0.115206631,0.050557861,0.052023111,0.125624243,0.03455001
2031,0.039988569,0.537410353,0.126821421,0.083399572,0.067062649,0.095852874,0.049464564
2032,0.063375845,0.534606114,0.123992564,0.076281437,0.053685005,0.118384257,0.029674778
2033,0.062246234,0.514852994,0.129777581,0.097384725,0.057233448,0.107511808,0.030993209
2034,0.078643535,0.461614938,0.135534063,0.13735945,0.060870207,0.097036282,0.028941525
2035,0.031213742,0.58027946,0.123894831,0.076418553,0.049871744,0.107718975,0.030602694
2036,0.059272717,0.588695284,0.099188734,0.041185802,0.024601602,0.173257846,0.013798015
2037,0.036258474,0.632866863,0.083461183,0.023101179,0.017735112,0.195039743,0.011537446
2038,0.028093939,0.651312166,0.072542204,0.016153892,0.015442972,0.208228978,0.008225849
2039,0.052086005,0.605309287,0.078705385,0.025394974,0.012510242,0.217855114,0.008138994
2040,0.038254009,0.602605199,0.107719807,0.060814358,0.021574515,0.155925758,0.013106354
2041,0.104525922,0.534417254,0.059687514,0.020320074,0.006390876,0.271020889,0.003637471
2042,0.052663268,0.592906379,0.055057241,0.013744334,0.005409678,0.27638004,0.00383906
2043,0.115020481,0.51075445,0.047198529,0.015055012,0.003556414,0.306162863,0.002252251
2044,0.090379765,0.544154528,0.065410901,0.031718631,0.005596619,0.259466951,0.003272605
2045,0.097182589,0.531069766,0.073768722,0.049282532,0.006256043,0.239136269,0.003304079
2046,0.103697446,0.521348604,0.06696505,0.045008835,0.00471328,0.255656104,0.002610682
2047,0.11048808,0.498503742,0.081293918,0.087363116,0.006467531,0.213192603,0.00269101
2048,0.112742975,0.48608408,0.082666379,0.107322745,0.006389821,0.202486912,0.002307087
2049,0.173301781,0.441116275,0.056129906,0.060665368,0.002817083,0.264870679,0.001098906
2050,0.194212978,0.417452992,0.05422508,0.071319105,0.002515406,0.259432953,0.000841487
