Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.303388222,0.191909988,0.08635771,0.15358589,0.094999072,0.071994636,0.097764482
2020,0.198596694,0.252393482,0.112592974,0.168084896,0.125710539,0.063093634,0.079527781
2021,0.298299625,0.21020479,0.104542872,0.16836457,0.115177105,0.065066492,0.038344545
2022,0.210699729,0.329198318,0.112624639,0.111231654,0.094320397,0.093220436,0.048704828
2023,0.064233378,0.455814265,0.119550571,0.085961457,0.099037107,0.082978913,0.092424309
2024,0.079411775,0.430552688,0.113659667,0.101401762,0.10656892,0.08122519,0.087179997
2025,0.053700233,0.494010767,0.101719679,0.078322001,0.112661462,0.081913317,0.077672541
2026,0.040367575,0.546465336,0.10346254,0.059122257,0.094012982,0.09135403,0.065215281
2027,0.017311309,0.596152675,0.108612372,0.044064195,0.106139012,0.080258455,0.047461982
2028,0.035834216,0.597623096,0.099498314,0.041589594,0.070738316,0.111920244,0.042796219
2029,0.023902734,0.627798108,0.097566539,0.034255427,0.071543584,0.1095271,0.035406509
2030,0.02591222,0.594667017,0.111692568,0.051630425,0.068604995,0.100321222,0.047171554
2031,0.043693507,0.580662869,0.11966383,0.051357321,0.050504053,0.124276354,0.029842066
2032,0.225961657,0.346865474,0.116916396,0.131568662,0.06705733,0.102237016,0.009393465
2033,0.220836681,0.435007962,0.075225621,0.033770226,0.020126454,0.207898093,0.007134963
2034,0.096230927,0.548570595,0.095747587,0.041382245,0.028196592,0.177516308,0.012355746
2035,0.027882373,0.583668939,0.124935189,0.075909861,0.050983446,0.104602586,0.032017606
2036,0.038754359,0.509016831,0.13940416,0.134776918,0.058130481,0.086892469,0.033024782
2037,0.030533558,0.491359926,0.139406347,0.162546645,0.060667135,0.074600815,0.040885574
2038,0.026154949,0.520254239,0.144259281,0.14501582,0.053819747,0.080084399,0.030411565
2039,0.015497178,0.538106413,0.140328635,0.143076907,0.054905129,0.071817662,0.036268076
2040,0.030868621,0.560135265,0.131280166,0.115131667,0.034756643,0.107925183,0.019902454
2041,0.032496594,0.622574685,0.098052921,0.049506729,0.017780044,0.168467969,0.011121058
2042,0.016806021,0.669417146,0.081934425,0.028882481,0.016414497,0.178217577,0.008327852
2043,0.008443203,0.674099867,0.102234935,0.044935031,0.025607183,0.134309329,0.010370453
2044,0.016581043,0.659522704,0.088668594,0.039367564,0.014066652,0.174598468,0.007194975
2045,0.069309274,0.566836905,0.068953127,0.036515839,0.005589067,0.249119773,0.003676015
2046,0.021524484,0.646913338,0.071848442,0.032195945,0.007333939,0.21525359,0.004930262
2047,0.010093051,0.648265824,0.104415096,0.069486976,0.012987065,0.14687802,0.007873968
2048,0.006434287,0.649964138,0.108289993,0.08907323,0.019504051,0.119634358,0.007099943
2049,0.026621928,0.609234095,0.084507581,0.06851008,0.005421203,0.201526389,0.004178724
2050,0.026412232,0.614655273,0.065326438,0.040942361,0.003131264,0.246814116,0.002718317
