Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.302312709,0.190377009,0.038665731,0.054752795,0.046239291,0.070786227,0.296866238
1992,0.436446089,0.153873034,0.018207431,0.034390767,0.066203882,0.089092862,0.201785935
1993,0.448716434,0.170794278,0.021010681,0.043629911,0.061760067,0.091017456,0.163071173
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.453884956,0.214643949,0.034094522,0.04135499,0.099889685,0.085995237,0.070136661
1996,0.379295196,0.18483946,0.054496473,0.06890109,0.125820784,0.076203221,0.110443776
1997,0.353160932,0.209039119,0.067599104,0.088298127,0.093164186,0.073681151,0.11505738
1998,0.319211907,0.200488125,0.044990191,0.063115514,0.071543899,0.077138975,0.22351139
1999,0.348797654,0.18995169,0.041980025,0.055466176,0.055884484,0.074048662,0.233871308
2000,0.412081939,0.191304545,0.043828271,0.047101807,0.043230126,0.081726,0.180727312
2001,0.255733741,0.289908796,0.06551682,0.057559675,0.087681642,0.072655886,0.17094344
2002,0.228106622,0.301779104,0.077705402,0.073071465,0.057759975,0.074552314,0.187025118
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.214416055,0.326474447,0.071638679,0.050423125,0.063523837,0.086861907,0.18666195
2005,0.295455264,0.293489617,0.056819683,0.049842603,0.078422138,0.097061753,0.128908942
2006,0.152798875,0.35699386,0.060266761,0.058521122,0.040948671,0.075958328,0.254512384
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.158261107,0.416713961,0.070558831,0.058752829,0.054192029,0.072613742,0.1689075
2011,0.274882683,0.382130912,0.057148793,0.118416591,0.043136243,0.072356829,0.051927949
2012,0.14531127,0.458947903,0.091905412,0.103177242,0.054690274,0.065491847,0.080476052
2013,0.156314673,0.300132472,0.079144623,0.123129029,0.053098393,0.077956441,0.210224369
2014,0.090054549,0.432505053,0.075287066,0.066823015,0.08276596,0.092339599,0.160224757
2015,0.059782907,0.557450303,0.061960742,0.029393616,0.121926418,0.095807972,0.073678043
2016,0.046301428,0.583972384,0.095339846,0.022231361,0.07421092,0.09743172,0.080512341
2017,0.152702476,0.524570321,0.070075518,0.025923045,0.044747666,0.132517699,0.049463275
2018,0.105469857,0.53831532,0.101542496,0.039283867,0.04259052,0.124050565,0.048747374
2019,0.023128951,0.612067813,0.094504035,0.021126645,0.090393401,0.102827637,0.055951518
2020,0.045645706,0.575043579,0.085719433,0.030920611,0.098167191,0.105775834,0.058727646
2021,0.041753596,0.57996505,0.096303941,0.030808609,0.081343426,0.111160596,0.058664783
2022,0.107905118,0.488070825,0.107852557,0.050709191,0.06996864,0.12475566,0.050738008
2023,0.132682518,0.440209419,0.111203957,0.070854129,0.076144188,0.115001783,0.053904006
2024,0.101466774,0.406384999,0.108105889,0.103931184,0.095809891,0.088433607,0.095867656
2025,0.089079573,0.379964833,0.116723534,0.132403111,0.102424761,0.07500103,0.104403159
2026,0.044186529,0.486015829,0.124885011,0.090340334,0.099412918,0.077140026,0.078019353
2027,0.068433601,0.571322463,0.102155146,0.032470914,0.045452169,0.151134497,0.029031209
2028,0.112595337,0.543654252,0.079369926,0.018495436,0.025457989,0.206762863,0.013664197
2029,0.152087464,0.485851866,0.040058174,0.004338141,0.007475195,0.305430174,0.004758985
2030,0.292688075,0.361935495,0.035724407,0.006283749,0.006452917,0.293771744,0.003143613
2031,0.05270994,0.614922404,0.074118467,0.012706737,0.020295826,0.212970153,0.012276475
2032,0.032826706,0.648848395,0.068219896,0.009565117,0.021575862,0.209111172,0.009852852
2033,0.01996798,0.634694402,0.092955244,0.046105608,0.084469252,0.097161787,0.024645727
2034,0.020956452,0.560682509,0.132509544,0.092235629,0.070405035,0.081007164,0.042203667
2035,0.024914137,0.562629323,0.12723535,0.094169425,0.058492793,0.090188043,0.042370929
2036,0.024612245,0.592618841,0.126263055,0.073554251,0.044305542,0.10820435,0.030441717
2037,0.014708726,0.614586538,0.124100093,0.070235833,0.05037615,0.096887781,0.029104878
2038,0.127003621,0.514078768,0.088079499,0.047105839,0.017761283,0.199405947,0.006565044
2039,0.128613909,0.51612454,0.079591891,0.03642268,0.013040617,0.221618629,0.004587733
2040,0.262055985,0.390682582,0.048446906,0.021322691,0.005843386,0.269945386,0.001703064
2041,0.139443943,0.492039095,0.049363306,0.014660949,0.004559822,0.297536597,0.002396287
2042,0.173116053,0.465998071,0.061057536,0.031756779,0.006586727,0.258947111,0.002537723
2043,0.214940557,0.426158585,0.052472819,0.029194515,0.005002539,0.270597555,0.001633431
2044,0.10144434,0.521557742,0.088294119,0.07211643,0.010339383,0.202185535,0.00406245
2045,0.074956181,0.555551384,0.082999677,0.061166276,0.008379075,0.212835938,0.004111468
2046,0.048024161,0.583012864,0.08883974,0.066044048,0.007936326,0.20116836,0.004974502
2047,0.073844813,0.552932129,0.067485373,0.043100502,0.004186635,0.255788755,0.002661793
2048,0.163811205,0.446682476,0.04068983,0.02497879,0.001652086,0.32108635,0.001099264
2049,0.2505109,0.358222942,0.02552386,0.014046827,0.000728452,0.350559466,0.000407552
2050,0.426912282,0.225299042,0.022092603,0.028493704,0.000797392,0.296250554,0.000154423
