Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.312117269,0.187244738,0.037840442,0.053613579,0.044885976,0.071931878,0.292366118
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.432861981,0.175895222,0.025776707,0.052440617,0.089262185,0.090915469,0.13284782
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.386753499,0.182495494,0.053646104,0.067878272,0.123359615,0.077000921,0.108866095
1997,0.369463483,0.203757282,0.065364401,0.085400255,0.089025844,0.075548776,0.111439959
1998,0.316473651,0.204057982,0.046324087,0.066863062,0.078876137,0.07437277,0.213032311
1999,0.359048881,0.186598571,0.041039942,0.054250217,0.05420251,0.075159609,0.229700271
2000,0.348912066,0.21410538,0.050631309,0.054419505,0.052589314,0.074930007,0.204412419
2001,0.262440219,0.287359876,0.064653021,0.056823382,0.086084818,0.073587571,0.169051113
2002,0.208375431,0.309038888,0.080797538,0.076000936,0.061270626,0.071263667,0.193252914
2003,0.206323658,0.360075388,0.073253928,0.057433254,0.086842077,0.078542959,0.137528737
2004,0.180735502,0.339708625,0.076840385,0.054249773,0.070577753,0.07990377,0.197984192
2005,0.221739147,0.3222265,0.065249729,0.055747302,0.089636704,0.087346368,0.15805425
2006,0.157421677,0.35996855,0.061256136,0.061180193,0.044382376,0.074761981,0.241029088
2007,0.146265245,0.377743705,0.067577649,0.063304532,0.080210605,0.089080697,0.175817566
2008,0.131075242,0.455960019,0.061601444,0.066171918,0.072438984,0.085593087,0.127159305
2009,0.113028043,0.397330227,0.05275658,0.054476903,0.132586008,0.087857748,0.161964489
2010,0.163247576,0.414603584,0.06976219,0.058109055,0.053261813,0.07368288,0.167332901
2011,0.231243438,0.402883358,0.062973914,0.129573245,0.049597319,0.066490293,0.057238434
2012,0.179051539,0.445175461,0.085034806,0.095546022,0.048375972,0.072427704,0.074388495
2013,0.128872519,0.308920118,0.083738101,0.129820051,0.05832044,0.070762552,0.21956622
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.052006837,0.560304071,0.063498112,0.029298552,0.119656327,0.093184165,0.082051935
2016,0.06536199,0.579174317,0.087901467,0.020875679,0.068853307,0.109758037,0.068075203
2017,0.131679127,0.538446863,0.074978804,0.02784928,0.049444388,0.124598752,0.053002785
2018,0.126447856,0.525409135,0.09458989,0.036342003,0.038076202,0.133956973,0.045177941
2019,0.024908483,0.580693688,0.057635698,0.013906686,0.238029624,0.077688669,0.007137152
2020,0.02804438,0.605263444,0.066811475,0.018092504,0.178757822,0.087556005,0.01547437
2021,0.089474082,0.451116802,0.090005576,0.070595162,0.11302634,0.091287558,0.09449448
2022,0.101632184,0.439695867,0.103593996,0.077503147,0.095041258,0.09760671,0.084926838
2023,0.094217657,0.404096794,0.121817016,0.111084455,0.110580783,0.07858207,0.079621225
2024,0.07476596,0.47294824,0.031483191,0.014111657,0.341208954,0.065025688,0.000456309
2025,0.063730882,0.440259451,0.029530372,0.011987558,0.40153459,0.052875049,8.21E-05
2026,0.276321905,0.3164892,0.010486413,0.009490738,0.344566709,0.042644793,2.41E-07
2027,0.024327836,0.669749246,0.065890792,0.00733909,0.038168739,0.181829345,0.012694953
2028,0.035809773,0.64063516,0.049429884,0.003862902,0.01762491,0.244486933,0.008150438
2029,0.092108523,0.56672659,0.070672851,0.01333272,0.019866752,0.224900714,0.01239185
2030,0.196988561,0.459152503,0.079216789,0.029523774,0.025624441,0.19991063,0.009583303
2031,0.052491603,0.612305302,0.080343622,0.017044246,0.023160001,0.197775503,0.016879723
2032,0.041582074,0.631899318,0.07778621,0.015604895,0.023594686,0.194861106,0.01467171
2033,0.026369986,0.647389968,0.093207094,0.028142772,0.041077714,0.143146652,0.020665814
2034,0.051090654,0.468742669,0.136130545,0.14906538,0.069273964,0.081692368,0.044004421
2035,0.032840591,0.538959749,0.133537895,0.107226546,0.057514238,0.091681786,0.038239196
2036,0.013978594,0.643599292,0.107619078,0.050108753,0.058551125,0.102529656,0.023613501
2037,0.007678587,0.652862613,0.112525564,0.046477171,0.068431595,0.092125957,0.019898513
2038,0.013569905,0.648395741,0.106069941,0.054978801,0.052443938,0.105467747,0.019073926
2039,0.026316665,0.465675076,0.140793643,0.204484321,0.057351237,0.065526743,0.039852315
2040,0.028046873,0.49511299,0.144014318,0.181758641,0.047706694,0.076919021,0.026441464
2041,0.017504441,0.620984624,0.119268523,0.076520856,0.029456449,0.118926722,0.017338384
2042,0.013246118,0.585386365,0.136593972,0.115789796,0.032399759,0.094171015,0.022412976
2043,0.018383107,0.596829283,0.120204287,0.108571161,0.025192287,0.112488114,0.018331761
2044,0.019129702,0.587225177,0.119735874,0.122237127,0.02290487,0.112045872,0.016721379
2045,0.015415221,0.658242817,0.078503064,0.027869466,0.008530291,0.205447706,0.005991434
2046,0.009249333,0.685255909,0.083671544,0.039774658,0.021094328,0.157016276,0.003937953
2047,0.006332433,0.652938325,0.104859295,0.093485092,0.029662996,0.104876532,0.007845327
2048,0.006977529,0.62761482,0.111497741,0.118418649,0.020233205,0.105341975,0.00991608
2049,0.006614562,0.68117229,0.085833478,0.057987772,0.022688095,0.143243069,0.002460735
2050,0.010803862,0.667514859,0.062500031,0.03836218,0.066663466,0.153996165,0.000159438
