Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.240116302,0.24389521,0.102087016,0.145109012,0.106455057,0.073757042,0.08858036
2020,0.272710411,0.215609182,0.107378159,0.170834226,0.11958654,0.063345556,0.050535926
2021,0.267666818,0.29411038,0.10480752,0.107867595,0.092823223,0.093673097,0.039051366
2022,0.372578204,0.274503062,0.087900399,0.070632078,0.068854993,0.113573034,0.01195823
2023,0.093961879,0.535094274,0.09954921,0.033064044,0.053535634,0.147729144,0.037065814
2024,0.089107505,0.450006952,0.122810153,0.088020309,0.09089637,0.093574749,0.065583961
2025,0.104705093,0.473590972,0.112317607,0.068902156,0.071342595,0.116252492,0.052889084
2026,0.128130791,0.375871616,0.120445977,0.130694183,0.091057045,0.087386209,0.06641418
2027,0.086667657,0.504630318,0.124803552,0.067540765,0.071904409,0.113319333,0.031133966
2028,0.044079511,0.520945911,0.132425271,0.079508973,0.080956826,0.089951467,0.052132041
2029,0.253604673,0.39145138,0.09144371,0.056012678,0.04262242,0.154302758,0.010562381
2030,0.048819463,0.548603935,0.116948541,0.068131743,0.064127367,0.108394415,0.044974537
2031,0.043874076,0.475882056,0.140631423,0.127011911,0.085062955,0.075346686,0.052190894
2032,0.023293309,0.536169642,0.13399321,0.096462815,0.079410402,0.075501115,0.055169507
2033,0.059848903,0.384375831,0.138492099,0.209923623,0.088274941,0.062289399,0.056795203
2034,0.042409196,0.474676995,0.143261957,0.148860342,0.073469691,0.075939507,0.041382313
2035,0.068997721,0.446702541,0.139992604,0.164151079,0.063581208,0.086201981,0.030372865
2036,0.212497075,0.397994996,0.102199705,0.101266761,0.034839943,0.143335902,0.007865618
2037,0.153483536,0.461442943,0.107578436,0.085500673,0.030221473,0.154191976,0.007580962
2038,0.077980241,0.522934334,0.118750533,0.095911169,0.031509576,0.138499115,0.014415032
2039,0.142793089,0.490626681,0.091702576,0.063559938,0.019329519,0.186059156,0.005929039
2040,0.012033997,0.56587651,0.13940266,0.125649864,0.047636186,0.076918759,0.032482023
2041,0.024352292,0.563911735,0.12576941,0.125625255,0.032835283,0.102121773,0.025384251
2042,0.011225619,0.632348368,0.122720606,0.075605056,0.030001932,0.111338894,0.016759524
2043,0.0567113,0.570243126,0.102525975,0.073396868,0.014118554,0.175998599,0.007005579
2044,0.036976804,0.616554681,0.082266443,0.038468847,0.008974651,0.211217037,0.005541538
2045,0.063878295,0.5632345,0.08764046,0.069906737,0.009045718,0.200688632,0.005605657
2046,0.015873145,0.616276479,0.112280816,0.094365248,0.014478191,0.136265619,0.010460501
2047,0.007611321,0.595589719,0.12645577,0.141511103,0.022401442,0.092952576,0.013478069
2048,0.010418001,0.508198194,0.126579069,0.243024706,0.020685653,0.072142981,0.018951395
2049,0.018494661,0.480342141,0.128836264,0.263178072,0.015433626,0.083286987,0.01042825
2050,0.107281492,0.433270083,0.093292802,0.20180775,0.007109922,0.155188739,0.002049212
