Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.426402202,0.250609283,0.032579152,0.045949961,0.112793956,0.108115078,0.023550368
2020,0.37071513,0.235565579,0.047265895,0.075727159,0.086940566,0.107620494,0.076165177
2021,0.22707333,0.241875471,0.081353499,0.136616141,0.092865159,0.08081735,0.13939905
2022,0.108370618,0.345903643,0.107123393,0.128596233,0.114139539,0.072178766,0.123687807
2023,0.103857763,0.402815081,0.098391073,0.098388909,0.10417287,0.087116067,0.105258237
2024,0.233591756,0.263375243,0.094993676,0.14749422,0.084482992,0.087055684,0.089006428
2025,0.173197215,0.288376743,0.099429298,0.158011336,0.090855222,0.080664166,0.10946602
2026,0.069297445,0.407896396,0.11157535,0.128599058,0.114640859,0.070077997,0.097912895
2027,0.054801917,0.450721685,0.106768261,0.110216184,0.108467506,0.073954274,0.095070173
2028,0.095225167,0.371985278,0.109917462,0.155627708,0.099564066,0.075219009,0.09246131
2029,0.190513986,0.270503021,0.094982785,0.190207869,0.07489708,0.084057962,0.094837297
2030,0.137039809,0.332445902,0.105344136,0.176076734,0.075908155,0.086278439,0.086906826
2031,0.113996671,0.307066543,0.123112962,0.232207285,0.090677622,0.064887237,0.068051681
2032,0.167447345,0.235083517,0.11740277,0.286727394,0.089476544,0.057289121,0.046573308
2033,0.19336573,0.193804285,0.115256841,0.326039597,0.090411796,0.048831775,0.032289976
2034,0.078120271,0.324122531,0.12758464,0.263067245,0.083919926,0.058494293,0.064691094
2035,0.070230844,0.395198617,0.115578414,0.20937561,0.07336332,0.074144736,0.062108459
2036,0.035663803,0.549887654,0.08327908,0.111880536,0.127513679,0.071748768,0.020026481
2037,0.050865228,0.523772295,0.070970891,0.125856663,0.145043269,0.070244351,0.013247303
2038,0.033426986,0.538896485,0.088934075,0.14121154,0.100001573,0.07244531,0.025084031
2039,0.043370845,0.410162631,0.12956936,0.248413848,0.055769563,0.066721715,0.045992038
2040,0.09840952,0.410607145,0.131823557,0.210298782,0.042771799,0.094120231,0.011968966
2041,0.072095163,0.449393818,0.133654111,0.196867686,0.036950554,0.097995675,0.013042992
2042,0.082327239,0.466560057,0.123333716,0.173818917,0.029643438,0.114795203,0.009521429
2043,0.006288076,0.623253992,0.114025237,0.102150974,0.067120099,0.074033679,0.013127942
2044,0.02271399,0.474914751,0.129957082,0.24003315,0.032359332,0.073155275,0.026866421
2045,0.006901118,0.608259163,0.114261935,0.132976928,0.048161438,0.075411932,0.014027485
2046,0.025590452,0.368341921,0.140246802,0.362785928,0.034043801,0.049766333,0.019224763
2047,0.022432772,0.389104846,0.135855087,0.352302476,0.028171922,0.053993502,0.018139395
2048,0.013636949,0.44484435,0.119167226,0.316167727,0.024377578,0.058414312,0.023391857
2049,0.006960163,0.509685314,0.132978402,0.246345817,0.019504855,0.067214737,0.017310713
2050,0.004676079,0.565810641,0.127034077,0.193093032,0.018036612,0.079324092,0.012025467
