Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.137719657,0.358016896,0.103102135,0.098676071,0.107367584,0.08524368,0.109873978
2020,0.209778731,0.295697377,0.088274675,0.1108679,0.098156196,0.089628465,0.107596656
2021,0.40921936,0.129673362,0.082284805,0.191235431,0.10184251,0.055328446,0.030416086
2022,0.472480915,0.102638491,0.068302469,0.188243041,0.083003984,0.056791551,0.02853955
2023,0.253216622,0.223655167,0.109276757,0.18759602,0.113482933,0.064027353,0.048745149
2024,0.416619608,0.119480279,0.076295667,0.208663111,0.081050366,0.058592285,0.039298683
2025,0.462855471,0.097382535,0.066972591,0.213072341,0.072733213,0.056332838,0.030651011
2026,0.325662729,0.173990952,0.095837014,0.214737906,0.095294601,0.061713449,0.032763348
2027,0.179908681,0.241588076,0.121997647,0.23455793,0.112075923,0.057157309,0.052714434
2028,0.193122407,0.239421847,0.114351293,0.233995798,0.100916514,0.062030037,0.056162104
2029,0.173766488,0.236234726,0.109745371,0.24870585,0.09341214,0.061604023,0.076531402
2030,0.193224222,0.251350165,0.11305228,0.233947109,0.083563187,0.069864007,0.05499903
2031,0.082522259,0.409981365,0.130134143,0.159407168,0.081785413,0.08040436,0.055765293
2032,0.229517919,0.222977709,0.115378955,0.26169834,0.086263549,0.061634324,0.022529204
2033,0.101685898,0.373788451,0.140367642,0.197940731,0.081762071,0.074268418,0.03018679
2034,0.159093951,0.257469703,0.127334264,0.286647852,0.089006909,0.05701965,0.023427671
2035,0.169300865,0.258129062,0.123920986,0.287284205,0.079358971,0.060991943,0.021013967
2036,0.199607608,0.226632258,0.121136152,0.304584124,0.083801879,0.05373516,0.01050282
2037,0.298088102,0.210388053,0.100811015,0.255314128,0.061017294,0.069198356,0.005183052
2038,0.04759181,0.347399577,0.133647008,0.297928239,0.069819459,0.052426816,0.05118709
2039,0.033494829,0.424297325,0.126414365,0.241143401,0.060093315,0.062159047,0.052397717
2040,0.01896734,0.476208181,0.124489154,0.210802317,0.060999318,0.059235675,0.049298014
2041,0.0327718,0.481061313,0.135983581,0.201400402,0.041965516,0.079790381,0.027027006
2042,0.020493841,0.534615707,0.132850804,0.164224329,0.035442381,0.085479923,0.026893014
2043,0.036170342,0.457106549,0.138247583,0.237254619,0.037142747,0.077094134,0.016984026
2044,0.018308655,0.505921328,0.141238174,0.20592622,0.032285059,0.076407072,0.019913492
2045,0.085700829,0.277489672,0.127921166,0.407571882,0.041140659,0.051006379,0.009169413
2046,0.071633459,0.258541226,0.124957944,0.449302511,0.036029819,0.045822304,0.013712737
2047,0.077949334,0.242333738,0.129192597,0.462299786,0.040734276,0.039490507,0.007999762
2048,0.030699924,0.347913428,0.132260773,0.397373944,0.024789945,0.052300123,0.014661863
2049,0.015038176,0.368777578,0.138887282,0.391106393,0.025318893,0.043650824,0.017220855
2050,0.019257204,0.36875678,0.130843849,0.397663902,0.019153579,0.05066563,0.013659057
