Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.538329266,0.085192735,0.047113621,0.131773933,0.051849977,0.072153274,0.073587193
2020,0.505378105,0.076037642,0.058684622,0.192180921,0.073527726,0.052222426,0.04196856
2021,0.368840923,0.144669727,0.079211476,0.181514656,0.084886062,0.065090984,0.075786171
2022,0.36465179,0.158045832,0.082234712,0.178663016,0.08690399,0.067793034,0.061707626
2023,0.313277278,0.158880368,0.085154651,0.205425284,0.090144537,0.06231701,0.084800871
2024,0.378263891,0.144079788,0.087004459,0.205888573,0.09350737,0.058866451,0.032389469
2025,0.411049491,0.112441404,0.078638753,0.229963381,0.090208597,0.051339201,0.026359172
2026,0.103591798,0.344045635,0.128748576,0.168677578,0.110430722,0.066796709,0.077708982
2027,0.190453979,0.27105419,0.113120563,0.195820438,0.098070042,0.071500411,0.059980376
2028,0.081921626,0.374509563,0.131661965,0.167324391,0.103386958,0.067629459,0.073566037
2029,0.376107299,0.157683571,0.089884893,0.216988485,0.084569405,0.061601276,0.013165071
2030,0.221912512,0.319043395,0.11582958,0.152342202,0.07247755,0.095244132,0.023150629
2031,0.076731315,0.368066923,0.132558395,0.198017454,0.093376185,0.065618941,0.065630785
2032,0.033089436,0.477980965,0.125353876,0.13463906,0.089820387,0.067946377,0.071169899
2033,0.171662746,0.299435954,0.093095027,0.21040527,0.065944379,0.089012142,0.070444483
2034,0.079955917,0.352794188,0.136424774,0.237720597,0.081565608,0.064077323,0.047461593
2035,0.089520884,0.376633043,0.13387327,0.217189299,0.068662105,0.076056643,0.038064756
2036,0.070052254,0.431162574,0.136427266,0.185400383,0.060686369,0.08377067,0.032500483
2037,0.021199316,0.525084555,0.133438345,0.138747145,0.06167179,0.073626704,0.046232145
2038,0.033923769,0.481864672,0.130834991,0.178909511,0.057600914,0.075649594,0.04121655
2039,0.036305937,0.420031014,0.134632596,0.243174377,0.05823331,0.063248503,0.044374263
2040,0.031326719,0.453070509,0.142991122,0.221904804,0.052224697,0.067715903,0.030766247
2041,0.058474767,0.447491983,0.133588493,0.212768355,0.038170518,0.090186932,0.019318951
2042,0.024446873,0.504903495,0.140937953,0.188920898,0.038349982,0.079962387,0.022478412
2043,0.02951665,0.423582578,0.134706216,0.280103377,0.040181088,0.06357079,0.028339301
2044,0.032680485,0.39545985,0.133860084,0.315765655,0.037138023,0.060438593,0.024657309
2045,0.029850068,0.46397917,0.132106093,0.249630467,0.027244662,0.080005553,0.017183987
2046,0.131592191,0.4480328,0.095015385,0.143676393,0.011202261,0.166992884,0.003488085
2047,0.148630204,0.470980329,0.067949918,0.066033176,0.004988496,0.239641308,0.001776569
2048,0.092691995,0.451693269,0.106506066,0.194977392,0.011481645,0.139775864,0.002873769
2049,0.113561791,0.332454477,0.112572954,0.337451288,0.017964275,0.083961652,0.002033563
2050,0.078696927,0.315759588,0.118798631,0.398721455,0.017849261,0.066882207,0.003291932
