Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.204386587,0.298917196,0.095143916,0.107828009,0.094117201,0.090218014,0.109389077
2020,0.14956827,0.342954531,0.088658416,0.102577609,0.113517326,0.084576404,0.118147444
2021,0.101986663,0.426581576,0.087305192,0.077160722,0.113591983,0.090600728,0.102773136
2022,0.243996419,0.271290504,0.082650456,0.119871686,0.087510767,0.093253418,0.101426749
2023,0.184444337,0.329622906,0.113990326,0.126517006,0.099488559,0.08659429,0.059342575
2024,0.232958364,0.210899183,0.107357656,0.212767031,0.111088646,0.05969219,0.06523693
2025,0.190828084,0.242233242,0.107926136,0.202741321,0.103548487,0.065098244,0.087624486
2026,0.170736379,0.297534162,0.090149391,0.157091612,0.096790452,0.081293706,0.106404299
2027,0.139159994,0.363214299,0.101350657,0.133368277,0.088077686,0.091383634,0.083445453
2028,0.076643508,0.390814329,0.117328,0.152988958,0.105683774,0.070155644,0.086385786
2029,0.309189121,0.192509987,0.08258886,0.203088012,0.063422301,0.082547117,0.066654601
2030,0.353561099,0.155833219,0.073375125,0.220872431,0.055655002,0.078123675,0.06257945
2031,0.554138797,0.060098722,0.037428359,0.203836913,0.028139818,0.069737596,0.046619795
2032,0.584559446,0.029391303,0.03103617,0.256353032,0.02472529,0.05079655,0.023138209
2033,0.084325447,0.365996066,0.110344625,0.206303767,0.081926924,0.072732703,0.078370467
2034,0.061893194,0.447308198,0.124365181,0.161031773,0.070308369,0.082961504,0.052131781
2035,0.041654943,0.457745589,0.117331801,0.173280293,0.082074017,0.069572486,0.05834087
2036,0.251482596,0.172029702,0.094353059,0.33538136,0.059439612,0.05913864,0.028175031
2037,0.207397822,0.187958509,0.108766446,0.356747827,0.067688758,0.051812732,0.019627907
2038,0.140500894,0.239256538,0.116451292,0.354200595,0.061469218,0.057149187,0.030972277
2039,0.111072289,0.264101959,0.125514425,0.356220841,0.060933098,0.05520498,0.026952408
2040,0.082597305,0.317235046,0.117339493,0.326436919,0.049020152,0.066078702,0.041292384
2041,0.098795321,0.241996436,0.111954894,0.407242896,0.048381616,0.052793537,0.0388353
2042,0.207005735,0.148960877,0.076332595,0.442563377,0.032740328,0.056582207,0.03581488
2043,0.085211554,0.226445837,0.109069843,0.452925394,0.042225027,0.046795982,0.037326363
2044,0.046043288,0.35741905,0.124439727,0.348082863,0.035515511,0.061541587,0.026957974
2045,0.032556141,0.418308795,0.139281626,0.295183885,0.031242577,0.067480756,0.015946218
2046,0.041871201,0.328681155,0.132851202,0.395692954,0.034029819,0.050739613,0.016134055
2047,0.027719852,0.353576755,0.114370579,0.393659562,0.02618671,0.053513776,0.030972766
2048,0.017614759,0.34787499,0.116571869,0.415942954,0.030179048,0.041239846,0.030576534
2049,0.014219132,0.422336192,0.122803557,0.343799791,0.020977054,0.05637109,0.019493184
2050,0.01909603,0.438175101,0.132176256,0.314691715,0.014949608,0.072003756,0.008907535
