Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.460499297,0.133985148,0.052744437,0.110753561,0.059213685,0.087451901,0.095351971
2020,0.205846912,0.284847629,0.098428408,0.124242161,0.097865059,0.084153774,0.104616057
2021,0.261501665,0.236367211,0.082469936,0.133603353,0.089216403,0.084616406,0.112225027
2022,0.21074832,0.293067802,0.092359623,0.122233111,0.0911075,0.090623532,0.099860112
2023,0.312735649,0.235268016,0.064159978,0.114019611,0.080170074,0.098661333,0.094985339
2024,0.146321961,0.374888523,0.080194335,0.103265359,0.1132769,0.091222356,0.090830566
2025,0.394607451,0.167644828,0.058028328,0.139751263,0.062654665,0.091515661,0.085797805
2026,0.344994951,0.176239599,0.076365198,0.176805432,0.066534332,0.082208813,0.076851675
2027,0.40085507,0.137257374,0.071076777,0.198168173,0.060181317,0.074234006,0.058227283
2028,0.153937666,0.283646239,0.113753036,0.205162449,0.094419984,0.069913231,0.079167396
2029,0.156536959,0.424708897,0.063447658,0.095514973,0.134839665,0.094656885,0.030294963
2030,0.097112481,0.466814706,0.070125116,0.10111685,0.154260843,0.080789266,0.029780738
2031,0.070543053,0.519273284,0.074417496,0.086861712,0.132066533,0.086754141,0.030083781
2032,0.127147315,0.347201966,0.09897037,0.188237181,0.07846874,0.084871628,0.075102798
2033,0.052712288,0.405909143,0.138231506,0.194007372,0.086605446,0.064070112,0.058464132
2034,0.134471302,0.306096581,0.116225128,0.245732805,0.06893954,0.075329626,0.053205018
2035,0.154290105,0.232162496,0.119732059,0.326280076,0.081968681,0.053271078,0.032295504
2036,0.136059988,0.276917653,0.119562503,0.297531637,0.068385986,0.064958501,0.036583732
2037,0.204639124,0.20020942,0.099502155,0.340238267,0.052639574,0.064552327,0.038219134
2038,0.161991261,0.231451364,0.113540376,0.348311571,0.061320402,0.058490029,0.024894996
2039,0.077559036,0.317285582,0.137667131,0.321643304,0.068119742,0.054488728,0.023236476
2040,0.034186854,0.453563164,0.142473193,0.21947766,0.050890504,0.070370981,0.029037644
2041,0.013438758,0.535499843,0.132116713,0.164067403,0.048853874,0.069267268,0.036756141
2042,0.03027122,0.4503106,0.110598725,0.251787024,0.047794273,0.06755647,0.041681688
2043,0.013614876,0.488058243,0.119510679,0.232778749,0.051262598,0.056682482,0.038092374
2044,0.013468965,0.437330569,0.122518157,0.290286824,0.049716968,0.047591928,0.039086588
2045,0.017523589,0.388475649,0.131523844,0.342724731,0.041140573,0.045650018,0.032961596
2046,0.070060439,0.241026894,0.113142094,0.474785519,0.033321653,0.045128477,0.022534924
2047,0.038583184,0.267966114,0.128257123,0.469612926,0.036699764,0.036701336,0.022179553
2048,0.0703285,0.252217606,0.11728449,0.474119804,0.026855353,0.046943605,0.012250642
2049,0.013306814,0.431198509,0.138121452,0.324635604,0.020836695,0.057830396,0.014070529
2050,0.005398218,0.506837191,0.130089879,0.259988461,0.019564685,0.062215943,0.015905624
