Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.302312709,0.190377009,0.038665731,0.054752795,0.046239291,0.070786227,0.296866238
1992,0.436446089,0.153873034,0.018207431,0.034390767,0.066203882,0.089092862,0.201785935
1993,0.448716434,0.170794278,0.021010681,0.043629911,0.061760067,0.091017456,0.163071173
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.453884956,0.214643949,0.034094522,0.04135499,0.099889685,0.085995237,0.070136661
1996,0.379295196,0.18483946,0.054496473,0.06890109,0.125820784,0.076203221,0.110443776
1997,0.353160932,0.209039119,0.067599104,0.088298127,0.093164186,0.073681151,0.11505738
1998,0.319211907,0.200488125,0.044990191,0.063115514,0.071543899,0.077138975,0.22351139
1999,0.348797654,0.18995169,0.041980025,0.055466176,0.055884484,0.074048662,0.233871308
2000,0.280928302,0.237534718,0.058308183,0.062715014,0.064032697,0.067011979,0.229469108
2001,0.255733741,0.289908796,0.06551682,0.057559675,0.087681642,0.072655886,0.17094344
2002,0.228106622,0.301779104,0.077705402,0.073071465,0.057759975,0.074552314,0.187025118
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.214416055,0.326474447,0.071638679,0.050423125,0.063523837,0.086861907,0.18666195
2005,0.180892264,0.338761651,0.071990512,0.063423445,0.109242584,0.076288168,0.159401376
2006,0.152798875,0.35699386,0.060266761,0.058521122,0.040948671,0.075958328,0.254512384
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.158261107,0.416713961,0.070558831,0.058752829,0.054192029,0.072613742,0.1689075
2011,0.274882683,0.382130912,0.057148793,0.118416591,0.043136243,0.072356829,0.051927949
2012,0.14531127,0.458947903,0.091905412,0.103177242,0.054690274,0.065491847,0.080476052
2013,0.156314673,0.300132472,0.079144623,0.123129029,0.053098393,0.077956441,0.210224369
2014,0.090054549,0.432505053,0.075287066,0.066823015,0.08276596,0.092339599,0.160224757
2015,0.059782907,0.557450303,0.061960742,0.029393616,0.121926418,0.095807972,0.073678043
2016,0.046301428,0.583972384,0.095339846,0.022231361,0.07421092,0.09743172,0.080512341
2017,0.152702476,0.524570321,0.070075518,0.025923045,0.044747666,0.132517699,0.049463275
2018,0.105469857,0.53831532,0.101542496,0.039283867,0.04259052,0.124050565,0.048747374
2019,0.310519891,0.294544236,0.101219384,0.08225119,0.09130831,0.099347039,0.02080995
2020,0.077867911,0.510915824,0.107488321,0.044965588,0.076911011,0.115021296,0.066830048
2021,0.050825661,0.568196767,0.106099295,0.031027536,0.066371084,0.122792927,0.054686729
2022,0.036678094,0.584500798,0.094798425,0.032375736,0.085246134,0.105937599,0.060463214
2023,0.085821902,0.512115858,0.108571314,0.048972082,0.068819348,0.122482128,0.053217367
2024,0.070939188,0.512232573,0.10830446,0.05748035,0.077286523,0.109541631,0.064215276
2025,0.165947422,0.376936893,0.118306395,0.109779534,0.087289164,0.097947582,0.043793009
2026,0.0904648,0.471051399,0.117346376,0.081008004,0.076554735,0.105667851,0.057906835
2027,0.076541165,0.408763069,0.137110227,0.139027334,0.103447965,0.072474583,0.062635657
2028,0.115160351,0.374103979,0.135260267,0.156245477,0.09960917,0.076405466,0.043215289
2029,0.185864854,0.299814493,0.119975224,0.187263446,0.087219564,0.078853481,0.041008936
2030,0.1925974,0.311774173,0.122225877,0.179452945,0.083740704,0.082292539,0.027916361
2031,0.057752122,0.503699152,0.137845159,0.099268143,0.07088986,0.095390097,0.035155466
2032,0.020940044,0.596083516,0.125045796,0.058583354,0.064986867,0.095800065,0.038560359
2033,0.016256341,0.566389724,0.12067519,0.085512284,0.086515095,0.072092363,0.052559003
2034,0.03151668,0.574159582,0.126836438,0.07638206,0.055230059,0.103405075,0.032470106
2035,0.057375947,0.544025858,0.126127097,0.084165311,0.044364184,0.121816169,0.022125434
2036,0.129857888,0.49910545,0.100216228,0.06337611,0.027442578,0.169713262,0.010288484
2037,0.035233525,0.447421058,0.137930872,0.199763555,0.065698318,0.066748879,0.047203793
2038,0.065516864,0.461713124,0.134474843,0.172140095,0.047540878,0.094703809,0.023910386
2039,0.094728841,0.393332514,0.131360454,0.228028881,0.050860803,0.084662667,0.01702584
2040,0.106846544,0.512262904,0.10171742,0.080770867,0.020627462,0.169867583,0.00790722
2041,0.111239873,0.528618147,0.081322884,0.044480716,0.011691552,0.218068142,0.004578685
2042,0.023326485,0.633870877,0.103533718,0.049560271,0.017052565,0.162515662,0.010140423
2043,0.015203976,0.595416885,0.125715672,0.112676196,0.027326599,0.104413822,0.01924685
2044,0.024161446,0.541515181,0.12712432,0.164135676,0.025116144,0.099996973,0.01795026
2045,0.005587502,0.61262196,0.128204685,0.118538271,0.038003158,0.081555815,0.015488608
2046,0.011301128,0.668216399,0.090818659,0.054035016,0.01647597,0.152479508,0.006673319
2047,0.00482539,0.572200093,0.127060421,0.176434104,0.035098541,0.066994163,0.017387289
2048,0.007355237,0.519152119,0.131102493,0.232790322,0.023383878,0.066874342,0.019341608
2049,0.016885917,0.485975907,0.129572981,0.25853384,0.01558332,0.082664687,0.010783347
2050,0.058581058,0.481157363,0.101475735,0.203513927,0.007637281,0.143794858,0.003839778
