Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.037485578,0.545429406,0.105198618,0.03999671,0.099908209,0.090682791,0.081298687
2020,0.485929766,0.09472347,0.070555345,0.179056974,0.114622197,0.047544409,0.007567839
2021,0.235027427,0.252042477,0.113556523,0.161202847,0.119662811,0.067747627,0.050760288
2022,0.124131416,0.498858875,0.101916073,0.037871576,0.057272543,0.145215888,0.03473363
2023,0.027006422,0.658516169,0.057004367,0.007725117,0.105207432,0.137490232,0.007050261
2024,0.604417678,0.143035956,0.040025821,0.0314814,0.027997213,0.151885528,0.001156404
2025,0.032595923,0.57951627,0.04609466,0.010461736,0.237188519,0.092564957,0.001577934
2026,0.110690261,0.529566376,0.093694549,0.031667442,0.04150547,0.166939636,0.025936266
2027,0.102040113,0.494962321,0.114868026,0.063933711,0.061902449,0.12545665,0.036836729
2028,0.328460867,0.337981447,0.080934633,0.050117272,0.039418268,0.155500713,0.007586801
2029,0.447600702,0.166570786,0.080569579,0.148632485,0.080122304,0.073351504,0.003152639
2030,0.040564411,0.608134222,0.104416214,0.03216987,0.041148447,0.144766941,0.028799895
2031,0.232469552,0.326143351,0.113613763,0.143452389,0.067189012,0.100495885,0.016636048
2032,0.232720525,0.270832663,0.117296584,0.20681553,0.080160517,0.076155884,0.016018297
2033,0.010812355,0.66385227,0.095651812,0.028448669,0.08026316,0.102674082,0.018297651
2034,0.281550399,0.267955885,0.106960887,0.184320477,0.063862503,0.087420826,0.007929023
2035,0.480011735,0.139010065,0.069391721,0.174796213,0.062337437,0.073759659,0.00069317
2036,0.027714299,0.655785715,0.072163752,0.013975241,0.018984444,0.20227672,0.009099829
2037,0.011743793,0.672650484,0.099115982,0.030824522,0.041494867,0.128203495,0.015966856
2038,0.013994099,0.598316199,0.128426033,0.087674716,0.049105475,0.089797727,0.032685751
2039,0.056010756,0.502432596,0.132190345,0.145889002,0.041933217,0.103665709,0.017878375
2040,0.019590094,0.678107255,0.045803854,0.007202177,0.043326097,0.205257017,0.000713506
2041,0.014681751,0.685217745,0.068890893,0.016246352,0.021098323,0.189389513,0.004475423
2042,0.043580507,0.606633887,0.090041299,0.043537013,0.012318574,0.19612546,0.00776326
2043,0.040841102,0.601620364,0.095303636,0.060228688,0.013155098,0.179812639,0.009038474
2044,0.020705189,0.652897922,0.072512322,0.024180739,0.008925773,0.215347649,0.005430406
2045,0.209467491,0.410820789,0.075833969,0.09492275,0.009292774,0.197663303,0.001998924
2046,0.010708569,0.663889196,0.095673154,0.054167013,0.015263457,0.153231259,0.007067351
2047,0.174751361,0.44973118,0.059305696,0.050126129,0.003838087,0.260965997,0.001281549
2048,0.051383553,0.544230252,0.025287124,0.004482529,0.000962347,0.372916051,0.000738145
2049,0.389266631,0.224182479,0.010318978,0.00408017,0.000198125,0.371854384,9.92E-05
2050,0.0435091,0.563385455,0.031456829,0.008932153,0.001056901,0.350841457,0.000818105
