Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.414121339,0.199957528,0.086981215,0.107287847,0.094898867,0.080981389,0.015771816
2020,0.409708029,0.269708168,0.074391592,0.047257555,0.052540594,0.13435033,0.01204373
2021,0.111539048,0.508907408,0.103461392,0.036473492,0.060727268,0.140693727,0.038197665
2022,0.31093679,0.304148045,0.099946967,0.081395577,0.07949323,0.107222692,0.016856699
2023,0.052533278,0.491905532,0.120203581,0.07221042,0.099818123,0.084573146,0.078755921
2024,0.036520643,0.569012664,0.10282542,0.043077528,0.086933709,0.09872841,0.062901625
2025,0.046732254,0.587964435,0.101250139,0.032581205,0.061567833,0.127250919,0.042653216
2026,0.147599473,0.504734362,0.080839272,0.023148197,0.030886003,0.19520541,0.017587282
2027,0.302496812,0.29798227,0.004952276,0.00215914,0.31252691,0.079882586,6.18E-09
2028,0.428551918,0.273021684,0.06255725,0.038240993,0.029959453,0.163811642,0.003857061
2029,0.085685697,0.567746165,0.054671344,0.006899215,0.012742916,0.262826913,0.00942775
2030,0.041498425,0.627060505,0.036145416,0.002388863,0.014053962,0.275256267,0.003596562
2031,0.070426208,0.566141374,0.109057095,0.042414828,0.039902547,0.151784222,0.020273725
2032,0.321569734,0.312568462,0.092656704,0.093058503,0.045077722,0.128672844,0.00639603
2033,0.085882973,0.569042585,0.081725833,0.024673926,0.021341164,0.204411457,0.012922063
2034,0.192803673,0.461216682,0.056648858,0.014494201,0.010650016,0.260238716,0.003947854
2035,0.036512499,0.625822508,0.034972383,0.002705256,0.010264856,0.287446537,0.002275961
2036,0.069308807,0.549162013,0.026692359,0.001868548,0.003634653,0.347488656,0.001844964
2037,0.240512452,0.40460473,0.040982121,0.010098741,0.005103664,0.296823338,0.001874955
2038,0.427686447,0.258939664,0.032547955,0.014669949,0.00474799,0.260691931,0.000716063
2039,0.072518141,0.582689528,0.016847709,0.001266825,0.019356603,0.307245301,7.59E-05
2040,0.552330887,0.151122036,0.022203959,0.018168088,0.003839706,0.252207273,0.000128051
2041,0.529390638,0.094858384,0.007041943,0.002932121,0.00055553,0.365197828,2.36E-05
2042,0.465946795,0.122634581,0.003404529,0.000405566,8.29E-05,0.407483857,4.18E-05
2043,0.316639895,0.265410607,0.006189461,0.000522438,0.000168273,0.410900585,0.000168742
2044,0.110256916,0.471720187,0.00833835,0.000442586,0.00083106,0.408319327,9.16E-05
2045,0.217068796,0.389502865,0.024826474,0.006901046,0.001100123,0.35998332,0.000617375
2046,0.554651454,0.099709762,0.011771178,0.01630139,0.001019158,0.31652493,2.21E-05
2047,0.287203988,0.338738442,0.027539731,0.01418815,0.001126774,0.330777087,0.000425827
2048,0.391835406,0.191019473,0.003096091,0.00034953,3.15E-05,0.413623495,4.45E-05
2049,0.351570546,0.255901475,0.000839541,2.58E-05,1.35E-05,0.391645722,3.45E-06
2050,0.475317418,0.070179026,0.000894834,0.000138109,4.30E-06,0.453462757,3.56E-06
