Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.039750834,0.605175041,0.086114968,0.020389259,0.077781835,0.122427463,0.048360601
2020,0.042067452,0.550408486,0.073300085,0.037255747,0.188120999,0.075055526,0.033791704
2021,0.404280588,0.132769549,0.087396932,0.189139397,0.123180318,0.049436446,0.013796769
2022,0.027504775,0.565244141,0.104052053,0.042483248,0.116433763,0.081561339,0.06272068
2023,0.025695738,0.634265249,0.089828281,0.019550011,0.078195561,0.118166485,0.034298676
2024,0.15932146,0.382974636,0.124694159,0.105886265,0.093163101,0.094585261,0.039375117
2025,0.043230471,0.526760716,0.115716046,0.065307089,0.097192737,0.08722869,0.06456425
2026,0.035502066,0.563944216,0.104329063,0.051272365,0.085618379,0.095610754,0.063723156
2027,0.101978282,0.400456769,0.126575297,0.131529198,0.092166746,0.08389466,0.063399047
2028,0.019905604,0.654134918,0.083699513,0.021224773,0.089733061,0.112366832,0.018935298
2029,0.028064212,0.642379932,0.090196163,0.024617207,0.05724289,0.131862222,0.025637375
2030,0.046597506,0.612136196,0.093032543,0.026256156,0.036238414,0.160774791,0.024964395
2031,0.334281763,0.324124396,0.083623172,0.06684706,0.038828786,0.146397701,0.005897123
2032,0.146916501,0.504950884,0.080499952,0.026466783,0.021115309,0.210784401,0.00926617
2033,0.015870819,0.686457762,0.064794427,0.009295232,0.057077895,0.161735981,0.004767883
2034,0.25063947,0.378286368,0.027718589,0.004055255,0.003353367,0.333942524,0.002004428
2035,0.250858716,0.411511556,0.056236699,0.019724,0.01101537,0.247436074,0.003217585
2036,0.033055339,0.644934292,0.076845391,0.019102322,0.019710322,0.194144815,0.012207519
2037,0.413225739,0.194281239,0.079967275,0.175902368,0.046745182,0.088173371,0.001704826
2038,0.029289513,0.645177677,0.076778161,0.017979326,0.014807751,0.206680201,0.009287372
2039,0.202070078,0.406871687,0.025366985,0.003936759,0.00193897,0.358511772,0.001303751
2040,0.216637179,0.359508272,0.010466221,0.000710139,0.00049618,0.41177522,0.000406789
2041,0.352177176,0.315184885,0.038133371,0.018845254,0.004187112,0.270696079,0.000776122
2042,0.215025547,0.407042952,0.031864224,0.008379486,0.002218051,0.334437645,0.001032094
2043,0.01671766,0.672874494,0.058125253,0.012704172,0.012590783,0.224181756,0.002805881
2044,0.077769716,0.51618352,0.014770051,0.001257724,0.001354136,0.388358912,0.000305941
2045,0.160061031,0.452963479,0.036589355,0.013498621,0.001968629,0.333587668,0.001331216
2046,0.033691951,0.610537753,0.052513307,0.015817047,0.003513254,0.281048411,0.002878278
2047,0.011070521,0.644464855,0.10253228,0.076651862,0.013284523,0.14328419,0.008711768
2048,0.344823934,0.304643621,0.035430617,0.036240185,0.001902502,0.276595772,0.000363369
2049,0.144761208,0.413399038,0.007329681,0.000710995,0.000163135,0.433517397,0.000118546
2050,0.452395119,0.122619161,0.00219295,0.000422625,1.58E-05,0.422341565,1.27E-05
