Year,cotton,alfalfa,corn,barley ,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.040344687,0.53739241,0.096930842,0.042821484,0.114613539,0.086178458,0.081718581
2020,0.132235486,0.435188301,0.10915976,0.064708222,0.082970519,0.111415427,0.064322285
2021,0.0463489,0.513388218,0.103651582,0.056846056,0.11504759,0.082983662,0.081733993
2022,0.145158958,0.333525185,0.125278658,0.139558118,0.119360691,0.072449346,0.064669043
2023,0.117466931,0.383548364,0.104014213,0.10807091,0.103283045,0.086086593,0.097529945
2024,0.128622209,0.411197568,0.121318901,0.097201377,0.088106104,0.097851507,0.055702334
2025,0.508806061,0.1791265,0.067458786,0.079461033,0.059163965,0.102356587,0.003627068
2026,0.135871741,0.51534286,0.088778002,0.026385262,0.037128544,0.180251411,0.01624218
2027,0.432524778,0.269029163,0.064642153,0.039036843,0.032639358,0.158216273,0.003911432
2028,0.107682818,0.548454096,0.060250908,0.009850511,0.016362348,0.245915111,0.011484208
2029,0.095988708,0.561356459,0.077486932,0.017938042,0.023942819,0.208573343,0.014713697
2030,0.431990538,0.264983362,0.06608958,0.048783804,0.031469515,0.153631779,0.003051423
2031,0.019074983,0.636799219,0.106416987,0.033733632,0.056646157,0.114942204,0.032386818
2032,0.044536329,0.601038832,0.109754541,0.037817389,0.038221992,0.146796855,0.021834063
2033,0.057090936,0.60097306,0.090346827,0.029935539,0.02856779,0.175149977,0.017935872
2034,0.226271536,0.408090489,0.093807469,0.069008846,0.031022319,0.16344634,0.008353001
2035,0.072299265,0.505040062,0.12967445,0.107413133,0.048624791,0.114051485,0.022896814
2036,0.015688679,0.651074801,0.104426595,0.042299133,0.046629952,0.117245853,0.022634987
2037,0.012363696,0.635655835,0.080577938,0.03912363,0.143710052,0.084160861,0.004407989
2038,0.123608585,0.357174205,0.130080321,0.235496753,0.054428677,0.083074241,0.016137218
2039,0.055835256,0.481402419,0.141347728,0.16517543,0.046485451,0.093602299,0.016151418
2040,0.358703659,0.294450609,0.072888393,0.095964789,0.018679097,0.157546555,0.001766898
2041,0.53018051,0.181022336,0.031861088,0.034673507,0.006044994,0.215975377,0.000242188
2042,0.08627406,0.531798058,0.03640293,0.006898142,0.002759532,0.333738344,0.002128933
2043,0.061849018,0.582311077,0.076703991,0.035189417,0.008145095,0.230922148,0.004879255
2044,0.564368408,0.135540385,0.025610764,0.04639445,0.004661388,0.223358672,6.59E-05
2045,0.50725593,0.145244835,0.011912616,0.007549468,0.000677289,0.327296316,6.35E-05
2046,0.135507038,0.429931057,0.007837791,0.000546414,0.000316225,0.425720846,0.000140629
2047,0.268730643,0.362908821,0.038224155,0.029313615,0.002016083,0.298044271,0.000762412
2048,0.010759,0.654317633,0.093137993,0.060366075,0.00988755,0.165458568,0.006073181
2049,0.00541062,0.682520609,0.087637156,0.055922431,0.031191291,0.1354575,0.001860393
2050,0.049080183,0.503947355,0.102442284,0.186232408,0.007550936,0.146802896,0.003943939
