Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.190315474,0.288534069,0.088922713,0.113944859,0.100425551,0.084016738,0.133840595
2020,0.202543784,0.248860025,0.094322682,0.147607466,0.104160383,0.072757006,0.129748655
2021,0.087968373,0.488204147,0.06666371,0.053750393,0.184255994,0.081092228,0.038065153
2022,0.555698301,0.072707574,0.046694694,0.158727532,0.050471247,0.065548514,0.050152139
2023,0.443428714,0.125856814,0.056966233,0.147303423,0.056460648,0.081001803,0.088982365
2024,0.206022028,0.401424707,0.049531423,0.061706874,0.15939091,0.097389844,0.024534216
2025,0.112168378,0.4178596,0.085273036,0.097405885,0.113084974,0.090409486,0.083798641
2026,0.13834496,0.352801479,0.08958209,0.129104484,0.097101224,0.088044287,0.105021477
2027,0.180840181,0.265737871,0.113407281,0.202967012,0.096042162,0.069805089,0.071200403
2028,0.075868215,0.42775928,0.130464325,0.129225043,0.092142163,0.080139309,0.064401664
2029,0.311451128,0.199125067,0.106091231,0.209508071,0.105331863,0.059152766,0.009339874
2030,0.066357493,0.448653171,0.123479583,0.127208587,0.080020504,0.085136507,0.069144155
2031,0.031119583,0.568113967,0.06468462,0.042876023,0.218727582,0.068881194,0.005597031
2032,0.045844168,0.512979089,0.117563804,0.104377545,0.07270404,0.0904845,0.056046853
2033,0.019516642,0.528030193,0.124242292,0.11040895,0.091129834,0.065834076,0.060838014
2034,0.037503515,0.564825942,0.122403158,0.080258428,0.053869089,0.106709319,0.034430548
2035,0.012012928,0.607570027,0.084243648,0.045502296,0.174807558,0.069407731,0.006455812
2036,0.050883471,0.445340914,0.129743686,0.183895809,0.062760909,0.078107326,0.049267885
2037,0.112376754,0.279268954,0.123566527,0.319063896,0.065041454,0.06071281,0.039969605
2038,0.089473288,0.327237887,0.134943194,0.294755867,0.068487853,0.060890193,0.024211719
2039,0.008178695,0.616377473,0.100518574,0.075998147,0.120565939,0.066802246,0.011558925
2040,0.011659609,0.558156905,0.130507957,0.138092686,0.057343441,0.069124184,0.035115218
2041,0.157615821,0.267454854,0.120536821,0.330582627,0.051626005,0.063793914,0.008389959
2042,0.007594252,0.669671662,0.100836557,0.053547087,0.056819803,0.103465816,0.008064823
2043,0.243954511,0.273597134,0.100225761,0.256788706,0.031399948,0.091417769,0.002616171
2044,0.056127501,0.418777883,0.134193078,0.266669344,0.033004668,0.080533587,0.01069394
2045,0.019386224,0.470970843,0.139474881,0.250456924,0.030900228,0.069078989,0.019731911
2046,0.015468896,0.535902189,0.059516118,0.083090668,0.245427689,0.060404046,0.000190394
2047,0.011139727,0.413638545,0.133689424,0.33455312,0.030878061,0.046489946,0.029611177
2048,0.013061831,0.438918874,0.121502419,0.322141389,0.025365602,0.055781404,0.023228481
2049,0.041622629,0.343892592,0.125349198,0.399622444,0.019859149,0.060017244,0.009636743
2050,0.018884885,0.500267922,0.125820994,0.23867593,0.011599571,0.097388148,0.00736255
