Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.64314548,0.034507567,0.03043655,0.150992464,0.037908099,0.057020908,0.045988932
2020,0.675379486,0.019768122,0.024192748,0.1702293,0.03207272,0.054667983,0.02368964
2021,0.679606587,0.036792956,0.025070396,0.11126289,0.025384351,0.073821774,0.048061046
2022,0.30122702,0.172850855,0.082697034,0.183960994,0.08973847,0.06730945,0.102216177
2023,0.13057726,0.429365862,0.076151691,0.076325079,0.120755844,0.097490164,0.069334099
2024,0.154717252,0.296697011,0.112390665,0.164714425,0.105409888,0.072047128,0.094023631
2025,0.365375547,0.139860037,0.090038569,0.225287796,0.099951064,0.053390752,0.026096235
2026,0.036126418,0.557085486,0.115246785,0.054328828,0.082464188,0.095218497,0.059529798
2027,0.07529638,0.465336393,0.118215101,0.09436504,0.080740857,0.095333645,0.070712583
2028,0.051841703,0.494773745,0.11365506,0.092503795,0.092592403,0.085114849,0.069518445
2029,0.289115188,0.153315202,0.100575771,0.281455426,0.102135582,0.04779121,0.02561162
2030,0.234463664,0.214787264,0.118328664,0.25191126,0.108234758,0.054265117,0.018009273
2031,0.090584416,0.430457229,0.137460018,0.13944803,0.076869651,0.088520787,0.036659869
2032,0.082704471,0.466476353,0.127879853,0.11894702,0.064660869,0.1011117,0.038219734
2033,0.276928105,0.22471351,0.107722942,0.231818582,0.07949189,0.06827726,0.011047711
2034,0.16352585,0.305099623,0.123095196,0.231878058,0.069192655,0.078140039,0.029068577
2035,0.024432379,0.510679251,0.135939085,0.134782126,0.072580171,0.070901888,0.0506851
2036,0.23185002,0.252619599,0.115854299,0.251853034,0.069669113,0.069715158,0.008438777
2037,0.038322763,0.549898969,0.127153368,0.105006692,0.044131565,0.106535363,0.028951281
2038,0.09343816,0.402317084,0.138601563,0.210402951,0.056018622,0.083943154,0.015278466
2039,0.414985573,0.120252809,0.073980387,0.275954536,0.060160507,0.053748001,0.000918186
2040,0.165548817,0.319783261,0.123644404,0.254059975,0.051394965,0.079575039,0.005993539
2041,0.040896133,0.517902796,0.133070915,0.155082631,0.036212089,0.100356724,0.016478712
2042,0.291412025,0.215084815,0.094185245,0.283194908,0.039505999,0.074334667,0.002282342
2043,0.29825956,0.232182107,0.093374215,0.257977043,0.035520148,0.081440519,0.001246409
2044,0.068788766,0.557793039,0.090809442,0.071326352,0.010762085,0.194238391,0.006281924
2045,0.057092592,0.533400992,0.111699306,0.126113919,0.014447405,0.150202053,0.007043733
2046,0.36386859,0.178724083,0.074413755,0.279144418,0.025601362,0.077858944,0.000388847
2047,0.129144495,0.445003315,0.093384881,0.154705829,0.010337929,0.164570249,0.002853302
2048,0.023204512,0.630479026,0.069995957,0.035855186,0.004651265,0.231961338,0.003852716
2049,0.039861172,0.447981045,0.125275021,0.272522745,0.014918654,0.094291752,0.00514961
2050,0.032145425,0.424329808,0.126128749,0.315671456,0.013751296,0.081848667,0.006124599
