Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.442798356,0.132481785,0.057602993,0.124182853,0.06244551,0.081885277,0.098603226
2020,0.201019711,0.359707622,0.067502906,0.075725445,0.119326415,0.100175378,0.076542522
2021,0.53910121,0.075208405,0.052378712,0.171219279,0.061410156,0.059623787,0.041058452
2022,0.287708454,0.239218364,0.077717845,0.121306759,0.077494849,0.095248045,0.101305684
2023,0.379934176,0.120826049,0.08567165,0.229400784,0.111481371,0.046660175,0.026025795
2024,0.039486136,0.544900341,0.107836116,0.053613241,0.09691448,0.090286665,0.066963022
2025,0.0665452,0.495717994,0.093516825,0.07249438,0.106665976,0.091348018,0.073711607
2026,0.049451674,0.539826705,0.063629174,0.045845887,0.21668976,0.070783762,0.013773038
2027,0.380131402,0.128954855,0.080791745,0.236348095,0.078320199,0.058266737,0.037186967
2028,0.060102638,0.447991988,0.126269618,0.120800249,0.096625403,0.076879689,0.071330415
2029,0.085924847,0.389089255,0.131733086,0.161349368,0.09447655,0.073817177,0.063609716
2030,0.032940335,0.571356877,0.098011893,0.066148097,0.095884636,0.088321348,0.047336813
2031,0.20789555,0.257379424,0.114182168,0.230755275,0.084482244,0.070868794,0.034436546
2032,0.178242103,0.24055193,0.121362292,0.276199589,0.092355925,0.057956572,0.033331589
2033,0.207747603,0.253772587,0.112168332,0.249190585,0.0746597,0.071953909,0.030507284
2034,0.127626363,0.325779129,0.132094064,0.235773971,0.07646163,0.071681712,0.030583131
2035,0.07106893,0.409330412,0.143734867,0.198757506,0.074888517,0.072948916,0.029270852
2036,0.149166323,0.288519393,0.119576085,0.275611288,0.063909029,0.071971394,0.031246488
2037,0.015414788,0.582975096,0.078021074,0.065759009,0.190940651,0.061834896,0.005054486
2038,0.234565554,0.150429115,0.103984838,0.385054363,0.073877504,0.041147999,0.010940627
2039,0.02541695,0.470603397,0.139888027,0.200314576,0.056852284,0.066053861,0.040870904
2040,0.021650403,0.574095001,0.126453249,0.115846331,0.041006266,0.095907984,0.025040767
2041,0.019858726,0.602292056,0.117531005,0.097565539,0.034215065,0.107770591,0.020767017
2042,0.088940611,0.430649727,0.126305858,0.208705944,0.032833202,0.102440173,0.010124485
2043,0.069144049,0.431174107,0.135684711,0.230689809,0.033411309,0.090998102,0.008897912
2044,0.008215472,0.677969424,0.090627167,0.055743323,0.05104659,0.11115566,0.005242365
2045,0.03705778,0.497729355,0.127664776,0.202748473,0.02370826,0.099503907,0.01158745
2046,0.10501047,0.312079717,0.123063639,0.356217895,0.030269248,0.068506128,0.004852902
2047,0.009013614,0.586466666,0.124375329,0.151950995,0.022339437,0.092414461,0.0134395
2048,0.126750951,0.319403743,0.113457694,0.335787299,0.021022629,0.08133877,0.002238914
2049,0.023589804,0.56890164,0.108012329,0.14127346,0.008889782,0.142549206,0.00678378
2050,0.214757441,0.380262261,0.024494161,0.013685915,0.000570902,0.365756089,0.000473231
