Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.20730914,0.288556674,0.085621447,0.10920218,0.10024636,0.08739397,0.121670229
2020,0.394545269,0.163352246,0.06219809,0.122483777,0.068822789,0.086946933,0.101650895
2021,0.152295271,0.420271613,0.070645709,0.066077284,0.122327678,0.102086604,0.066295841
2022,0.317208215,0.193942897,0.08203356,0.154876205,0.08145357,0.079559986,0.090925568
2023,0.335644132,0.185191639,0.089543326,0.173368884,0.08767066,0.072673833,0.055907525
2024,0.310074798,0.186963632,0.096600301,0.194636855,0.093439876,0.066915185,0.051369353
2025,0.190033529,0.290763501,0.12348296,0.171514992,0.111920192,0.07044742,0.041837405
2026,0.035515065,0.570203926,0.103437099,0.050029226,0.093579926,0.094015117,0.05321964
2027,0.167810234,0.286531815,0.123038818,0.197173206,0.105007611,0.067798814,0.052639503
2028,0.059376265,0.540951881,0.081945279,0.065585763,0.124114057,0.090708616,0.037318139
2029,0.053445994,0.455884568,0.106884538,0.121619575,0.106275638,0.073548296,0.082341392
2030,0.055072387,0.444267231,0.112178094,0.136730247,0.101368875,0.072373001,0.078010165
2031,0.198133773,0.197778174,0.107000229,0.295648247,0.085506325,0.055720818,0.060212435
2032,0.076493894,0.353415429,0.120287418,0.212269825,0.085821911,0.066127567,0.085583956
2033,0.063294697,0.387019495,0.117603917,0.201467804,0.087964774,0.066443578,0.076205736
2034,0.024571297,0.504858059,0.125252687,0.132970173,0.084130481,0.066981955,0.061235349
2035,0.062441017,0.359078892,0.135387186,0.249661231,0.080257455,0.059483102,0.053691117
2036,0.138670768,0.251527418,0.116263853,0.321070711,0.066673136,0.060991104,0.04480301
2037,0.058652186,0.420877544,0.119409644,0.210002175,0.060144024,0.077858386,0.053056041
2038,0.275402256,0.107872307,0.093756541,0.402271459,0.080073518,0.032308935,0.008314983
2039,0.18094877,0.216099268,0.120120224,0.351955927,0.074678914,0.048254121,0.007942775
2040,0.008039177,0.634680979,0.121750161,0.072962429,0.050609574,0.08976918,0.022188501
2041,0.041825391,0.570978236,0.118690064,0.094484513,0.024581076,0.135926257,0.013514463
2042,0.012354808,0.618437013,0.120590148,0.093498747,0.034427572,0.101023583,0.01966813
2043,0.086141471,0.291276421,0.135924391,0.373470834,0.051950455,0.051417798,0.00981863
2044,0.153275306,0.218355691,0.119076835,0.406752913,0.051725084,0.04615634,0.004657832
2045,0.093502574,0.297931224,0.131623383,0.37352988,0.042558115,0.055438541,0.005416282
2046,0.014333294,0.470973834,0.140458634,0.261230347,0.029059243,0.063931786,0.020012862
2047,0.218538238,0.181722806,0.10086776,0.413135447,0.036537273,0.047554292,0.001644185
2048,0.01185428,0.509539927,0.126366944,0.239398084,0.019913665,0.075917677,0.017009422
2049,0.009261373,0.442690951,0.137765165,0.316456264,0.021947867,0.053815678,0.018062703
2050,0.01146237,0.534065522,0.072582936,0.206976027,0.121494588,0.052577445,0.000841114
