Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.070474479,0.481712088,0.081741327,0.05877309,0.15891521,0.078567525,0.069816282
2020,0.082458114,0.478147894,0.080573548,0.059755288,0.142900952,0.086220164,0.069944039
2021,0.305078226,0.208261602,0.092050074,0.152816367,0.089904741,0.077409177,0.074479813
2022,0.076593846,0.439835412,0.107302212,0.086988773,0.112745902,0.081651968,0.094881887
2023,0.238362887,0.278996758,0.104024093,0.138539024,0.093735021,0.085734013,0.060608204
2024,0.146947387,0.467711752,0.049746658,0.046332372,0.179797815,0.094094467,0.015369549
2025,0.357604171,0.161401578,0.085170582,0.196683672,0.080296297,0.068795521,0.05004818
2026,0.265493012,0.230347997,0.088174445,0.168910325,0.075572416,0.085703173,0.085798633
2027,0.079928109,0.440159082,0.106065911,0.108040761,0.095318027,0.086911227,0.083576883
2028,0.075562861,0.390625398,0.117130165,0.150675375,0.099780223,0.071807671,0.094418306
2029,0.281142654,0.180013914,0.104343472,0.255469012,0.099508299,0.054844443,0.024678205
2030,0.029289598,0.547754633,0.114892445,0.079570736,0.092820889,0.080380253,0.055291446
2031,0.296829303,0.18323332,0.101594624,0.25423082,0.08402259,0.060463546,0.019625797
2032,0.026127108,0.550062812,0.112209564,0.089914879,0.090276207,0.077548727,0.053860703
2033,0.372720862,0.121049367,0.084231417,0.286690858,0.079038554,0.048114659,0.008154282
2034,0.124974416,0.384176701,0.134052485,0.17922398,0.07024384,0.086786956,0.020541623
2035,0.081748112,0.350606364,0.142801794,0.248794933,0.082359441,0.061693202,0.031996154
2036,0.040881642,0.454657862,0.130218784,0.182809011,0.068977625,0.07165392,0.050801157
2037,0.13205769,0.306414122,0.122439049,0.27713157,0.06033507,0.072835917,0.028786583
2038,0.256635171,0.209434775,0.107186974,0.295377369,0.065539673,0.060245141,0.005580898
2039,0.109594164,0.316727489,0.131800748,0.29889712,0.058548467,0.066239454,0.018192558
2040,0.119418304,0.39525337,0.024886381,0.059698979,0.356916572,0.043792359,3.40E-05
2041,0.067499029,0.343569937,0.102306875,0.318452971,0.046050931,0.069119361,0.053000896
2042,0.048563631,0.355989723,0.103773931,0.33474708,0.050600401,0.059230435,0.047094799
2043,0.052924714,0.368604695,0.133534632,0.319483658,0.038964222,0.065309496,0.021178583
2044,0.159220982,0.252666394,0.114984976,0.366721568,0.038977875,0.062232309,0.005195896
2045,0.020701936,0.619012306,0.107518818,0.076154206,0.013334032,0.153406847,0.009871854
2046,0.009636992,0.687764403,0.079760825,0.036889414,0.020821839,0.161508604,0.003617923
2047,0.005265897,0.64409681,0.117356986,0.092842076,0.023128917,0.106900576,0.010408739
2048,0.051805588,0.350539539,0.1333331,0.371599866,0.026525724,0.060564278,0.005631905
2049,0.008105879,0.486994577,0.13316296,0.270051511,0.019138963,0.064163599,0.018382513
2050,0.012276519,0.498457666,0.124657707,0.257331563,0.01330484,0.082036338,0.011935368
