Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.064759242,0.50920243,0.100583385,0.04773874,0.096966915,0.09934576,0.081403529
2020,0.095095109,0.461890236,0.105283048,0.061938284,0.090161451,0.103189968,0.082441903
2021,0.033731087,0.615472757,0.07547589,0.021420653,0.12493326,0.102240708,0.026725646
2022,0.068829748,0.499162547,0.109974765,0.058866228,0.087272678,0.101001101,0.074892934
2023,0.093642725,0.450703585,0.120602441,0.08168836,0.090617076,0.096244404,0.066501408
2024,0.053868114,0.578948122,0.099768402,0.032068116,0.062420559,0.129826243,0.043100444
2025,0.102760118,0.499876723,0.115478065,0.054985872,0.064752791,0.126469968,0.035676462
2026,0.327164729,0.320040906,0.090172408,0.066012114,0.054313259,0.131733461,0.010563124
2027,0.028233173,0.646386743,0.082432851,0.0209387,0.071882119,0.126613856,0.023512557
2028,0.085596119,0.468063721,0.121610945,0.094642711,0.074987399,0.101696356,0.053402748
2029,0.192455119,0.320939407,0.122619868,0.164889259,0.086098372,0.084460029,0.028537947
2030,0.021793761,0.600231575,0.114559638,0.049679063,0.070262385,0.096862223,0.046611356
2031,0.01489507,0.682755504,0.076001777,0.012900597,0.061612929,0.141025288,0.010808835
2032,0.128442974,0.411914167,0.127894635,0.137888144,0.066984061,0.100370041,0.026505979
2033,0.11630044,0.451387542,0.124628525,0.113504559,0.05332082,0.116416094,0.024442019
2034,0.558138517,0.168463947,0.045734936,0.051791267,0.022849428,0.152583437,0.000438468
2035,0.300500012,0.320540464,0.017948836,0.001949634,0.001626913,0.356632658,0.000801483
2036,0.21314877,0.419305354,0.035899107,0.006470895,0.004164088,0.318900208,0.002111578
2037,0.052062189,0.593791723,0.10320748,0.046228509,0.024558577,0.166515365,0.013636156
2038,0.020776869,0.64768048,0.102450407,0.039654552,0.028902722,0.144469698,0.016065272
2039,0.02245169,0.623770756,0.113595838,0.060572611,0.029482657,0.13072328,0.019403168
2040,0.080025204,0.498871935,0.123179225,0.128646263,0.031037084,0.126977757,0.011262531
2041,0.016373496,0.663008921,0.094212404,0.038680383,0.022212705,0.153916425,0.011595667
2042,0.020317007,0.645070554,0.097759025,0.047860493,0.017721876,0.159302583,0.011968462
2043,0.043815702,0.570581545,0.111421368,0.097177542,0.018071156,0.148421176,0.01051151
2044,0.029627458,0.609404795,0.103875555,0.070412137,0.013692871,0.163827707,0.009159476
2045,0.026633539,0.604199445,0.106332902,0.085519814,0.013385957,0.154275285,0.009653059
2046,0.095347795,0.495852578,0.097280921,0.122845741,0.010585109,0.173861936,0.004225921
2047,0.005864408,0.582750066,0.13104849,0.158329771,0.027209332,0.079340132,0.0154578
2048,0.021825738,0.580747923,0.108743257,0.13027694,0.010493108,0.139359797,0.008553239
2049,0.006749042,0.543745155,0.134427639,0.203927921,0.017329938,0.079837442,0.013982863
2050,0.217148244,0.28937956,0.083160027,0.284366392,0.009520134,0.115456063,0.000969581
