,Year,y_cotton,y_corn,y_barley,y_durum,y_alfalfa,p_cotton,p_corn,p_barley,p_durum,p_alfalfa,pdsi,temp,precipitation,prop_cotton,prop_alfalfa,prop_corn,prop_barley,prop_durum,prop_veg,prop_remaining
0,1991,1216,170,121.6,92.5,7.96,0.604,2.8,2.6,3.63,70.5,2.56,70.26666667,8.866666667,0.347001316,0.1245518,0.01245518,0.016939045,0.028646914,0.062618169,0.40778757600000004
1,1992,1044,170,106.1,93.0,7.23,0.53,2.75,2.6,3.95,64.0,5.66,69.8,12.27,0.467551282,0.160972273,0.013536305,0.034023685,0.042072299,0.09420902199999999,0.18763513399999998
2,1993,1291,170,102.3,97.0,7.35,0.581,3.11,2.6,3.85,93.5,7.93,69.8,13.70333333,0.437457584,0.15456595,0.019410608,0.049604885999999994,0.075485697,0.091132084,0.172343191
3,1994,1233,175,91.1,95.1,7.53,0.706,3.25,2.85,4.34,103.0,-1.13,70.06666667,13.31333333,0.42747453,0.180175215,0.028616064,0.047693439000000004,0.10457228199999999,0.088160793,0.12330767699999999
4,1995,1076,190,84.4,95.0,8.5,0.7290000000000001,3.7,2.95,4.71,79.0,2.47,70.46666667,10.57666667,0.482430365,0.192763753,0.034384886,0.038205429,0.069117093,0.085289799,0.097808675
5,1996,1247,190,99.8,85.0,8.39,0.6970000000000001,3.65,3.55,5.0,95.0,-4.1,71.16666667,7.353333332999999,0.38254423299999996,0.18444097,0.060455651,0.062846553,0.154383923,0.082514108,0.072814562
6,1997,1287,190,97.0,92.0,8.4,0.647,3.2,2.9,4.7,112.0,-3.9,71.4,6.893333332999999,0.39780134100000003,0.188149283,0.056444785,0.08869894800000001,0.084331196,0.079829053,0.104745394
7,1998,1214,190,105.6,93.6,8.0,0.547,2.75,2.45,4.5,89.5,5.34,70.66666667,8.44,0.283598352,0.20657163899999997,0.051117728,0.070724527,0.14249941900000002,0.07846221099999999,0.167026124
8,1999,1287,195,115.0,92.8,8.18,0.439,2.72,2.4,4.0,89.0,-2.58,70.26666667,8.906666667,0.307389333,0.226612825,0.052998160999999995,0.082969534,0.043860547,0.07697526,0.20919434
9,2000,1367,196,114.3,93.5,8.46,0.397,2.78,2.42,3.5,94.0,-3.22,70.36666667,9.11,0.32495634100000004,0.248496026,0.065755871,0.053207835,0.056962935,0.075351641,0.17526935100000002
10,2001,1184,208,106.6,92.0,8.1,0.284,2.79,2.4,3.95,99.0,-0.74,71.16666667,7.503333333,0.31255910600000003,0.267278107,0.060508237,0.055259149,0.08014336,0.073571605,0.150680436
