,Year,y_cotton,y_corn,y_barley,y_alfalfa,y_durum,y_vegetables,p_cotton,p_corn,p_barley,p_durum,p_alfalfa,pdsi,temp,precipitation
0,1991,1216.0,170.0,121.6,7.96,111.0,25137.0,0.7852,3.6399999999999997,3.3800000000000003,4.719,91.65,2.56,70.26666667,8.866666667
1,1992,1044.0,170.0,106.1,7.23,111.6,25751.0,0.6890000000000001,3.575,3.3800000000000003,5.135000000000001,83.2,5.66,69.8,12.27
2,1993,1291.0,170.0,102.3,7.35,116.4,25353.0,0.7553,4.043,3.3800000000000003,5.005,121.55,7.93,69.8,13.70333333
3,1994,1233.0,175.0,91.1,7.53,114.12,24955.0,0.9178,4.2250000000000005,3.705,5.642,133.9,-1.13,70.06666667,13.31333333
4,1995,1076.0,190.0,84.4,8.5,114.0,24556.0,0.9477000000000001,4.8100000000000005,3.8350000000000004,6.123,102.7,2.47,70.46666667,10.57666667
5,1996,1247.0,190.0,99.8,8.39,102.0,24158.0,0.9061000000000001,4.745,4.615,6.5,123.5,-4.1,71.16666667,7.353333332999999
6,1997,1287.0,190.0,97.0,8.4,110.4,23760.0,0.8411000000000001,4.16,3.77,6.11,145.6,-3.9,71.4,6.893333332999999
7,1998,1214.0,190.0,105.6,8.0,112.32,22410.0,0.7111000000000001,3.575,3.1850000000000005,5.8500000000000005,116.35000000000001,5.34,70.66666667,8.44
8,1999,1287.0,195.0,115.0,8.18,111.36,21060.0,0.5707,3.5360000000000005,3.12,5.2,115.7,-2.58,70.26666667,8.906666667
9,2000,1367.0,196.0,114.3,8.46,112.2,19710.0,0.5161,3.614,3.146,4.55,122.2,-3.22,70.36666667,9.11
10,2001,1184.0,208.0,106.6,8.1,110.4,18360.0,0.3692,3.6270000000000002,3.12,5.135000000000001,128.70000000000002,-0.74,71.16666667,7.503333333
11,2002,1376.0,185.0,111.8,8.26,128.64,17010.0,0.6019,4.082000000000001,3.315,5.720000000000001,130.0,-4.54,71.33333333,6.396666667000001
12,2003,1206.0,190.0,114.9,8.24,118.8,17102.0,0.8632000000000001,4.264,3.6919999999999997,6.045000000000001,116.35000000000001,-2.17,71.46666667,7.103333332999999
13,2004,1418.0,180.0,109.7,8.67,115.92,17195.0,0.5772,3.939,3.6399999999999997,5.525,129.35,-3.38,71.3,8.063333333
14,2005,1306.0,195.0,91.1,8.31,106.8,17287.0,0.6708000000000001,4.134,3.575,5.460000000000001,161.20000000000002,4.52,71.26666667,10.22
15,2006,1443.0,170.0,106.7,8.41,113.4,17380.0,0.6487,5.681,4.16,6.305,169.0,-3.63,71.13333333,9.016666667
16,2007,1594.0,185.0,105.0,8.7,113.88,17472.0,0.7748,6.539000000000001,5.2,9.243,196.3,-3.9,71.46666667,8.13
17,2008,1443.0,165.0,114.0,9.0,107.88,16502.0,0.7605,7.54,6.24,10.842,240.5,1.04,71.46666667,7.993333333
18,2009,1469.0,175.0,120.0,8.6,115.92,15532.0,0.8462999999999999,5.382,4.862,11.232000000000001,157.3,-2.85,71.53333333,7.233333332999999
19,2010,1537.0,210.0,125.0,8.4,111.6,14563.0,1.1115,7.54,4.966,7.293000000000001,167.70000000000002,2.26,71.16666667,7.893333332999999
20,2011,1485.0,178.0,125.0,9.4,119.4,13593.0,1.1387999999999998,8.814,6.3180000000000005,12.584,292.5,-3.2,71.06666667,6.463333333
21,2012,1556.0,195.0,120.0,9.05,118.8,12623.0,0.9984000000000001,10.192,7.514,10.634,291.2,-4.24,71.23333333,7.11
22,2013,1506.0,177.0,120.0,8.0,122.04,14645.0,1.014,7.657,6.6690000000000005,9.698,261.3,-3.06,71.3,6.93
23,2014,1898.0,210.0,125.0,8.95,96.84,16667.0,0.8332999999999999,6.968000000000001,5.772000000000001,11.453000000000001,283.40000000000003,-4.07,71.83333333,8.356666667
24,2015,1559.0,210.0,120.0,9.0,120.0,18688.0,0.8476,6.474000000000001,5.3950000000000005,11.882000000000001,210.6,-1.58,71.8,8.976666667
25,2016,1704.0,215.0,128.0,9.15,114.6,20710.0,0.9359999999999999,6.149000000000001,5.278,8.71,197.6,-2.8,72.36666667,8.426666667000001
26,2017,1567.0,195.0,125.0,9.15,106.92,22732.0,0.9451,5.915,5.083,9.177999999999999,223.6,-2.84,72.66666667,7.336666667
27,2018,1470.0,220.0,100.0,8.45,133.56,20600.0,0.9880000000000001,6.370000000000001,4.9399999999999995,9.035,271.7,-5.06,72.8,7.763333332999999
28,2019,1698.284066,202.955,122.5627,9.1519,116.77968,14929.11,0.98904,6.3881003511,6.4655598163,10.4217170798,275.63589482000003,-4.3712,70.95936163,6.8139
29,2020,1722.227254,203.9,123.366,9.2,116.9784,14614.8,0.9984000000000001,6.578040730300001,6.6239349735,10.7606053204,286.65539292000005,-4.596,71.03745987,6.692
30,2021,1746.5080039999998,204.845,124.1693,9.2481,117.17712,14300.49,1.00776,6.7736286943,6.7861895621,11.1105133607,298.11543372,-4.8208,71.11564407,6.5701
31,2022,1771.1310760000001,205.79,124.9726,9.2962,117.37584,13986.18,1.01712,6.975032168,6.9524186081999995,11.4717995379,310.03362923000003,-5.0456,71.19391432,6.4482
32,2023,1796.101295,206.735,125.7759,9.3443,117.57456,13671.87,1.02648,7.1824240657,7.1227194675000005,11.8448338398,322.4282958,-5.2704,71.27227072,6.3263
33,2024,1821.423555,207.68,126.5792,9.3924,117.77328,13357.56,1.0358399999999999,7.3959824432,7.2971918812,12.229998288300001,335.3184820700001,-5.4952,71.35071335,6.2044
34,2025,1847.1028199999998,208.625,127.3825,9.4405,117.97200000000001,13043.25,1.0452000000000001,7.6158906512,7.475938029300001,12.6276873216,348.72399809000007,-5.72,71.42924232,6.0825
35,2026,1873.144123,209.57,128.1858,9.4886,118.17071999999999,12728.94,1.0545600000000002,7.8423374939,7.6590625994999995,13.038308205,362.66544600000003,-5.9448,71.50785771,5.9606
36,2027,1899.5525690000002,210.515,128.9891,9.5367,118.36944,12414.63,1.06392,8.075517386300001,7.846672843100001,13.462281469,377.16425149,-6.1696,71.58655964,5.8387
37,2028,1926.3333329999998,211.46,129.7924,9.5848,118.56816,12100.32,1.07328,8.3156305258,8.038878634800001,13.900041272,392.24269695000004,-6.3944,71.66534818,5.7168
38,2029,1953.4916640000001,212.405,130.5957,9.6329,118.76688,11786.01,1.08264,8.5628830612,8.2357925468,14.352035945,407.92395527,-6.6192,71.74422343,5.5949
39,2030,1981.032886,213.35,131.399,9.681000000000001,118.9656,11471.7,1.092,8.817487272100001,8.4375299034,14.818728353000001,424.23212624,-6.843999999999999,71.8231855,5.473
40,2031,2008.9623969999998,214.295,132.2023,9.7291,119.16431999999999,11157.39,1.10136,9.079661749600001,8.6442088551,15.300596428,441.19227269000004,-7.0688,71.90223447,5.3511
41,2032,2037.285671,215.24,133.0056,9.7772,119.36303999999998,10843.08,1.1107200000000002,9.349631582199999,8.8559504501,15.79813365,458.83045975,-7.2936,71.98137045,5.2292
42,2033,2066.008259,216.185,133.8089,9.8253,119.56176,10528.77,1.1200800000000002,9.627628556000001,9.0728786954,16.311849541,477.17379424,-7.5184,72.06059352,5.1073
43,2034,2095.135792,217.13,134.6122,9.8734,119.76048,10214.46,1.12944,9.9138913432,9.2951206413,16.842270198,496.25046692,-7.7432,72.13990379,4.9854
44,2035,2124.6739780000003,218.075,135.4155,9.9215,119.9592,9900.15,1.1387999999999998,10.2086657166,9.5228064477,17.389938813,516.08979565,-7.968,72.21930134,4.8635
45,2036,2154.628607,219.02,136.2188,9.9696,120.15791999999999,9585.84,1.14816,10.512204753699999,9.756069462100001,17.955416232,536.7222702400001,-8.1928,72.29878628,4.7416
46,2037,2185.00555,219.965,137.0221,10.0177,120.35663999999998,9271.53,1.15752,10.824769059000001,9.9950463002,18.539281579,558.1795992499999,-8.4176,72.3783587,4.6197
47,2038,2215.8107609999997,220.91,137.8254,10.0658,120.55536000000001,8957.22,1.16688,11.146626985,10.2398769226,19.142132763,580.49475913,-8.6424,72.4580187,4.4978
48,2039,2247.050278,221.855,138.6287,10.1139,120.75408,8642.91,1.1762400000000002,11.4780548636,10.490704719300002,19.764587167,603.7020447900001,-8.8672,72.53776638,4.3759
49,2040,2278.730224,222.8,139.43200000000002,10.162,120.9528,8328.6,1.1856,11.8193372427,10.7476765929,20.407282246,627.83712199,-9.092,72.61760182,4.254
50,2041,2310.856808,223.745,140.2353,10.2101,121.15151999999999,8014.29,1.19496,12.170767130600002,11.010943041800001,21.070876151,652.9370823300001,-9.3168,72.69752513,4.1321
51,2042,2343.4363280000002,224.69,141.0386,10.2582,121.35023999999999,7699.98,1.20432,12.5326462482,11.2806582551,21.756048470000003,679.04050045,-9.5416,72.77753641,4.0102
52,2043,2376.4751690000003,225.635,141.8419,10.3063,121.54896000000001,7385.67,1.21368,12.9052852864,11.5569801945,22.463500891,706.1874929200001,-9.7664,72.85763574,3.8883
53,2044,2409.979806,226.58,142.6452,10.3544,121.74768,7071.36,1.22304,13.28900417,11.8400706944,23.193957903999998,734.41978038,-9.9912,72.93782324,3.7664
