,demand_site,crop,proportion,crop_type,default_expression
0,Adaman,Alfalfa_hay,0.004126419,Alfalfa,0
1,Adaman,Alfalfa_haylage,0.00130308,Alfalfa,0
2,Adaman,Corn_silage,0.008710084,Corn,0
3,Adaman,Corn_grain,0.000407559,Corn,0
4,Adaman,Barley,0.012316313,Barley,0
5,Adaman,Cotton,0.005062978,Cotton,0
6,Adaman,Durum_Wheat,0.010104468,Durum,0
7,Adaman,Potatoes,0.149598981,Vegetables(potatoes),0
8,Adaman,Sorghum_grain,0.000673301,Remaining,0
9,Adaman,Sugarbeets,0.000673301,Remaining,0
10,Adaman,Winter_Wheat,0.000673301,Remaining,0
11,Adaman,Other_Hay,0.000673301,Remaining,0
12,Adaman,Sorghum_silage,0.000673301,Remaining,0
13,Adaman,VegFruit,0.000673301,Remaining,0
14,Arlington,Alfalfa_hay,0.03520373,Alfalfa,0
15,Arlington,Alfalfa_haylage,0.011116967,Alfalfa,0
16,Arlington,Corn_silage,0.004921069,Corn,0
17,Arlington,Corn_grain,0.000230265,Corn,0
18,Arlington,Barley,0.033386798,Barley,0
19,Arlington,Cotton,0.011632729,Cotton,0
20,Arlington,Durum_Wheat,0.025167648,Durum,0
21,Arlington,Potatoes,0.00016178,Vegetables(potatoes),0
22,Arlington,Sorghum_grain,0.015546499,Remaining,0
23,Arlington,Sugarbeets,0.015546499,Remaining,0
24,Arlington,Winter_Wheat,0.015546499,Remaining,0
25,Arlington,Other_Hay,0.015546499,Remaining,0
26,Arlington,Sorghum_silage,0.015546499,Remaining,0
27,Arlington,VegFruit,0.015546499,Remaining,0
28,Buckeye,Alfalfa_hay,0.149789842,Alfalfa,0
29,Buckeye,Alfalfa_haylage,0.047302055,Alfalfa,0
30,Buckeye,Corn_silage,0.059701241,Corn,0
31,Buckeye,Corn_grain,0.002793516,Corn,0
32,Buckeye,Barley,0.194686944,Barley,0
33,Buckeye,Cotton,0.06031276,Cotton,0
34,Buckeye,Durum_Wheat,0.065110131,Durum,0
35,Buckeye,Potatoes,0.002200417,Vegetables(potatoes),0
36,Buckeye,Sorghum_grain,0.034914847,Remaining,0
37,Buckeye,Sugarbeets,0.034914847,Remaining,0
38,Buckeye,Winter_Wheat,0.034914847,Remaining,0
39,Buckeye,Other_Hay,0.034914847,Remaining,0
40,Buckeye,Sorghum_silage,0.034914847,Remaining,0
41,Buckeye,VegFruit,0.034914847,Remaining,0
42,Maricopa_Water_District,Alfalfa_hay,0.027439232,Alfalfa,0
43,Maricopa_Water_District,Alfalfa_haylage,0.008665021,Alfalfa,0
44,Maricopa_Water_District,Corn_silage,0.112853844,Corn,0
45,Maricopa_Water_District,Corn_grain,0.00528061,Corn,0
46,Maricopa_Water_District,Barley,0.0907923,Barley,0
47,Maricopa_Water_District,Cotton,0.016777922,Cotton,0
48,Maricopa_Water_District,Durum_Wheat,0.114963355,Durum,0
49,Maricopa_Water_District,Potatoes,0.466481615,Vegetables(potatoes),0
50,Maricopa_Water_District,Sorghum_grain,0.014632967,Remaining,0
51,Maricopa_Water_District,Sugarbeets,0.014632967,Remaining,0
52,Maricopa_Water_District,Winter_Wheat,0.014632967,Remaining,0
53,Maricopa_Water_District,Other_Hay,0.014632967,Remaining,0
54,Maricopa_Water_District,Sorghum_silage,0.014632967,Remaining,0
55,Maricopa_Water_District,VegFruit,0.014632967,Remaining,0
56,New_Magma,Alfalfa_hay,0.133597193,Alfalfa,0
57,New_Magma,Alfalfa_haylage,0.030124857,Alfalfa,0
58,New_Magma,Corn_silage,0.098134109,Corn,0
59,New_Magma,Corn_grain,0.00941012,Corn,0
60,New_Magma,Barley,0.138047135,Barley,0
61,New_Magma,Upland_Cotton,0.230225537,Cotton,0
62,New_Magma,Pima_Cotton,0.007659911,Cotton,0
63,New_Magma,Durum_Wheat,0.150665108,Durum,0
64,New_Magma,Potatoes,0.035091221,Vegetables(potatoes),0
65,New_Magma,Sorghum_grain,0.02400349,Remaining,0
66,New_Magma,Sugarbeets,0.02400349,Remaining,0
67,New_Magma,Winter_Wheat,0.02400349,Remaining,0
68,New_Magma,Other_Hay,0.02400349,Remaining,0
69,New_Magma,Sorghum_silage,0.02400349,Remaining,0
70,New_Magma,VegFruit,0.02400349,Remaining,0
71,Peninsula,Alfalfa_hay,0.004371236,Alfalfa,0
72,Peninsula,Alfalfa_haylage,0.00138039,Alfalfa,0
73,Peninsula,Corn_silage,0.002422716,Corn,0
74,Peninsula,Corn_grain,0.000221907,Corn,0
75,Peninsula,Barley,0.003064668,Barley,0
76,Peninsula,Cotton,0.00135168,Cotton,0
77,Peninsula,Durum_Wheat,0.00034573,Durum,0
78,Peninsula,Potatoes,9.28E-05,Vegetables(potatoes),0
79,Peninsula,Sorghum_grain,0.000709678,Remaining,0
80,Peninsula,Sugarbeets,0.000709678,Remaining,0
81,Peninsula,Winter_Wheat,0.000709678,Remaining,0
82,Peninsula,Other_Hay,0.000709678,Remaining,0
83,Peninsula,Sorghum_silage,0.000709678,Remaining,0
84,Peninsula,VegFruit,0.000709678,Remaining,0
85,Queen_Creek,Alfalfa_hay,0.038820558,Alfalfa,0
86,Queen_Creek,Alfalfa_haylage,0.012259124,Alfalfa,0
87,Queen_Creek,Corn_silage,0.1145052,Corn,0
88,Queen_Creek,Corn_grain,0.00535788,Corn,0
89,Queen_Creek,Barley,0.090322684,Barley,0
90,Queen_Creek,Cotton,0.102271089,Cotton,0
91,Queen_Creek,Durum_Wheat,0.046618328,Durum,0
92,Queen_Creek,Potatoes,0.318852853,Vegetables(potatoes),0
93,Queen_Creek,Sorghum_grain,0.001824824,Remaining,0
94,Queen_Creek,Sugarbeets,0.001824824,Remaining,0
95,Queen_Creek,Winter_Wheat,0.001824824,Remaining,0
96,Queen_Creek,Other_Hay,0.001824824,Remaining,0
97,Queen_Creek,Sorghum_silage,0.001824824,Remaining,0
98,Queen_Creek,VegFruit,0.001824824,Remaining,0
