Year,0,1,2,3,4,5,6
1991,0.31330651623208366,0.23691133477394413,0.049255808860728924,0.05305860618260643,0.04428529715940705,0.07575436839129597,0.22742806839993376
1992,0.37148339538068137,0.22199319909370374,0.028012311557141914,0.035245934137423184,0.06608649279545789,0.09079785841018873,0.1863808086254033
1993,0.33393637660711667,0.25139170363533425,0.03170465589506397,0.038096148721050944,0.05006708589764791,0.09970768960345416,0.19509633964033213
1994,0.40726076349605367,0.22637962804727052,0.032895906400256525,0.042560827368997745,0.06739493129434983,0.10464779577879314,0.1188601476142787
1995,0.4192917846580662,0.27090444956106274,0.0440659271266951,0.03823078356609891,0.09212029027970597,0.08729689271166476,0.04808987209670636
1996,0.3045184512602895,0.24984860016529395,0.07238034857963994,0.06260368133645156,0.10466994007139575,0.08089203059525182,0.12508694799167744
1997,0.280839921371783,0.27548121336106546,0.08558014474896233,0.07614924400852344,0.07494976211452208,0.08260950633608262,0.12439020805906129
1998,0.3134696360270175,0.25446111328149834,0.05837634865680231,0.06073795873922648,0.070775072828455,0.0809064805941094,0.16127338987289092
1999,0.3146553316002642,0.25220212904290573,0.057687550272846395,0.05446672420352901,0.05699951528431063,0.0748700784924758,0.18911867110366823
2000,0.2898004389072729,0.2858906653209697,0.06774939297396369,0.049551253838080844,0.04957864573759716,0.07711602072040181,0.18031358250171392
2001,0.21751619539215822,0.35035961287063727,0.0793384961504,0.04604989089339935,0.06651439381389516,0.08182938162608702,0.15839202925342288
2002,0.14068804007625196,0.3843949956438937,0.10396348658550217,0.06233644814948678,0.04551127235811968,0.07460484233126714,0.18850091485547868
2003,0.19264711481624672,0.4164589173058494,0.08185983349138035,0.04202202453757901,0.057471532949676454,0.09442570206518694,0.11511487483408106
2004,0.15861111317086396,0.4042274280218155,0.09009049791390261,0.04325845154589847,0.05431594566935989,0.08751350538918688,0.16198305828897275
2005,0.26535117499820643,0.3529227151882124,0.06617179691880264,0.04108531949186371,0.06865611782718219,0.10621237170868719,0.09960050386704546
2006,0.14542240715028476,0.41731453010817804,0.07317812380600094,0.05260105867888396,0.03906901313728467,0.08139828959921584,0.19101657752015183
2007,0.1085351779242832,0.44608134336516736,0.08835824998233394,0.057218636988147706,0.07437955226935207,0.08244386486547213,0.14298317460524354
2008,0.11238834472211137,0.502196807912335,0.07421549074965757,0.05562954833526036,0.05879539897947141,0.0862328749778427,0.1105415343233215
2009,0.08784703829652213,0.4693321100670716,0.06928753364195141,0.04504021203186833,0.10039891989704096,0.08738813269107706,0.14070605337446848
2010,0.14399245794702226,0.46517296432494415,0.08228676704973555,0.04649821682043165,0.04240399052569613,0.079274883797967,0.1403707195342033
2011,0.17414076490905508,0.4719830438746232,0.07892801573114155,0.1026282736621161,0.036525471570294205,0.07249839352608194,0.06329603672668778
2012,0.12400254751903407,0.5092879518095974,0.10564205458584812,0.07454126332143302,0.03779917923889861,0.07194711647352194,0.07677988705166684
2013,0.1444151610257266,0.35879456174139956,0.09707260654262358,0.10416660747724531,0.046018997912203985,0.0811946753200355,0.1683373899807656
2014,0.07530966085047641,0.47674297133217103,0.0875104419504476,0.05177311848832942,0.06790035212913614,0.09276549239853459,0.1479979628509048
2015,0.06322175125729444,0.6053978834430049,0.07221601426800033,0.020903947759315374,0.0869645315079875,0.10429105402073165,0.04700481774366572
2016,0.04896405174037748,0.6156257161591343,0.10164573937370049,0.01565825190737881,0.05133596617523563,0.10921797105164929,0.05755230359252386
2017,0.06142773521203154,0.5978004881895876,0.09602529511507732,0.024072502441559823,0.04404954777098407,0.11136885578540964,0.06525557548535008
2018,0.07443650048174287,0.5834124776437972,0.11880825525247267,0.03235571612179631,0.04288310386403412,0.11859396044626812,0.02950998618988879
2019,0.2425947264706357,0.2868377300343004,0.11441063200509943,0.11019661964083363,0.07215153507671884,0.08179297124245415,0.09201578552995779
2020,0.22816536226473041,0.29895095669190763,0.1187485726889713,0.11179061153172622,0.0713978801273753,0.08251187521617868,0.08843474147911048
2021,0.21408837622445404,0.3109424980890257,0.12305498400070426,0.1134750682714651,0.07049981725166807,0.0831195395475205,0.08481971661516229
2022,0.20041887990923707,0.32275000810130267,0.12731314178915157,0.11526142852803256,0.06945920852536212,0.08361361184111077,0.08118372130580309
2023,0.18720538576838539,0.3343120418228188,0.13150692866556357,0.11716300598751958,0.0682793944443803,0.08399297426991728,0.07754026904141506
2024,0.17448923759730342,0.34556882329868294,0.13562100466849417,0.11919505196180114,0.06696509627739233,0.0842577015542675,0.07390308464205851
2025,0.16230425864251755,0.356462917872091,0.13964093107784323,0.12137480114254828,0.06552228743167703,0.08440898499387128,0.07028581883945155
2026,0.1506766394565343,0.3669397559496335,0.14355323956354119,0.12372151532729804,0.0639580425874167,0.08444902323718925,0.06670178387838713
2027,0.13962502173148506,0.37694803908777186,0.14734545044288225,0.1262565102305857,0.06228037185760487,0.0843808907736179,0.0631637158760524
2028,0.12916079288602536,0.3864399759249191,0.1510060369634321,0.1290031859260264,0.060498048087315896,0.08420838526982474,0.05968357494245639
2029,0.11928852069937551,0.39537141145103694,0.15452434493068956,0.1319870352835748,0.05862043753608881,0.08393586762275518,0.056272382476479234
2030,0.11000653093057526,0.40370181525809834,0.15789047193452801,0.13523564682453343,0.05665733653418577,0.08356809643754627,0.052940102080532896
