Year,y_cotton,y_corn,y_barley,y_alfalfa,y_durum,y_vegetables,p_cotton,p_corn,p_barley,p_durum,p_alfalfa,pdsi,temp,precipitation,p_cotton_1
1991,1216,170,121.6,7.96,92.5,25137,0.604,2.8,2.6,3.63,70.5,2.56,70.26666667,8.866666667,0.7852
1992,1044,170,106.1,7.23,93,25751,0.53,2.75,2.6,3.95,64,5.66,69.8,12.27,0.689
1993,1291,170,102.3,7.35,97,25353,0.581,3.11,2.6,3.85,93.5,7.93,69.8,13.70333333,0.7553
1994,1233,175,91.1,7.53,95.1,24955,0.706,3.25,2.85,4.34,103,-1.13,70.06666667,13.31333333,0.9178
1995,1076,190,84.4,8.5,95,24556,0.729,3.7,2.95,4.71,79,2.47,70.46666667,10.57666667,0.9477
1996,1247,190,99.8,8.39,85,24158,0.697,3.65,3.55,5,95,-4.1,71.16666667,7.353333333,0.9061
1997,1287,190,97,8.4,92,23760,0.647,3.2,2.9,4.7,112,-3.9,71.4,6.893333333,0.8411
1998,1214,190,105.6,8,93.6,22410,0.547,2.75,2.45,4.5,89.5,5.34,70.66666667,8.44,0.7111
1999,1287,195,115,8.18,92.8,21060,0.439,2.72,2.4,4,89,-2.58,70.26666667,8.906666667,0.5707
2000,1367,196,114.3,8.46,93.5,19710,0.397,2.78,2.42,3.5,94,-3.22,70.36666667,9.11,0.5161
2001,1184,208,106.6,8.1,92,18360,0.284,2.79,2.4,3.95,99,-0.74,71.16666667,7.503333333,0.3692
2002,1376,185,111.8,8.26,107.2,17010,0.463,3.14,2.55,4.4,100,-4.54,71.33333333,6.396666667,0.6019
2003,1206,190,114.9,8.24,99,17102,0.664,3.28,2.84,4.65,89.5,-2.17,71.46666667,7.103333333,0.8632
2004,1418,180,109.7,8.67,96.6,17195,0.444,3.03,2.8,4.25,99.5,-3.38,71.3,8.063333333,0.5772
2005,1306,195,91.1,8.31,89,17287,0.516,3.18,2.75,4.2,124,4.52,71.26666667,10.22,0.6708
2006,1443,170,106.7,8.41,94.5,17380,0.499,4.37,3.2,4.85,130,-3.63,71.13333333,9.016666667,0.6487
2007,1594,185,105,8.7,94.9,17472,0.596,5.03,4,7.11,151,-3.9,71.46666667,8.13,0.7748
2008,1443,165,114,9,89.9,16502,0.585,5.8,4.8,8.34,185,1.04,71.46666667,7.993333333,0.7605
2009,1469,175,120,8.6,96.6,15532,0.651,4.14,3.74,8.64,121,-2.85,71.53333333,7.233333333,0.8463
2010,1537,210,125,8.4,93,14563,0.855,5.8,3.82,5.61,129,2.26,71.16666667,7.893333333,1.1115
2011,1485,178,125,9.4,99.5,13593,0.876,6.78,4.86,9.68,225,-3.2,71.06666667,6.463333333,1.1388
2012,1556,195,120,9.05,99,12623,0.768,7.84,5.78,8.18,224,-4.24,71.23333333,7.11,0.9984
2013,1506,177,120,8,101.7,14645,0.78,5.89,5.13,7.46,201,-3.06,71.3,6.93,1.014
2014,1898,210,125,8.95,80.7,16667,0.641,5.36,4.44,8.81,218,-4.07,71.83333333,8.356666667,0.8333
2015,1559,210,120,9,100,18688,0.652,4.98,4.15,9.14,162,-1.58,71.8,8.976666667,0.8476
2016,1704,215,128,9.15,95.5,20710,0.72,4.73,4.06,6.7,152,-2.8,72.36666667,8.426666667,0.936
2017,1567,195,125,9.15,89.1,22732,0.727,4.55,3.91,7.06,172,-2.84,72.66666667,7.336666667,0.9451
