Year,y_cotton,y_corn,y_barley,y_durum,y_wwheat,y_alfalfa,p_cotton,p_corn,p_barley,p_durum,p_wwheat,p_alfalfa,pdsi,temp,precipitation,cotton,alfalfa,corn,barley,durum,wwheat,remaining,
1991,1216,170,121.6,92.5,80,7.96,0.604,2.8,2.6,3.63,3.44,70.5,2.56,70.26666667,8.866666667,0.347,0.1246,0.0125,0.0169,0.0286,0.0376,0.4328,1
1992,1044,170,106.1,93,90,7.23,0.53,2.75,2.6,3.95,3.6,64,5.66,69.8,12.27,0.4676,0.161,0.0135,0.034,0.0421,0.0293,0.2526,
1993,1291,170,102.3,97,90,7.35,0.581,3.11,2.6,3.85,3.58,93.5,7.93,69.8,13.70333333,0.4375,0.1546,0.0194,0.0496,0.0755,0.027,0.2365,
1994,1233,175,91.1,95.1,90,7.53,0.706,3.25,2.85,4.34,3.9,103,-1.13,70.06666667,13.31333333,0.4275,0.1802,0.0286,0.0477,0.1046,0.0283,0.1832,
1995,1076,190,84.4,95,85,8.5,0.729,3.7,2.95,4.71,3.77,79,2.47,70.46666667,10.57666667,0.4824,0.1928,0.0344,0.0382,0.0691,0.0208,0.1623,
1996,1247,190,99.8,85,85,8.39,0.697,3.65,3.55,5,4.15,95,-4.1,71.16666667,7.353333333,0.3825,0.1844,0.0605,0.0628,0.1544,0.0519,0.1034,
1997,1287,190,97,92,91,8.4,0.647,3.2,2.9,4.7,4.05,112,-3.9,71.4,6.893333333,0.3978,0.1881,0.0564,0.0887,0.0843,0.0155,0.1691,
1998,1214,190,105.6,93.6,91,8,0.547,2.75,2.45,4.5,3.25,89.5,5.34,70.66666667,8.44,0.2836,0.2066,0.0511,0.0707,0.1425,0.0126,0.2329,
1999,1287,195,115,92.8,105,8.18,0.439,2.72,2.4,4,3,89,-2.58,70.26666667,8.906666667,0.3074,0.2266,0.053,0.083,0.0439,0.011,0.2752,
2000,1367,196,114.3,93.5,100,8.46,0.397,2.78,2.42,3.5,2.88,94,-1.0192222,70.93343825,8.3333867,0.325,0.2485,0.0658,0.0532,0.057,8.41E-03,0.2422,
2001,1184,208,106.6,92,100,8.1,0.284,2.79,2.4,3.95,3.25,99,-1.8335972,70.53386525,6.6730453,0.3126,0.2673,0.0605,0.0553,0.0801,7.21E-03,0.217,
