,branch,variable-name,type
0,Key\Population,Activity Level,input
1,Key\Industrial Electric Rate,Activity Level,input
2,Demand\Residential,Activity Level,input
3,Demand\Residential\Residential customers,Activity Level,input
4,Demand\Residential\Residential customers,Final Energy Intensity,input
5,Demand\Residential\Residential customers\Uses unrelated to water,Load Shape,input
6,Demand\Residential\Residential customers\Water heating,Load Shape,input
7,Demand\Commercial,Activity Level,input
8,Demand\Commercial\Commercial customers,Activity Level,input
9,Demand\Commercial\Commercial customers,Final Energy Intensity,input
10,Demand\Commercial\Commercial customers\Uses unrelated to water,Load Shape,input
11,Demand\Commercial\Commercial customers\Water heating,Load Shape,input
12,Demand\Industrial\Industrial water unrelated,Activity Level,input
13,Demand\Industrial\Industrial water unrelated\Industrial customers,Load Shape,input
14,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Mark Wilmer,Activity Level,input
15,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Mark Wilmer,Final Energy Intensity Time Sliced,input
16,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Bouse Hills,Activity Level,input
17,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Bouse Hills,Final Energy Intensity Time Sliced,input
18,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Little Harquahala,Activity Level,input
19,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Little Harquahala,Final Energy Intensity Time Sliced,input
20,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Hassayampa,Activity Level,input
21,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Hassayampa,Final Energy Intensity Time Sliced,input
22,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Waddell,Activity Level,input
23,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Waddell,Final Energy Intensity Time Sliced,input
24,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\White Tanks WTP,Activity Level,input
25,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\White Tanks WTP,Final Energy Intensity Time Sliced,input
26,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Activity Level,input
27,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Final Energy Intensity Time Sliced,input
28,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Glendale Pyramid WTP,Activity Level,input
29,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Glendale Pyramid WTP,Final Energy Intensity Time Sliced,input
30,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Phoenix Union Hills WTP,Activity Level,input
31,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Phoenix Union Hills WTP,Final Energy Intensity Time Sliced,input
32,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Scottsdale WTP,Activity Level,input
33,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Scottsdale WTP,Final Energy Intensity Time Sliced,input
34,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Mesa WTP,Activity Level,input
35,Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution\Mesa WTP,Final Energy Intensity Time Sliced,input
