WEAP Variables,,,
,branch,variable-name,type
0,Demand Sites and Catchments\New_Magma,Demand Priority,input
1,Demand Sites and Catchments\New_Magma,Area,input
2,Demand Sites and Catchments\New_Magma,Precipitation,input
3,Demand Sites and Catchments\New_Magma,Min Temperature,input
4,Demand Sites and Catchments\New_Magma,Max Temperature,input
5,Demand Sites and Catchments\New_Magma,Min Humidity,input
6,Demand Sites and Catchments\New_Magma,Max Humidity,input
7,Demand Sites and Catchments\New_Magma,Average Humidity,input
8,Demand Sites and Catchments\New_Magma,Irrigation Use of Runoff,input
9,Demand Sites and Catchments\New_Magma,Wind,input
10,Demand Sites and Catchments\New_Magma,Solar Radiation,input
11,Demand Sites and Catchments\New_Magma,Sunshine Hours,input
12,Demand Sites and Catchments\New_Magma,Cloudiness Fraction,input
13,Demand Sites and Catchments\New_Magma,Krs,input
14,Demand Sites and Catchments\New_Magma,Capital Costs,input
15,Demand Sites and Catchments\New_Magma,Fixed Operating Costs,input
16,Demand Sites and Catchments\New_Magma,Variable Operating Costs,input
17,Demand Sites and Catchments\New_Magma,Fixed Benefits,input
18,Demand Sites and Catchments\New_Magma,Variable Benefits,input
19,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Area,input
20,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Potential Yield,input
21,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Irrigation Schedule,input
22,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Market Price,input
23,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Fraction Wetted,input
24,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Total Soil Thickness,input
25,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Irrigation Efficiency,input
26,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Loss to Groundwater,input
27,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Soil Water Capacity,input
28,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Loss to Runoff,input
29,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Minimum Depth,input
30,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Target Depth,input
31,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Maximum Infiltration Rate,input
32,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Release Requirement,input
33,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Maximum Percolation Rate,input
