,branch,variable,expression
0,Key\Population,Activity Level,"Interp(2008, 3959288.793, 2009, 4008445.63, 2010, 4043496.419, 2011, 4115370.996, 2012, 4203634.617, 2013, 4288973.775, 2014, 4379714.526, 2015, 4482900, 2016, 4569800, 2017, 4661600, 2018, 4755500)"
1,Key\Industrial Electric Rate,Activity Level,"Interp(2008, 7.48, 2009, 7.598, 2010, 7.453, 2011, 7.138, 2012, 6.971, 2013, 7.008, 2014, 6.689, 2015, 6.474, 2016, 6.5492, 2017, 6.4963, 2018, 6.569)"
2,Demand\Residential,Activity Level,Key\Population[Person]
3,Demand\Residential\Residential customers,Activity Level,0
4,Demand\Residential\Residential customers,Final Energy Intensity,"Interp(2008, 5289, 2009, 5230.1, 2010, 5172.7, 2011, 5116.7, 2012, 5062, 2013, 5008.7, 2014, 4956.7, 2015, 4905.9, 2016, 4856.4, 2017, 4808.1, 2018, 4761)"
5,Demand\Residential\Residential customers\Uses unrelated to water,Load Shape,YearlyShape(System_Load_demand)
6,Demand\Residential\Residential customers\Water heating,Load Shape,YearlyShape(System_Load_demand)
7,Demand\Commercial,Activity Level,Key\Population[Person]
8,Demand\Commercial\Commercial customers,Activity Level,0
9,Demand\Commercial\Commercial customers,Final Energy Intensity,"Interp(2008, 4734.5, 2009, 4677.8, 2010, 4622.4, 2011, 4568.4, 2012, 4515.7, 2013, 4464.3, 2014, 4414.1, 2015, 4365.1, 2016, 4317.3, 2017, 4270.7, 2018, 4225.2)"
10,Demand\Commercial\Commercial customers\Uses unrelated to water,Load Shape,YearlyShape(System_Load_demand)
11,Demand\Commercial\Commercial customers\Water heating,Load Shape,YearlyShape(System_Load_demand)
12,Demand\Industrial\Industrial water unrelated,Activity Level,"Interp(2000, 0)"
13,Demand\Industrial\Industrial water unrelated\Industrial customers,Load Shape,YearlyShape(System_Load_demand)
14,Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance\Mark Wilmer,Activity Level,100
