,branch,variable,expression
0,Demand Sites and Catchments\New_Magma,Demand Priority,1
1,Demand Sites and Catchments\New_Magma,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Area\newmagma.xlsx, A3:B12))"
2,Demand Sites and Catchments\New_Magma,Precipitation,"ReadFromFile(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\Edited_Data\Queen_Creek_2009_2018.csv, 8)"
3,Demand Sites and Catchments\New_Magma,Min Temperature,0
4,Demand Sites and Catchments\New_Magma,Max Temperature,0
5,Demand Sites and Catchments\New_Magma,Min Humidity,"ReadFromFile(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\Edited_Data\Queen_Creek_2009_2018.csv, 5)"
6,Demand Sites and Catchments\New_Magma,Max Humidity,0
7,Demand Sites and Catchments\New_Magma,Average Humidity,0
8,Demand Sites and Catchments\New_Magma,Irrigation Use of Runoff,0
9,Demand Sites and Catchments\New_Magma,Wind,"ReadFromFile(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\Edited_Data\Queen_Creek_2009_2018.csv, 9)"
10,Demand Sites and Catchments\New_Magma,Solar Radiation,0
11,Demand Sites and Catchments\New_Magma,Sunshine Hours,0
12,Demand Sites and Catchments\New_Magma,Cloudiness Fraction,0
13,Demand Sites and Catchments\New_Magma,Krs,0.16
14,Demand Sites and Catchments\New_Magma,Capital Costs,0
15,Demand Sites and Catchments\New_Magma,Fixed Operating Costs,0
16,Demand Sites and Catchments\New_Magma,Variable Operating Costs,0
17,Demand Sites and Catchments\New_Magma,Fixed Benefits,0
18,Demand Sites and Catchments\New_Magma,Variable Benefits,0
19,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Alfalfa.xlsx, A3:B12))*0.816"
20,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Potential Yield,"MultiCropValues(4821, 4821, 4821, 4821)"
21,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Irrigation Schedule,"IrrigationSchedule(1, Mar 1, May 14, % of RAW, 100, % Depletion, 100,  2, May 15, Jun 28, % of RAW, 100, % Depletion, 100,  3, Jun 29, Aug 12, % of RAW, 100, % Depletion, 100,  4, Aug 13, Sep 26, % of RAW, 100, % Depletion, 100)"
22,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Market Price,0
23,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Fraction Wetted,0.6
24,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Total Soil Thickness,2
25,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Irrigation Efficiency,60
26,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Loss to Groundwater,0
27,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Soil Water Capacity,SoilLibrary(Loam)
28,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Loss to Runoff,0
29,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Minimum Depth,0
30,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Target Depth,0
31,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Maximum Infiltration Rate,243.8
32,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Release Requirement,0
33,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Maximum Percolation Rate,7315.2
34,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Effective Precipitation,100
35,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Fraction Covered,0
36,Demand Sites and Catchments\New_Magma\Alfalfa_hay,Direct Recharge to GW,0.0
37,Demand Sites and Catchments\New_Magma\Corn_grain,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Corn.xlsx, A3:B12))*0.0875"
38,Demand Sites and Catchments\New_Magma\Corn_grain,Potential Yield,10676
39,Demand Sites and Catchments\New_Magma\Corn_grain,Irrigation Schedule,"IrrigationSchedule(1, Mar 15, Aug 1, % of RAW, 100, % Depletion, 100)"
40,Demand Sites and Catchments\New_Magma\Corn_grain,Market Price,0
41,Demand Sites and Catchments\New_Magma\Corn_grain,Fraction Wetted,0.6
42,Demand Sites and Catchments\New_Magma\Corn_grain,Total Soil Thickness,2
43,Demand Sites and Catchments\New_Magma\Corn_grain,Irrigation Efficiency,60
44,Demand Sites and Catchments\New_Magma\Corn_grain,Loss to Groundwater,0
45,Demand Sites and Catchments\New_Magma\Corn_grain,Soil Water Capacity,SoilLibrary(Loam)
46,Demand Sites and Catchments\New_Magma\Corn_grain,Loss to Runoff,0
47,Demand Sites and Catchments\New_Magma\Corn_grain,Minimum Depth,0
48,Demand Sites and Catchments\New_Magma\Corn_grain,Target Depth,0
49,Demand Sites and Catchments\New_Magma\Corn_grain,Maximum Infiltration Rate,243.8
50,Demand Sites and Catchments\New_Magma\Corn_grain,Release Requirement,0
51,Demand Sites and Catchments\New_Magma\Corn_grain,Maximum Percolation Rate,7315.2
52,Demand Sites and Catchments\New_Magma\Corn_grain,Effective Precipitation,100
53,Demand Sites and Catchments\New_Magma\Corn_grain,Fraction Covered,0
54,Demand Sites and Catchments\New_Magma\Corn_grain,Direct Recharge to GW,0.0
55,Demand Sites and Catchments\New_Magma\Durum_Wheat,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Durum Wheat.xlsx, A3:B12))"
56,Demand Sites and Catchments\New_Magma\Durum_Wheat,Potential Yield,6621
57,Demand Sites and Catchments\New_Magma\Durum_Wheat,Irrigation Schedule,"IrrigationSchedule(1, Jan 1, Jun 29, % of RAW, 100, % Depletion, 100)"
58,Demand Sites and Catchments\New_Magma\Durum_Wheat,Market Price,0
59,Demand Sites and Catchments\New_Magma\Durum_Wheat,Fraction Wetted,0.6
60,Demand Sites and Catchments\New_Magma\Durum_Wheat,Total Soil Thickness,2
61,Demand Sites and Catchments\New_Magma\Durum_Wheat,Irrigation Efficiency,60
62,Demand Sites and Catchments\New_Magma\Durum_Wheat,Loss to Groundwater,0
63,Demand Sites and Catchments\New_Magma\Durum_Wheat,Soil Water Capacity,SoilLibrary(Loam)
64,Demand Sites and Catchments\New_Magma\Durum_Wheat,Loss to Runoff,0
65,Demand Sites and Catchments\New_Magma\Durum_Wheat,Minimum Depth,0
66,Demand Sites and Catchments\New_Magma\Durum_Wheat,Target Depth,0
67,Demand Sites and Catchments\New_Magma\Durum_Wheat,Maximum Infiltration Rate,243.8
68,Demand Sites and Catchments\New_Magma\Durum_Wheat,Release Requirement,0
69,Demand Sites and Catchments\New_Magma\Durum_Wheat,Maximum Percolation Rate,7315.2
70,Demand Sites and Catchments\New_Magma\Durum_Wheat,Effective Precipitation,100
71,Demand Sites and Catchments\New_Magma\Durum_Wheat,Fraction Covered,0
72,Demand Sites and Catchments\New_Magma\Durum_Wheat,Direct Recharge to GW,0.0
73,Demand Sites and Catchments\New_Magma\Sorghum_grain,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Sorghum.xlsx, A3:B12))*0.5291"
74,Demand Sites and Catchments\New_Magma\Sorghum_grain,Potential Yield,5499
75,Demand Sites and Catchments\New_Magma\Sorghum_grain,Irrigation Schedule,"IrrigationSchedule(1, Apr 1, Aug 8, % of RAW, 100, % Depletion, 100)"
76,Demand Sites and Catchments\New_Magma\Sorghum_grain,Market Price,0
77,Demand Sites and Catchments\New_Magma\Sorghum_grain,Fraction Wetted,0.6
78,Demand Sites and Catchments\New_Magma\Sorghum_grain,Total Soil Thickness,2
79,Demand Sites and Catchments\New_Magma\Sorghum_grain,Irrigation Efficiency,60
80,Demand Sites and Catchments\New_Magma\Sorghum_grain,Loss to Groundwater,0
81,Demand Sites and Catchments\New_Magma\Sorghum_grain,Soil Water Capacity,SoilLibrary(Loam)
82,Demand Sites and Catchments\New_Magma\Sorghum_grain,Loss to Runoff,0
83,Demand Sites and Catchments\New_Magma\Sorghum_grain,Minimum Depth,0
84,Demand Sites and Catchments\New_Magma\Sorghum_grain,Target Depth,0
85,Demand Sites and Catchments\New_Magma\Sorghum_grain,Maximum Infiltration Rate,243.8
86,Demand Sites and Catchments\New_Magma\Sorghum_grain,Release Requirement,0
87,Demand Sites and Catchments\New_Magma\Sorghum_grain,Maximum Percolation Rate,7315.2
88,Demand Sites and Catchments\New_Magma\Sorghum_grain,Effective Precipitation,100
89,Demand Sites and Catchments\New_Magma\Sorghum_grain,Fraction Covered,0
90,Demand Sites and Catchments\New_Magma\Sorghum_grain,Direct Recharge to GW,0.0
91,Demand Sites and Catchments\New_Magma\Potatoes,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Potatoes.xlsx, A3:B12))"
92,Demand Sites and Catchments\New_Magma\Potatoes,Potential Yield,33204
93,Demand Sites and Catchments\New_Magma\Potatoes,Irrigation Schedule,"IrrigationSchedule(1, Mar 1, Jul 18, % of RAW, 100, % Depletion, 100)"
94,Demand Sites and Catchments\New_Magma\Potatoes,Market Price,0
95,Demand Sites and Catchments\New_Magma\Potatoes,Fraction Wetted,0.6
96,Demand Sites and Catchments\New_Magma\Potatoes,Total Soil Thickness,2
97,Demand Sites and Catchments\New_Magma\Potatoes,Irrigation Efficiency,60
98,Demand Sites and Catchments\New_Magma\Potatoes,Loss to Groundwater,0
99,Demand Sites and Catchments\New_Magma\Potatoes,Soil Water Capacity,SoilLibrary(Loam)
100,Demand Sites and Catchments\New_Magma\Potatoes,Loss to Runoff,0
101,Demand Sites and Catchments\New_Magma\Potatoes,Minimum Depth,0
102,Demand Sites and Catchments\New_Magma\Potatoes,Target Depth,0
103,Demand Sites and Catchments\New_Magma\Potatoes,Maximum Infiltration Rate,243.8
104,Demand Sites and Catchments\New_Magma\Potatoes,Release Requirement,0
105,Demand Sites and Catchments\New_Magma\Potatoes,Maximum Percolation Rate,7315.2
106,Demand Sites and Catchments\New_Magma\Potatoes,Effective Precipitation,100
107,Demand Sites and Catchments\New_Magma\Potatoes,Fraction Covered,0
108,Demand Sites and Catchments\New_Magma\Potatoes,Direct Recharge to GW,0.0
109,Demand Sites and Catchments\New_Magma\Sugarbeets,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Sugarbeets.xlsx, A3:B12))"
110,Demand Sites and Catchments\New_Magma\Sugarbeets,Potential Yield,43545
111,Demand Sites and Catchments\New_Magma\Sugarbeets,Irrigation Schedule,"IrrigationSchedule(1, Sep 1, May 13, % of RAW, 100, % Depletion, 100)"
