branchToSave,variable,VarNumber
Demand,Energy Demand Final Units,1
Demand\Residential,Energy Demand Final Units,2
Demand\Residential\Residential customers\Uses unrelated to water,Energy Demand Final Units,3
Demand\Residential\Residential customers\Water heating,Energy Demand Final Units,4
Demand\Commercial,Energy Demand Final Units,5
Demand\Commercial\Commercial customers\Uses unrelated to water,Energy Demand Final Units,6
Demand\Commercial\Commercial customers\Water heating,Energy Demand Final Units,7
Demand\Industrial,Energy Demand Final Units,8
Demand\Industrial\Industrial water unrelated,Energy Demand Final Units,9
Demand\Industrial\Water infrastructure,Energy Demand Final Units,10
Demand\Industrial\Water infrastructure\Municipal,Energy Demand Final Units,11
Demand\Industrial\Water infrastructure\Municipal\CAP,Energy Demand Final Units,12
Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance,Energy Demand Final Units,13
Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution,Energy Demand Final Units,14
Demand\Industrial\Water infrastructure\Municipal\SRP,Energy Demand Final Units,15
Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution,Energy Demand Final Units,16
Demand\Industrial\Water infrastructure\Municipal\Groundwater,Energy Demand Final Units,17
Demand\Industrial\Water infrastructure\Municipal\Groundwater\Pumping,Energy Demand Final Units,18
Demand\Industrial\Water infrastructure\Municipal\Groundwater\Treatment and distribution,Energy Demand Final Units,19
Demand\Industrial\Water infrastructure\Agricultural,Energy Demand Final Units,20
Demand\Industrial\Water infrastructure\Agricultural\CAP,Energy Demand Final Units,21
Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance,Energy Demand Final Units,22
Demand\Industrial\Water infrastructure\Agricultural\CAP\Pumping in irrigation districts,Energy Demand Final Units,23
Demand\Industrial\Water infrastructure\Agricultural\SRP,Energy Demand Final Units,24
Demand\Industrial\Water infrastructure\Agricultural\SRP\Pumping in irrigation districts,Energy Demand Final Units,25
Demand\Industrial\Water infrastructure\Agricultural\Groundwater,Energy Demand Final Units,26
Demand\Industrial\Water infrastructure\Agricultural\Groundwater\Pumping,Energy Demand Final Units,27
Demand\Industrial\Water infrastructure\Indian,Energy Demand Final Units,28
Demand\Industrial\Water infrastructure\Indian\CAP,Energy Demand Final Units,29
Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance,Energy Demand Final Units,30
Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution,Energy Demand Final Units,31
Demand\Industrial\Water infrastructure\Indian\SRP,Energy Demand Final Units,32
Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution,Energy Demand Final Units,33
Demand\Industrial\Water infrastructure\Indian\Groundwater,Energy Demand Final Units,34
Demand\Industrial\Water infrastructure\Indian\Groundwater\Pumping,Energy Demand Final Units,35
Demand\Industrial\Water infrastructure\Indian\Groundwater\Treatment and distribution,Energy Demand Final Units,36
Demand\Industrial\Water infrastructure\Industrial,Energy Demand Final Units,37
Demand\Industrial\Water infrastructure\Industrial\CAP,Energy Demand Final Units,38
Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance,Energy Demand Final Units,39
