branchesToSave,variablesToSave,VarNumber,type
Demand Sites and Catchments\Indian,Unmet Demand,1,WEAP
Demand Sites and Catchments\Municipal,Unmet Demand,2,WEAP
Demand Sites and Catchments\Power Plant,Unmet Demand,3,WEAP
Demand Sites and Catchments\Industrial,Unmet Demand,4,WEAP
Demand Sites and Catchments\Roosevelt_ID,Unmet Demand,5,MPM
Demand Sites and Catchments\GW_SRP,Unmet Demand,6,WEAP
Demand Sites and Catchments\Riparian,Unmet Demand,7,WEAP
Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal,Total Node Outflow,8,WEAP
Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal,Total Node Outflow,9,WEAP
Supply and Resources\Transmission Links\to Industrial\from SRP Withdrawal,Total Node Outflow,10,WEAP
Supply and Resources\Transmission Links\to Roosevelt_ID\from SRP Withdrawal,Total Node Inflow,11,MPM
Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal,Total Node Outflow,12,WEAP
Supply and Resources\Transmission Links\to Municipal\from CAP Withdrawal,Total Node Outflow,13,WEAP
Supply and Resources\Transmission Links\to Power Plant\from CAP Withdrawal,Total Node Outflow,14,WEAP
Supply and Resources\Transmission Links\to Industrial\from CAP Withdrawal,Total Node Outflow,15,WEAP
Supply and Resources\Transmission Links\to Roosevelt_ID\from CAP Withdrawal,Total Node Inflow,16,MPM
Supply and Resources\Transmission Links\to Riparian\from Groundwater,Total Node Outflow,17,WEAP
Supply and Resources\Transmission Links\to Indian\from Groundwater,Total Node Outflow,18,WEAP
Supply and Resources\Transmission Links\to GW_SRP\from Groundwater,Total Node Outflow,19,WEAP
Supply and Resources\Transmission Links\to Municipal\from Groundwater,Total Node Outflow,20,WEAP
Supply and Resources\Transmission Links\to Power Plant\from Groundwater,Total Node Outflow,21,WEAP
Supply and Resources\Transmission Links\to Industrial\from Groundwater,Total Node Outflow,22,WEAP
Supply and Resources\Transmission Links\to Roosevelt_ID\from Groundwater,Total Node Inflow,23,MPM
Supply and Resources\Transmission Links\to Indian\from GW_Backup,Total Node Outflow,24,WEAP
Supply and Resources\Transmission Links\to Municipal\from GW_Backup,Total Node Outflow,25,WEAP
Supply and Resources\Transmission Links\to Power Plant\from GW_Backup,Total Node Outflow,26,WEAP
Supply and Resources\Transmission Links\to Industrial\from GW_Backup,Total Node Outflow,27,WEAP
Supply and Resources\Transmission Links\to Indian\from WWTP_2,Total Node Outflow,28,WEAP
Supply and Resources\Transmission Links\to Municipal\from WWTP_2,Total Node Outflow,29,WEAP
Supply and Resources\Transmission Links\to Power Plant\from WWTP_2,Total Node Outflow,30,WEAP
Supply and Resources\Transmission Links\to Industrial\from WWTP_2,Total Node Outflow,31,WEAP
Supply and Resources\Transmission Links\to Roosevelt_ID\from WWTP_2,Total Node Inflow,32,MPM
Demand Sites and Catchments\Roosevelt_ID\Alfalfa_hay,Annual Crop Production,33,MPM
Demand Sites and Catchments\Roosevelt_ID\Corn_grain,Annual Crop Production,34,MPM
Demand Sites and Catchments\Roosevelt_ID\Sorghum_grain,Annual Crop Production,35,MPM
Demand Sites and Catchments\Roosevelt_ID\Barley,Annual Crop Production,36,MPM
Demand Sites and Catchments\Roosevelt_ID\Alfalfa_haylage,Annual Crop Production,37,MPM
Demand Sites and Catchments\Roosevelt_ID\Sorghum_silage,Annual Crop Production,38,MPM
Demand Sites and Catchments\Roosevelt_ID\Corn_silage,Annual Crop Production,39,MPM
Demand\Residential\Residential customers\Uses unrelated to water,Energy Demand Final Units,40,LEAP
Demand\Residential\Residential customers\Water heating,Energy Demand Final Units,41,LEAP
Demand\Commercial\Commercial customers\Uses unrelated to water,Energy Demand Final Units,42,LEAP
Demand\Commercial\Commercial customers\Water heating,Energy Demand Final Units,43,LEAP
Demand\Industrial\Industrial water unrelated,Energy Demand Final Units,44,LEAP
Demand\Industrial\Water infrastructure\Municipal\CAP\Conveyance,Energy Demand Final Units,45,LEAP
Demand\Industrial\Water infrastructure\Municipal\CAP\Treatment and distribution,Energy Demand Final Units,46,LEAP
Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution,Energy Demand Final Units,47,LEAP
Demand\Industrial\Water infrastructure\Municipal\Groundwater\Pumping,Energy Demand Final Units,48,LEAP
Demand\Industrial\Water infrastructure\Municipal\Groundwater\Treatment and distribution,Energy Demand Final Units,49,LEAP
Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance,Energy Demand Final Units,50,LEAP
Demand\Industrial\Water infrastructure\Agricultural\CAP\Pumping in irrigation districts,Energy Demand Final Units,51,LEAP
Demand\Industrial\Water infrastructure\Agricultural\SRP\Pumping in irrigation districts,Energy Demand Final Units,52,LEAP
